functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,0.077905854,4.27,1862.0871366628655,145.06748860413524
Large bathydemersals (>=90 cm),3.8063066539999997,4.425794358414823,2665.596186532856,10146.076501677033
Large benthopelagics (>=90 cm),614.2513241093,2.1521537415941765,14.195599613823559,8719.665859316588
Large demersals (>=90 cm),277.5061913609,3.602003118392047,399.94762151990756,110987.94119184028
Large flatfishes (>=90 cm),2744.0093329761,4.3572251171876255,2276.2770365921724,6246125.432848101
Large pelagics (>=90 cm),6008.772216345399,4.52998439171884,3388.3197850388324,20359641.78443475
Large rays (>=90 cm),9320.3595678584,3.590335187471029,389.3455250337237,3628840.289450919
Large reef assoc. fish (>=90 cm),1401.1381500962998,3.9017968034743395,797.6214110060706,1117577.7882942462
Large sharks (>=90 cm),6603.6436950346,4.36260774746121,2304.6646871363287,15219184.430376705
"Lobsters, crabs",333.67420800089997,3.4269005220886832,267.23942096733447,89170.90213789443
Medium bathydemersals (30 - 89 cm),2.5583459960000003,4.341259285941009,2194.114492051574,5613.3040255057185
Medium benthopelagics (30 - 89 cm),22065.300523424998,4.238015904316582,1729.8797080530667,38170315.627565615
Medium demersals (30 - 89 cm),79917.9227767643,3.250580984983671,178.06599261286993,14230664.246803222
Medium pelagics (30 - 89 cm),40866.53289474921,4.058427869501483,1144.0048601477897,46751512.248982616
Medium reef assoc. fish (30 - 89 cm),957.204434272,3.024306410013894,105.75633941858486,101230.43704384413
Other demersal invertebrates,67065.33202657229,2.2852551645097723,19.28657740073395,1293460.717036408
Shrimps,5416.1937477213,2.8286542093954243,67.39911739445199,365046.6782337648
Small benthopelagics (<30 cm),2.9235505685,3.5784924701356333,378.87196475123005,1107.6513479371706
Small demersals (<30 cm),2317.9771843981,3.302386585888007,200.62570963011666,465045.81752628856
Small pelagics (<30 cm),862091.542115535,3.0829944709199926,121.05827213092306,104363312.50718956
Small reef assoc. fish (<30 cm),36615.3739054836,3.11,128.82495516931337,4716973.901881571
Small to medium flatfishes (<90 cm),536.3736910491999,3.5619800858136754,364.7372218419839,195635.44994241578
Small to medium rays (<90 cm),5.7118598995,3.8,630.957344480193,3603.9399542314222
