functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,16039.085727525799,3.6487945410148566,445.44546417419525,7144537.98682744
Jellyfish,5413.1997505204,3.450014878754479,281.8479489585452,1525699.2469870832
Large benthopelagics (>=90 cm),4274.8589613957,4.382547719385617,2412.946647647591,10315006.600066017
Large demersals (>=90 cm),242.72845543909997,3.8874735329743006,771.7444820529196,187324.34612235337
Large pelagics (>=90 cm),33994.138015954006,4.325007392090405,2113.5250136646914,71847461.0146886
Large rays (>=90 cm),7595.292970174601,3.719938168898351,524.7327480096956,3985498.952178441
Large reef assoc. fish (>=90 cm),865.5920435004001,4.146612535806378,1401.562715404396,1213181.5349208608
Large sharks (>=90 cm),24645.361114668198,4.198522464588642,1579.5103083659374,38927601.93401945
"Lobsters, crabs",1437.8212014442001,2.952362495034107,89.61124167075546,128844.9431619522
Medium bathydemersals (30 - 89 cm),276.4768945364,4.36,2290.867652767775,633371.9744311263
Medium benthopelagics (30 - 89 cm),283.36397415100004,3.3240980180888138,210.9104110451743,59764.412263581566
Medium demersals (30 - 89 cm),28803.9155835005,3.41301454227878,258.8299582484797,7455316.267870169
Medium pelagics (30 - 89 cm),35128.1707114871,3.8077267746274326,642.2835137795533,22562244.91722193
Medium reef assoc. fish (30 - 89 cm),36064.3636948022,3.318645286844986,208.27890551969128,7511446.198617492
Other demersal invertebrates,2761.9356243023994,2.104297199300013,12.714438905396404,35116.46175583074
Shrimps,6757.905330925001,2.7899522967840813,61.65272783457815,416643.29809936386
Small benthopelagics (<30 cm),5519.3852067744,3.1933956307836553,156.09738612103624,861561.603772599
Small demersals (<30 cm),10377.687257794001,3.503825246947652,319.02538903966285,3310745.714749683
Small pelagics (<30 cm),14514.755821432298,2.8988790587888915,79.22806674730846,1149976.0430413221
Small reef assoc. fish (<30 cm),1691.7941281805,3.0320936684070503,107.6697410124045,182155.03562750109
Small to medium flatfishes (<90 cm),691.2461631122,4.288896200183057,1944.8951807328312,1344401.3313369784
