unit_id,region_name,first_year,last_year,year_count,source_data_status,constrains_common_year,selected_common_year,contains_selected_year
EEZ_776,Tonga,1950,2019,70,available,True,2019,True
EEZ_780,Trinidad & Tobago,1950,2019,70,available,True,2019,True
EEZ_784,United Arab Emirates,1950,2019,70,available,True,2019,True
EEZ_788,Tunisia,1950,2019,70,available,True,2019,True
EEZ_793,Turkey (Mediterranean Sea),1950,2019,70,available,True,2019,True
EEZ_794,Turkey (Black Sea),1950,2019,70,available,True,2019,True
EEZ_796,Turks & Caicos Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_798,Tuvalu,1950,2019,70,available,True,2019,True
EEZ_804,Ukraine,1950,2019,70,available,True,2019,True
EEZ_826,United Kingdom (UK),1950,2019,70,available,True,2019,True
EEZ_830,Channel Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_834,Tanzania,1950,2019,70,available,True,2019,True
EEZ_842,Hawaii Main Islands (USA),1950,2019,70,available,True,2019,True
EEZ_844,Palmyra Atoll & Kingman Reef (USA),1950,2019,68,available,True,2019,True
EEZ_845,Jarvis Isl. (USA),1950,2019,67,available,True,2019,True
EEZ_846,Howland & Baker Isl. (USA),1950,2019,70,available,True,2019,True
EEZ_848,USA (West Coast),1950,2019,70,available,True,2019,True
EEZ_850,US Virgin Isl.,1950,2019,70,available,True,2019,True
EEZ_851,USA (East Coast),1950,2019,70,available,True,2019,True
EEZ_852,USA (Gulf of Mexico),1950,2019,70,available,True,2019,True
EEZ_855,Ascension Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_856,Tristan da Cunha Isl. (UK),1950,2019,70,available,True,2019,True
EEZ_858,Uruguay,1950,2019,70,available,True,2019,True
EEZ_862,Venezuela,1950,2019,70,available,True,2019,True
EEZ_872,Wake Isl. (USA),1950,2019,70,available,True,2019,True
EEZ_876,Wallis & Futuna Isl. (France),1950,2019,70,available,True,2019,True
EEZ_882,Samoa,1950,2019,70,available,True,2019,True
EEZ_891,Montenegro,1950,2019,70,available,True,2019,True
EEZ_895,St Paul & Amsterdam Isl. (France),1950,2019,70,available,True,2019,True
EEZ_896,Crozet Isl. (France),1950,2019,58,available,True,2019,True
EEZ_897,Kerguelen Isl. (France),1952,2019,57,available,True,2019,True
EEZ_898,Clipperton Isl. (France),1950,2019,67,available,True,2019,True
EEZ_899,Corsica (France),1950,2019,70,available,True,2019,True
EEZ_900,Crete (Greece),1950,2019,70,available,True,2019,True
EEZ_901,Sicily (Italy),1950,2019,70,available,True,2019,True
EEZ_902,Sardinia (Italy),1950,2019,70,available,True,2019,True
EEZ_903,Balearic Islands (Spain),1950,2019,70,available,True,2019,True
EEZ_904,St Barthelemy (France),1950,2019,70,available,True,2019,True
EEZ_905,St Martin (France),1950,2019,70,available,True,2019,True
