unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
EEZ_234,Faroe Isl. (Denmark),eez,2019,1548,104,573325.9947069995,573325.9947069994,-1.1641532182693481e-10,True,available
EEZ_238,Falkland / Malvinas Isl. (GBR),eez,2019,291,33,278214.98085805017,278214.9808580502,5.820766091346741e-11,True,available
EEZ_239,South Georgia & Sandwich Isl. (GBR),eez,2019,233,33,142823.9584061877,142823.95840618774,2.9103830456733704e-11,True,available
EEZ_242,Fiji,eez,2019,689,57,57561.8277487637,57561.8277487637,0.0,True,available
EEZ_246,Finland,eez,2019,2299,43,122751.58946063151,122751.58946063151,0.0,True,available
EEZ_251,Mozambique Channel Isl. (France),eez,2019,83,27,3801.8421879604,3801.8421879603998,-4.547473508864641e-13,True,available
EEZ_252,Tromelin Isl. (France),eez,2019,25,16,20.057971261,20.057971261,0.0,True,available
EEZ_254,French Guiana (France),eez,2019,116,65,6463.655097239699,6463.6550972397,9.094947017729282e-13,True,available
EEZ_258,French Polynesia (France),eez,2019,330,63,30503.7776851117,30503.777685111698,-3.637978807091713e-12,True,available
EEZ_262,Djibouti,eez,2019,256,41,3605.0535873440003,3605.0535873440003,0.0,True,available
EEZ_266,Gabon,eez,2019,1080,184,158907.5327978865,158907.53279788647,-2.9103830456733704e-11,True,available
EEZ_268,Georgia,eez,2019,398,29,350092.28544285364,350092.28544285364,0.0,True,available
EEZ_270,Gambia,eez,2019,1293,238,168306.3027997336,168306.3027997336,0.0,True,available
EEZ_274,Palestine,eez,2019,104,36,6410.774318524,6410.774318523999,-9.094947017729282e-13,True,available
EEZ_277,Germany (North Sea),eez,2019,3275,181,93934.3963977611,93934.3963977611,0.0,True,available
EEZ_278,Germany (Baltic Sea),eez,2019,2442,59,26188.5128491544,26188.5128491544,0.0,True,available
EEZ_288,Ghana,eez,2019,506,103,476804.0080210729,476804.00802107283,-5.820766091346741e-11,True,available
EEZ_300,Greece (without Crete),eez,2019,2099,155,108516.7645129038,108516.76451290378,-1.4551915228366852e-11,True,available
EEZ_304,Greenland (Denmark),eez,2019,862,54,262286.0841378048,262286.08413780475,-5.820766091346741e-11,True,available
EEZ_308,Grenada,eez,2019,295,60,3717.1043054866004,3717.1043054866,-4.547473508864641e-13,True,available
EEZ_312,Guadeloupe (France),eez,2019,37,23,5032.750571154701,5032.750571154701,0.0,True,available
EEZ_316,Guam (USA),eez,2019,329,90,1385.0534596170999,1385.0534596170996,-2.2737367544323206e-13,True,available
EEZ_324,Guinea,eez,2019,1104,201,1012636.6535959236,1012636.6535959234,-1.1641532182693481e-10,True,available
