unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_eez_ppr,rank_eez_ppr
EEZ_156,China,EEZ,2019,9568140.59773029,9568140.59773029,0.0,1.0,180,180,6165828606.948386,6165828606.948386,6165828606.948386,3630393758.877296,5114923632.251522,0.09279992039588644,1
EEZ_649,Russia (Far East),EEZ,2019,7341976.862507814,7341976.862507814,0.0,1.0,86,86,4411197893.890587,4411197893.890587,4411197893.890587,3483199576.481157,3296898592.209809,0.06639153299561949,2
EEZ_704,Viet Nam,EEZ,2019,5148305.1369901,5148305.1369901,0.0,1.0,69,69,4395854129.781088,4395854129.781089,4395854129.781089,3315003466.095495,3620671605.916037,0.0661605988943488,3
EEZ_390,Japan (main islands),EEZ,2019,5962290.328495036,5962290.328495036,0.0,1.0,178,178,2997127073.3582215,2997127073.358222,2997127073.3582225,2201286082.570818,2558934906.4803843,0.04510880395062647,4
EEZ_604,Peru,EEZ,2019,6008753.148833272,6008753.148833272,0.0,1.0,113,113,2417258362.672758,2417258362.672757,2417258362.6727576,1998384823.2690477,2113505685.2717364,0.03638138487656482,5
EEZ_356,India (mainland),EEZ,2019,4344032.198932858,4344032.198932858,0.0,1.0,151,151,2254375093.1762247,2254375093.176224,2254375093.1762247,1532529614.0560458,1805078848.6658754,0.03392988072251389,6
EEZ_361,Indonesia (Eastern),EEZ,2019,3382553.5340884444,3382553.5340884444,0.0,1.0,146,146,2093542875.0827374,2093542875.0827374,2093542875.0827374,1439043330.8649027,1548987104.3551705,0.03150924628915485,7
EEZ_959,"USA (Alaska, Subarctic)",EEZ,2019,2640185.1931024343,2640185.1931024343,0.0,1.0,82,82,1781327374.0574036,1781327374.0574036,1781327374.0574033,1391978413.5491133,1468317274.3697884,0.02681019033277262,8
EEZ_941,Kiribati (Gilbert Islands),EEZ,2019,599962.7992743407,599962.7992743407,0.0,1.0,38,38,1552445784.5398905,1552445784.539891,1552445784.5398912,1544498081.8229556,1546704412.866342,0.02336536650757365,9
EEZ_938,Indonesia (Indian Ocean),EEZ,2019,2112707.572524511,2112707.572524511,0.0,1.0,147,147,1549538383.7711182,1549538383.7711184,1549538383.7711182,1173195631.6727116,1254364943.6071885,0.023321608145624218,10
EEZ_578,Norway,EEZ,2019,1710313.5041625751,1710313.5041625751,0.0,1.0,222,222,1486385233.701386,1486385233.701386,1486385233.701386,1354784615.3936987,1424436259.700941,0.022371110220233265,11
EEZ_598,Papua New Guinea,EEZ,2019,536763.5433324721,536763.5433324721,0.0,1.0,55,55,1304961504.0343719,1304961504.0343716,1304961504.0343719,1282035228.7863865,1295086077.4864874,0.019640559511760636,12
EEZ_032,Argentina,EEZ,2019,1455579.158848894,1455579.158848894,0.0,1.0,86,86,1272031530.1874146,1272031530.1874144,1272031530.1874144,1165759568.7681806,1207458955.0805123,0.019144940975074017,13
EEZ_608,Philippines,EEZ,2019,2152202.04182738,2152202.04182738,0.0,1.0,172,172,1117733410.478486,1117733410.4784863,1117733410.478486,863818470.0629802,865862679.5151173,0.016822649173111284,14
EEZ_478,Mauritania,EEZ,2019,2210253.937882072,2210253.937882072,0.0,1.0,229,229,1032601351.4376887,1032601351.4376886,1032601351.4376887,881884300.2249317,887683160.6813964,0.015541353696746443,15
EEZ_937,Indonesia (Central),EEZ,2019,1876235.8826732747,1876235.8826732747,0.0,1.0,138,138,1028177964.8470863,1028177964.8470862,1028177964.8470862,659443554.7241148,816001759.7519019,0.015474778715562966,16
EEZ_410,Korea (South),EEZ,2019,1692138.9147849004,1692138.9147849004,0.0,1.0,118,118,1001424147.7179294,1001424147.7179291,1001424147.7179292,553978409.4187069,820319263.610668,0.015072115544375559,17
EEZ_826,United Kingdom (UK),EEZ,2019,1714264.7493178481,1714264.7493178481,0.0,1.0,346,346,1000014407.7534399,1000014407.7534397,1000014407.7534399,832607270.3364908,860984504.0341389,0.01505089799766398,18
EEZ_945,Mexico (Pacific),EEZ,2019,2162472.018004568,2162472.018004568,0.0,1.0,136,136,903902972.1574702,903902972.1574703,903902972.1574702,690523636.22767,724981813.6350174,0.013604355425528708,19
EEZ_848,USA (West Coast),EEZ,2019,480242.05511345976,480242.05511345976,0.0,1.0,185,185,855756640.2092203,855756640.2092198,855756640.2092198,835178805.1075281,846041591.1136853,0.012879720334777649,20
EEZ_554,New Zealand,EEZ,2019,536634.0092869516,536634.0092869516,0.0,1.0,197,197,844346453.6499316,844346453.6499318,844346453.6499316,698639252.9198685,743350086.3792835,0.012707989254998534,21
EEZ_586,Pakistan,EEZ,2019,930340.2931580818,930340.2931580818,0.0,1.0,126,126,790261291.1785368,790261291.1785368,790261291.1785369,523696541.5776824,623228915.1263041,0.01189397071963284,22
EEZ_352,Iceland,EEZ,2019,755890.0550702651,755890.0550702651,0.0,1.0,79,79,746373735.3016173,746373735.3016174,746373735.3016171,708464397.4967039,686516663.3818655,0.011233433109625568,23
EEZ_957,Thailand (Gulf of Thailand),EEZ,2019,1326966.3114427112,1326966.3114427112,0.0,1.0,59,59,739082508.1879923,739082508.1879923,739082508.1879923,525831874.2784343,608978643.1813896,0.0111236951751377,24
EEZ_104,Myanmar,EEZ,2019,1333934.8992368777,1333934.8992368777,0.0,1.0,81,81,719846370.2034029,719846370.2034028,719846370.2034026,533876617.67672706,614533774.7229358,0.010834178195751911,25
EEZ_157,Taiwan,EEZ,2019,974842.5837373973,974842.5837373973,0.0,1.0,149,149,651770218.0518247,651770218.0518247,651770218.0518246,393540157.69617546,564684929.637638,0.009809585735720595,26
EEZ_076,Brazil (mainland),EEZ,2019,904109.1796290667,904109.1796290667,0.0,1.0,274,274,632611601.862448,632611601.862448,632611601.862448,441232318.29396504,503604725.6354581,0.009521235512156818,27
EEZ_851,USA (East Coast),EEZ,2019,1002996.0875079746,1002996.0875079746,0.0,1.0,352,352,625895294.1062337,625895294.1062338,625895294.1062338,446029289.4659738,526429552.84873974,0.009420150505604968,28
EEZ_624,Guinea-Bissau,EEZ,2019,1133937.8605595871,1133937.8605595871,0.0,1.0,229,229,583910166.0894275,583910166.0894275,583910166.0894275,433763263.03919053,516189062.1832388,0.008788245730733347,29
EEZ_583,Micronesia (Federated States of),EEZ,2019,227502.48946383104,227502.48946383104,0.0,1.0,164,164,577443311.7451106,577443311.7451108,577443311.745111,567984832.1488785,573185243.4129187,0.008690915167946036,30
EEZ_234,Faeroe Isl. (Denmark),EEZ,2019,573325.9947069994,573325.9947069994,0.0,1.0,104,104,566189494.4616262,566189494.4616263,566189494.4616263,553973447.5587559,555775924.898848,0.008521537552278888,31
EEZ_459,Malaysia (Peninsula West),EEZ,2019,1109839.2864373184,1109839.2864373184,0.0,1.0,153,153,545876685.8837115,545876685.8837115,545876685.8837115,319692799.8992253,384466587.7167525,0.008215815947088128,32
EEZ_948,Morocco (South),EEZ,2019,1708699.3094834066,1708699.3094834066,0.0,1.0,227,227,544607108.7029006,544607108.7029005,544607108.7029006,482639968.63426256,501100754.66269565,0.008196707945742955,33
EEZ_516,Namibia,EEZ,2019,687243.3923951921,687243.3923951921,0.0,1.0,57,57,508372691.890099,508372691.890099,508372691.890099,462452298.54250896,468456450.4418779,0.007651355291595215,34
EEZ_923,Iran (Sea of Oman),EEZ,2019,367466.85709092283,367466.85709092283,0.0,1.0,152,152,498970402.0793729,498970402.0793729,498970402.07937294,413435716.0336292,456002816.85696054,0.007509844425563169,35
EEZ_922,Iran (Persian Gulf),EEZ,2019,441683.33469723596,441683.33469723596,0.0,1.0,165,165,497624044.3117129,497624044.3117129,497624044.311713,340296999.4360813,415369783.1834287,0.0074895808240867294,36
EEZ_372,Ireland,EEZ,2019,408364.4619338022,408364.4619338022,0.0,1.0,287,287,466342206.9327241,466342206.932724,466342206.9327239,432788434.38743633,451061367.4826854,0.007018767863873104,37
EEZ_461,Malaysia (Sabah),EEZ,2019,490558.95726488077,490558.95726488077,0.0,1.0,114,114,463737305.0889255,463737305.0889254,463737305.0889255,285551030.0534761,356452083.706455,0.00697956231679202,38
EEZ_953,South Africa (Atlantic and Cape),EEZ,2019,649172.6258836817,649172.6258836817,0.0,1.0,100,100,448581864.5071265,448581864.50712657,448581864.5071266,411561111.14749527,418059191.08651906,0.00675146261289,39
EEZ_798,Tuvalu,EEZ,2019,145109.2872791087,145109.2872791087,0.0,1.0,46,46,371273439.1947608,371273439.19476074,371273439.1947607,368772891.9813164,368904353.60025245,0.00558791815321525,40
EEZ_050,Bangladesh,EEZ,2019,1114582.7199230574,1114582.7199230574,0.0,1.0,116,116,360072715.7005182,360072715.70051813,360072715.70051813,234022123.55637613,281557475.2599753,0.0054193396352410885,41
EEZ_926,Canada (East Coast),EEZ,2019,694924.7188260402,694924.7188260402,0.0,1.0,112,112,358887702.9263927,358887702.9263926,358887702.9263927,290071601.88415486,309167083.59283483,0.0054015043858176735,42
EEZ_152,Chile (mainland),EEZ,2019,1654215.540126388,1654215.540126388,0.0,1.0,129,129,345575776.78016967,345575776.7801696,345575776.7801696,255387213.71260306,286243706.13320345,0.005201150829883069,43
EEZ_324,Guinea,EEZ,2019,1012636.6535959236,1012636.6535959236,0.0,1.0,201,201,336296938.66161853,336296938.66161853,336296938.66161853,281411632.6133717,275820022.72623754,0.005061497995907519,44
EEZ_917,Yemen (Arabian Sea),EEZ,2019,324367.1527000878,324367.1527000878,0.0,1.0,49,49,331675839.9836948,331675839.9836948,331675839.9836948,309304483.70174855,320546355.1211275,0.004991947313138037,45
EEZ_460,Malaysia (Peninsula East),EEZ,2019,493489.5345653823,493489.5345653823,0.0,1.0,157,157,326099085.0836484,326099085.08364826,326099085.0836483,222182994.882375,249715851.01259753,0.004908013353279265,46
EEZ_288,Ghana,EEZ,2019,476804.00802107295,476804.00802107295,0.0,1.0,103,103,324126100.9393173,324126100.93931735,324126100.9393173,238206610.9968188,274662612.9582115,0.004878318598006642,47
EEZ_946,Morocco (Central),EEZ,2019,947648.9249708244,947648.9249708244,0.0,1.0,232,232,316140800.3054868,316140800.30548686,316140800.3054869,273451584.58033705,292387446.856549,0.004758134384270697,48
EEZ_956,Thailand (Andaman Sea),EEZ,2019,421454.11553944217,421454.11553944217,0.0,1.0,69,69,313495011.23728895,313495011.237289,313495011.23728895,224493243.41878027,252670912.2626254,0.004718313456612024,49
EEZ_944,Mexico (Atlantic),EEZ,2019,513071.273739008,513071.273739008,0.0,1.0,103,103,306325336.4678513,306325336.46785116,306325336.4678512,202344282.69585595,247367572.20925406,0.004610404967699695,50
EEZ_090,Solomon Isl.,EEZ,2019,142760.9815038889,142760.9815038889,0.0,1.0,52,52,304737248.27830005,304737248.27830005,304737248.27830005,300385320.9573925,299782267.2557317,0.0045865031587188345,51
EEZ_566,Nigeria,EEZ,2019,532269.8890131604,532269.8890131604,0.0,1.0,77,77,304675912.1204597,304675912.12045956,304675912.12045956,229015816.3190449,277012116.7712002,0.004585580007764142,52
EEZ_852,USA (Gulf of Mexico),EEZ,2019,1104194.026503118,1104194.026503118,0.0,1.0,375,375,288829700.6693002,288829700.6693001,288829700.6693002,184927147.1340163,242453427.13459975,0.004347083731758867,53
EEZ_925,Canada (Pacific),EEZ,2019,198174.6028298108,198174.6028298108,0.0,1.0,26,26,276796938.98617065,276796938.98617065,276796938.98617065,259836362.681948,260822475.22653812,0.004165982472298178,54
EEZ_942,Kiribati (Line Islands),EEZ,2019,110424.34936910501,110424.34936910501,0.0,1.0,40,40,275077618.8439184,275077618.8439183,275077618.8439183,272099013.98385066,271544337.2471547,0.004140105533040371,55
EEZ_686,Senegal,EEZ,2019,542145.3642563997,542145.3642563997,0.0,1.0,256,256,263403378.0497803,263403378.0497803,263403378.04978034,223582525.0829516,222639224.56650266,0.003964400257165924,56
EEZ_645,Russia (Barents Sea),EEZ,2019,257638.50382026174,257638.50382026174,0.0,1.0,86,86,256304293.92408934,256304293.92408934,256304293.92408934,248417328.29440054,236031062.5418131,0.003857554205524882,57
EEZ_304,Greenland (Denmark),EEZ,2019,262286.0841378048,262286.0841378048,0.0,1.0,54,54,248197559.24175024,248197559.24175033,248197559.2417503,246954669.5936757,247859388.53952336,0.003735542326643939,58
EEZ_238,Falkland Isl. (UK),EEZ,2019,278214.9808580502,278214.9808580502,0.0,1.0,33,33,240475941.02839914,240475941.02839917,240475941.02839917,218731675.69853857,218030091.2427321,0.003619326712943795,59
EEZ_024,Angola,EEZ,2019,619737.0070171056,619737.0070171056,0.0,1.0,120,120,238291043.5932122,238291043.5932122,238291043.59321222,193119589.75474402,214098235.0059215,0.003586442518298807,60
EEZ_919,France (Atlantic Coast),EEZ,2019,270826.2519812341,270826.2519812341,0.0,1.0,348,348,220204619.0813137,220204619.0813138,220204619.0813137,169005621.09511688,189192339.3498306,0.003314229509805683,61
EEZ_744,Svalbard Isl. (Norway),EEZ,2019,219891.4498277699,219891.4498277699,0.0,1.0,62,62,218315950.64442787,218315950.64442784,218315950.6444278,217216675.2255146,207323146.5444756,0.0032858037633618532,62
EEZ_963,Spain (Northwest),EEZ,2019,194491.9853032628,194491.9853032628,0.0,1.0,312,312,218230163.06143558,218230163.06143558,218230163.06143552,190512956.20310688,207412846.6597897,0.0032845126018035075,63
EEZ_520,Nauru,EEZ,2019,81729.3484479404,81729.3484479404,0.0,1.0,28,28,211818272.35681504,211818272.356815,211818272.35681507,211133892.17355394,210905086.08212376,0.0031880092792321716,64
EEZ_943,Kiribati (Phoenix Islands),EEZ,2019,77760.627954773,77760.627954773,0.0,1.0,30,30,197891389.7807206,197891389.7807206,197891389.78072062,196618738.02517822,196173329.33670193,0.0029784002101497166,65
EEZ_694,Sierra Leone,EEZ,2019,442517.00676733244,442517.00676733244,0.0,1.0,214,214,188913523.83892518,188913523.83892512,188913523.8389252,146072990.1542673,143010668.57291692,0.0028432772124418874,66
EEZ_512,Oman,EEZ,2019,304318.44171610783,304318.44171610783,0.0,1.0,66,66,187008419.87587023,187008419.87587017,187008419.87587017,157417671.79835263,173471533.90377143,0.002814604100134134,67
EEZ_219,Galapagos Isl. (Ecuador),EEZ,2019,68947.83335948801,68947.83335948801,0.0,1.0,47,47,178171427.7951421,178171427.7951421,178171427.7951421,175820957.12708527,177166073.02531397,0.0026816013499917617,68
EEZ_862,Venezuela,EEZ,2019,306380.438267835,306380.438267835,0.0,1.0,153,153,172576491.72799766,172576491.72799766,172576491.72799766,109361956.20020832,152625911.82444447,0.0025973937511840407,69
EEZ_380,Italy (mainland),EEZ,2019,234477.5946714614,234477.5946714614,0.0,1.0,159,159,166295145.49936318,166295145.49936318,166295145.49936315,139251647.64297917,138802843.8086451,0.0025028552118968165,70
EEZ_706,Somalia,EEZ,2019,139703.8091832829,139703.8091832829,0.0,1.0,121,121,166015194.26696122,166015194.26696122,166015194.26696122,128484904.46261014,148400965.22101557,0.00249864175516006,71
EEZ_794,Turkey (Black Sea),EEZ,2019,557210.7803783925,557210.7803783925,0.0,1.0,49,49,164051844.8986375,164051844.89863747,164051844.89863753,154964279.53989428,147071763.1699224,0.0024690920098290868,72
EEZ_962,"Spain (mainland, Med and Gulf of Cadiz)",EEZ,2019,200667.8299873407,200667.8299873407,0.0,1.0,375,375,161337945.08672658,161337945.0867266,161337945.08672658,126841222.70377925,139703638.27953878,0.00242824596908382,73
EEZ_036,Australia,EEZ,2019,228804.7535442354,228804.7535442354,0.0,1.0,529,529,159135782.88848543,159135782.88848546,159135782.88848546,107374397.92635019,113696362.2670475,0.002395101927994953,74
EEZ_116,Cambodia,EEZ,2019,211746.984487642,211746.984487642,0.0,1.0,110,110,157736807.02534643,157736807.02534643,157736807.0253464,95406747.0645604,134067533.23490132,0.002374046388340678,75
EEZ_218,Ecuador (mainland),EEZ,2019,227592.59662859532,227592.59662859532,0.0,1.0,82,82,156635027.49107185,156635027.49107182,156635027.49107182,115235123.32919997,134427165.56673172,0.002357463855871437,76
EEZ_508,Mozambique,EEZ,2019,296238.55412247276,296238.55412247276,0.0,1.0,90,90,155171497.13322508,155171497.13322508,155171497.13322508,102164310.31060095,140954696.79113078,0.002335436727100441,77
EEZ_012,Algeria,EEZ,2019,236644.15639922052,236644.15639922052,0.0,1.0,187,187,153457037.5384049,153457037.53840494,153457037.5384049,138879989.24559036,135346368.60032412,0.002309632942392254,78
