unit_id,sau_region_id,catch_csv,data_version,csv_bytes,empty_catch_csv,source_url
EEZ_155,155,SAU EEZ 155 v50-1.csv,50.1,2018434,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=155
EEZ_156,156,SAU EEZ 156 v50-1.csv,50.1,44832844,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=156
EEZ_157,157,SAU EEZ 157 v50-1.csv,50.1,20804576,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=157
EEZ_162,162,SAU EEZ 162 v50-1.csv,50.1,1895791,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=162
EEZ_166,166,SAU EEZ 166 v50-1.csv,50.1,1208230,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=166
EEZ_174,174,SAU EEZ 174 v50-1.csv,50.1,1811763,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=174
EEZ_175,175,SAU EEZ 175 v50-1.csv,50.1,7202634,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=175
EEZ_178,178,SAU EEZ 178 v50-1.csv,50.1,4517535,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=178
EEZ_180,180,SAU EEZ 180 v50-1.csv,50.1,4676865,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=180
EEZ_184,184,SAU EEZ 184 v50-1.csv,50.1,4528167,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=184
EEZ_191,191,SAU EEZ 191 v50-1.csv,50.1,9406310,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=191
EEZ_192,192,SAU EEZ 192 v50-1.csv,50.1,4947074,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=192
EEZ_197,197,SAU EEZ 197 v50-1.csv,50.1,2858441,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=197
EEZ_198,198,SAU EEZ 198 v50-1.csv,50.1,8458644,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=198
EEZ_204,204,SAU EEZ 204 v50-1.csv,50.1,8475352,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=204
EEZ_212,212,SAU EEZ 212 v50-1.csv,50.1,2118292,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=212
EEZ_214,214,SAU EEZ 214 v50-1.csv,50.1,7624754,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=214
EEZ_218,218,SAU EEZ 218 v50-1.csv,50.1,10631409,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=218
EEZ_219,219,SAU EEZ 219 v50-1.csv,50.1,4601664,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=219
EEZ_222,222,SAU EEZ 222 v50-1.csv,50.1,4760382,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=222
EEZ_226,226,SAU EEZ 226 v50-1.csv,50.1,8229713,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=226
EEZ_233,233,SAU EEZ 233 v50-1.csv,50.1,26296772,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=233
EEZ_234,234,SAU EEZ 234 v50-1.csv,50.1,23861792,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=234
EEZ_238,238,SAU EEZ 238 v50-1.csv,50.1,5670217,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=238
EEZ_239,239,SAU EEZ 239 v50-1.csv,50.1,1530982,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=239
