commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,29072.9492116375,4.095965857393727,1247.2854534755938,36262266.641310185
Crustaceans,8.8019263176,3.1537593275554734,142.48177852407005,1254.1141161694666
Flatfishes,15789.6647557821,4.157987624509237,1438.7575793816582,22717499.843276933
Molluscs,3.4029850746,2.1,12.589254117941675,42.841043863702104
Other fishes & inverts,4263.8936655488,3.31614458092747,207.08306340448553,882980.1622928263
Perch-likes,122.1513190902,3.4775297234903038,300.28229296293915,36679.8781848529
"Salmon, smelts, etc",13.795119683300001,3.1501758745325668,141.31096902526767,1949.4017302666668
Scorpionfishes,32837.70405282581,3.7896598092663534,616.1122009467498,20231710.118024513
Sharks & rays,4212.114304450501,4.36391560403777,2311.6155328571845,9736788.852337712
Tuna & billfishes,1420.622132477,4.520045156948439,3311.6555353045724,4704611.148593643
