functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,171.17425699109998,3.9991447972458873,998.0327604441377,170837.51622180175
Large bathydemersals (>=90 cm),0.004492981900000001,3.69,489.77881936844614,2.2005673704257984
Large bathypelagics (>=90 cm),72.5693858215,3.54,346.73685045253166,25162.480279021518
Large benthopelagics (>=90 cm),28431.3727779727,4.091173619761276,1233.597895368792,35072881.62135269
Large demersals (>=90 cm),169.35419098810002,3.7416530378783994,551.6365553358751,93421.9625483694
Large flatfishes (>=90 cm),1027.7270369283,4.0,1000.0,1027727.0369283
Large pelagics (>=90 cm),1430.4836735423,4.519005422774407,3303.7366618864526,4725941.356511708
Large rays (>=90 cm),12.933121725,3.82,660.6934480075957,8544.828785992195
Large reef assoc. fish (>=90 cm),32742.6339197331,3.79,616.5950018614822,20188944.42268766
Large sharks (>=90 cm),4199.053559259,4.365606792430694,2320.6347563899917,9744469.633559538
"Lobsters, crabs",1.5710905816,3.54,346.73685045253166,544.7550000396202
Medium bathydemersals (30 - 89 cm),2.3075275959,3.8353195087845586,684.4149835857181,1579.30646167149
Medium bathypelagics (30 - 89 cm),90.69893942220001,3.6487505032538525,445.4002979858524,40397.33464564866
Medium benthopelagics (30 - 89 cm),6.2992838815,3.907720606611147,808.5755532928116,5093.446949832352
Medium demersals (30 - 89 cm),4558.9808774374,3.411609220948551,257.99377127445615,1176188.669738204
Medium pelagics (30 - 89 cm),41.4455481935,3.418446162863106,262.0874122913532,10862.356477030984
Other demersal invertebrates,3.4029850746,2.1,12.589254117941675,42.841043863702104
Shrimps,7.230835736,3.0698383113875507,117.44602198936094,849.232892851713
Small pelagics (<30 cm),13.7906267014,3.1500000000000004,141.25375446227554,1947.9777979604564
Small to medium flatfishes (<90 cm),14761.9377188538,4.168986732912251,1475.6614531981083,21783622.46622377
Small to medium sharks (<90 cm),0.1276234665,3.84,691.8309709189363,88.29386674073534
