commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Crustaceans,6,6,4946.614812886,4946.614812886,0.0,1.0,145.23239413247626,718408.7121266049,3.1588734927385946,144.16953335361526,713151.1492538556,5257.562872749288,1.0073722981141517,0.007372298114151659
Herring-likes,3,3,544.22639861,544.22639861,0.0,1.0,833.7528301518414,453750.3000844317,3.4882099883557873,307.7584516580673,167490.27378765977,286260.02629677195,2.709114325406654,1.7091143254066543
Molluscs,4,4,2342.368846,2342.368846,0.0,1.0,15.245828053246964,35711.35266339852,2.1821229954447574,15.20978221147605,35626.92000660648,84.43265679203614,1.002369911762689,0.0023699117626889824
Other fishes & inverts,17,17,12901.218229021999,12901.218229021999,0.0,1.0,220.32171493572167,2842418.524978121,3.282349468155485,191.57969087116055,2471611.400177416,370807.1248007049,1.150026466447795,0.15002646644779508
Perch-likes,35,35,29906.601327360997,29906.601327360997,0.0,1.0,915.9609430661355,27393278.75571252,3.8086495278887824,643.6496358588687,19249373.054132264,8143905.701580256,1.4230738153745741,0.42307381537457417
Scorpionfishes,1,1,12.441978314,12.441978314,0.0,1.0,549.5408738576248,6837.375635193177,3.7400000000000007,549.5408738576253,6837.375635193184,-7.275957614183426e-12,0.9999999999999989,-1.064144783377526e-15
Sharks & rays,7,7,3462.544940919,3462.544940919,0.0,1.0,1406.6022301140529,4870423.435766797,4.113291455128477,1298.050100470647,4494556.808444039,375866.6273227576,1.0836270723326062,0.08362707233260627
Tuna & billfishes,7,7,293.99973890000007,293.99973890000007,0.0,1.0,3035.3621484166656,892395.6791014429,4.481406206146598,3029.7458979682497,890744.5029360116,1651.1761654312722,1.001853703458162,0.001853703458161995
