functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,1,1,0.0005846117,0.0005846117,0.0,1.0,1348.9628825916532,0.7886194840288068,4.13,1348.9628825916532,0.7886194840288068,0.0,1.0,0.0
Large bathypelagics (>=90 cm),1,1,0.0094043514,0.0094043514,0.0,1.0,933.2543007969915,8.776651390256209,3.97,933.2543007969915,8.776651390256209,0.0,1.0,0.0
Large benthopelagics (>=90 cm),5,5,69.63791194289999,69.63791194289999,0.0,1.0,2591.103511288661,180439.03815405877,4.367690683956293,2331.7967032883134,162381.45349233606,18057.584661722707,1.111204723651368,0.11120472365136806
Large demersals (>=90 cm),3,3,2.0691977862,2.0691977862,0.0,1.0,318.033040051003,658.0732624119914,3.4043109107140412,253.69441747609736,524.9439270128393,133.12933539915218,1.2536067731209244,0.25360677312092433
Large flatfishes (>=90 cm),1,1,0.24331082089999997,0.24331082089999997,0.0,1.0,1000.0,243.31082089999998,4.0,1000.0,243.31082089999998,0.0,1.0,0.0
Large rays (>=90 cm),1,1,0.0048500627,0.0048500627,0.0,1.0,660.6934480075957,3.2044046483160296,3.82,660.6934480075957,3.2044046483160296,0.0,1.0,0.0
Large reef assoc. fish (>=90 cm),4,4,1.8939543184,1.8939543184,0.0,1.0,597.4403079014397,1131.5246511361574,3.774953306701676,595.5981041819866,1128.0356014463266,3.4890496898308356,1.0030930315367328,0.0030930315367327962
Large sharks (>=90 cm),2,2,2.89193991,2.89193991,0.0,1.0,1698.1982923348862,4911.087416697104,4.229985830500192,1698.1882456546948,4911.058362301696,0.029054395407911215,1.0000059161169068,5.916116906884835e-06
"Lobsters, crabs",2,2,0.0395056698,0.0395056698,0.0,1.0,37.478386850636376,1.4806087755579025,2.564765044181076,36.7083652395434,1.4501885560511993,0.03042021950670315,1.0209767339424716,0.020976733942471654
Medium bathydemersals (30 - 89 cm),1,1,0.1786781827,0.1786781827,0.0,1.0,199.52623149688787,35.650984444843424,3.2999999999999994,199.52623149688768,35.65098444484339,3.552713678800501e-14,1.0000000000000009,9.965261083595043e-16
Medium benthopelagics (30 - 89 cm),2,2,775.2321393749,775.2321393749,0.0,1.0,2453.648473206771,1902147.1551580422,4.389684102885494,2452.924058759684,1901585.565796433,561.5893616091926,1.0002953268954657,0.00029532689546577645
Medium demersals (30 - 89 cm),6,6,70.88257152060001,70.88257152060001,0.0,1.0,482.00617481224293,34165.83715949964,3.632195301341414,428.74128113050654,30390.284523566806,3775.552635932836,1.1242355145771998,0.12423551457719988
Medium pelagics (30 - 89 cm),3,3,14.8511830984,14.8511830984,0.0,1.0,200.2329887572617,2973.696778373962,3.3009773443828565,199.97575465870128,2969.8765476770895,3.820230696872386,1.0012863264299185,0.0012863264299185794
Other demersal invertebrates,5,5,0.4996566994,0.4996566994,0.0,1.0,19.674597597262245,9.830544497471225,2.121652610456323,13.23282625930966,6.611870292460313,3.2186742050109114,1.4868023815714064,0.4868023815714063
Shrimps,1,1,1.5665e-05,1.5665e-05,0.0,1.0,50.11872336272725,0.0007851098014771224,2.7,50.11872336272725,0.0007851098014771224,0.0,1.0,0.0
Small pelagics (<30 cm),3,3,0.4659284375,0.4659284375,0.0,1.0,135.979573868199,63.35675038432579,3.1307536862503693,135.1305941344333,62.96118658350317,0.39556380082262166,1.0062826611486746,0.006282661148674502
Small to medium flatfishes (<90 cm),2,2,330.65858528719997,330.65858528719997,0.0,1.0,2398.00888046086,792922.2239193302,4.379557031909406,2396.387424655672,792386.075636681,536.1482826491119,1.000676625068428,0.0006766250684280609
Small to medium sharks (<90 cm),1,1,0.1762128683,0.1762128683,0.0,1.0,691.8309709189363,121.90951976439963,3.8400000000000003,691.8309709189369,121.90951976439976,-1.2789769243681803e-13,0.999999999999999,-1.049119811840707e-15
