functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,13,13,173878.8148369689,173878.8148369689,0.0,1.0,4306.065797629027,748733617.5017424,3.7816239970770305,4158.878730289739,723140904.6734579,25592712.828284502,1.0353910457324236,0.03539104573242357
Large bathydemersals (>=90 cm),2,2,1115.4458504,1115.4458504,0.0,1.0,1571.2933624841564,1752692.6609440153,3.4520309384126833,1549.4080255377553,1728280.7526625462,24411.90828146902,1.014124966816798,0.014124966816797932
Large bathypelagics (>=90 cm),1,1,26.6401455117,26.6401455117,0.0,1.0,22153.389612394185,590169.5228515643,4.34,22153.389612394185,590169.5228515643,0.0,1.0,0.0
Large benthopelagics (>=90 cm),14,14,73202.4749530428,73202.4749530428,0.0,1.0,22845.765920200225,1672366607.5565357,4.293969257247193,19299.799997782477,1412793125.936407,259573481.62012863,1.183730708236623,0.18373070823662302
Large demersals (>=90 cm),9,9,221473.1142202662,221473.1142202662,0.0,1.0,5165.842039197933,1144095123.9911368,3.8396961832517627,4949.141980450638,1096101887.1286585,47993236.862478256,1.0437853792845855,0.043785379284585514
Large pelagics (>=90 cm),32,32,263234.0604641482,263234.0604641482,0.0,1.0,22635.428926770637,5958415866.74147,4.301643363854889,19748.63355536198,5198512999.396461,759902867.3450098,1.1461769678046845,0.14617696780468442
Large rays (>=90 cm),11,11,20457.841973534,20457.841973534,0.0,1.0,2207.523350592842,45161163.85931465,3.496628767104013,1770.8791066590832,36228364.91826458,8932798.941050068,1.246569199609298,0.24656919960929796
Large reef assoc. fish (>=90 cm),16,16,29453.5669963071,29453.5669963071,0.0,1.0,4504.926299293965,132686148.5696806,3.520771679425711,1903.7046343819725,56070891.98994974,76615256.57973087,2.3663998174572205,1.3663998174572207
Large sharks (>=90 cm),37,37,50946.9089374415,50946.9089374415,0.0,1.0,30955.834837608407,1577104098.5541146,4.282537494727853,18650.03892324954,950161834.7025338,626942263.8515807,1.6598268220780061,0.6598268220780062
"Lobsters, crabs",10,10,2173.596809867,2173.596809867,0.0,1.0,1901.175040950439,4132388.0040086377,3.3481165044813403,1134.932429359719,2466885.5078708897,1665502.496137748,1.675143816291338,0.675143816291338
Medium bathydemersals (30 - 89 cm),10,10,7905.5589450769,7905.5589450769,0.0,1.0,33253.99964095077,262891454.3211024,4.451347031432036,30924.7368923023,244477330.36309007,18414123.958012342,1.0753203740022204,0.07532037400222043
Medium bathypelagics (30 - 89 cm),2,2,2985.1445349512,2985.1445349512,0.0,1.0,10197.139249911652,30439934.504010145,4.080770949774717,10190.028893285942,30418709.061787356,21225.44222278893,1.0006977759042857,0.0006977759042855895
Medium benthopelagics (30 - 89 cm),31,31,111676.81833909269,111676.81833909269,0.0,1.0,5936.446646634296,662963473.7358942,3.610614151051214,2491.6516083498313,278259724.0299922,384703749.705902,2.3825347920794915,1.3825347920794915
Medium demersals (30 - 89 cm),28,28,1786958.351354066,1786958.351354066,0.0,1.0,1375.1876442745204,2457403045.6152787,3.3380729964548816,1101.293562076806,1967965728.045616,489437317.5696628,1.2487021550196011,0.24870215501960105
Medium pelagics (30 - 89 cm),28,28,821194.0201590564,821194.0201590564,0.0,1.0,3074.167554511611,2524488012.731925,3.0909458318830176,525.2707851315405,431349227.71427363,2093138785.0176513,5.852538617280543,4.852538617280543
Medium reef assoc. fish (30 - 89 cm),19,19,154440.3705491723,154440.3705491723,0.0,1.0,7239.204434735969,1118025415.3818345,3.6219592365576347,2577.7904722832327,398114915.73754835,719910499.6442862,2.8082982354744956,1.8082982354744956
Other demersal invertebrates,8,8,23541.182782697102,23541.182782697102,0.0,1.0,133.49825283534378,3142706.7711675395,2.274193728817782,45.47411560058387,1070514.4672348427,2072192.3039326968,2.9356976176932994,1.9356976176932996
Shrimps,11,11,86188.7011849211,86188.7011849211,0.0,1.0,717.0626054307818,61802694.63035463,3.1176763602631974,569.0631529773326,49046814.047312364,12755880.583042264,1.2600756202174004,0.26007562021740027
