commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,178334.13182762708,3.2288408625927505,169.37170623503474,30204756.18758881
Crustaceans,180985.92546550703,2.8892897354525533,77.49786450455403,14026022.728957178
Flatfishes,3873.4020140164002,3.9970718562282848,993.2803781104773,3847374.217056094
Herring-likes,145650.54575638758,2.915875490557777,82.39018737678225,12000175.75639937
Molluscs,51978.5152997877,2.0455357476145615,11.105439425806791,577244.2531051638
Other fishes & inverts,659450.0903866689,3.907174996362343,807.5603663148926,532545756.5590474
Perch-likes,1284066.5360903968,3.6450477827589705,441.6190333149076,567068222.380263
Scorpionfishes,41732.16241524059,3.9001500556995605,794.602735271513,33160490.403945204
Sharks & rays,10239.425192844801,3.9308456149631184,852.7969038891781,8732150.102062898
Tuna & billfishes,59514.3224133451,4.301396934524649,2001.6905299717675,119129255.5724794
