functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Jellyfish,2,2,158.8847222984,158.8847222984,0.0,1.0,288.40315031266056,45822.854447410784,3.4600000000000004,288.40315031266084,45822.85444741083,-4.3655745685100555e-11,0.999999999999999,-9.527068143518344e-16
Large bathypelagics (>=90 cm),1,1,2.0432985008,2.0432985008,0.0,1.0,2187.761623949552,4470.250046323893,4.34,2187.761623949552,4470.250046323893,0.0,1.0,0.0
Large benthopelagics (>=90 cm),4,4,141.2348479243,141.2348479243,0.0,1.0,1782.8268568274607,251797.2799993842,4.212320468703742,1630.4987443972846,230283.24220571257,21514.037793671625,1.0934242439337079,0.09342424393370788
Large pelagics (>=90 cm),16,16,209.22831691930003,209.22831691930003,0.0,1.0,2759.390928256896,577342.7196415754,4.435710626186908,2727.160049200338,570599.1070637422,6743.612577833119,1.0118184772712584,0.0118184772712583
Large rays (>=90 cm),2,2,18.027859656,18.027859656,0.0,1.0,449.15279492343046,8097.263550979754,3.65007726834059,446.76307179418154,8054.181957788957,43.08159319079641,1.005348971927451,0.005348971927451117
Large reef assoc. fish (>=90 cm),4,4,202.469546591,202.469546591,0.0,1.0,655.9476528948506,132809.42386905107,3.8049975821057376,638.2599327276577,129228.19918657102,3581.224682480053,1.0277124087855602,0.027712408785560194
Large sharks (>=90 cm),5,5,435.2754961814,435.2754961814,0.0,1.0,1014.05441225475,441393.03744912427,4.003825066561358,1008.8464417573617,439126.13550677546,2266.901942348806,1.0051623024890848,0.005162302489084778
Medium demersals (30 - 89 cm),12,12,4283.154792375801,4283.154792375801,0.0,1.0,656.2854574958902,2810972.202440067,3.6703049195976014,468.0636549945633,2004789.0870268974,806183.1154131698,1.4021286431725042,0.4021286431725043
Medium pelagics (30 - 89 cm),3,3,82.5187615972,82.5187615972,0.0,1.0,1053.4043819477595,86925.62505939297,4.021732100780665,1051.313159937595,86753.06000888938,172.56505050358828,1.0019891523190756,0.0019891523190756146
Medium reef assoc. fish (30 - 89 cm),2,2,142.41729532920002,142.41729532920002,0.0,1.0,1029.8504334604418,146668.5133270404,4.012498861808191,1029.1978298862105,146575.5712910762,92.94203596419538,1.0006340895358314,0.0006340895358314996
Shrimps,2,2,280.7880275901,280.7880275901,0.0,1.0,56.86204486704058,15966.181422956095,2.754489502744523,56.81846579025754,15953.944939941988,12.236483014106852,1.000766987918046,0.0007669879180460144
Small benthopelagics (<30 cm),1,1,12.3762836339,12.3762836339,0.0,1.0,107.1519305237606,1326.1426840820081,3.03,107.1519305237606,1326.1426840820081,0.0,1.0,0.0
Small demersals (<30 cm),2,2,122.2151768197,122.2151768197,0.0,1.0,1940.643636554138,237176.1051854896,4.085833333440018,1218.5218844295298,148921.86756422903,88254.23762126057,1.592621077513664,0.592621077513664
Small pelagics (<30 cm),3,3,74.542516631,74.542516631,0.0,1.0,189.8648033013503,14153.000257732449,3.275737609341286,188.6851013005144,14065.062301715514,87.93795601693455,1.0062522265547453,0.006252226554745425
Small reef assoc. fish (<30 cm),2,2,144.62129254680002,144.62129254680002,0.0,1.0,421.7827446208379,60998.76570100244,3.6149295774683545,412.03070130666913,59588.412591934975,1410.353109067466,1.023668244340148,0.023668244340147953
Small to medium flatfishes (<90 cm),3,3,104.9707919169,104.9707919169,0.0,1.0,423.4827478424323,44453.31940416499,3.6224362626007283,419.2144679251353,44005.27468112332,448.0447230416685,1.0101816140516868,0.010181614051686935
Small to medium rays (<90 cm),1,1,48.8860707279,48.8860707279,0.0,1.0,380.1893963205613,18585.965718524563,3.5800000000000005,380.1893963205616,18585.965718524578,-1.4551915228366852e-11,0.9999999999999992,-7.82951795389518e-16
