year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,69,2588.9734171602,2588.9734171602,0.0,True
1951,90,2590.3020576317,2590.3020576317,0.0,True
1952,90,2663.4295883605,2663.4295883605,0.0,True
1953,136,3116.5519845695,3116.5519845695,0.0,True
1954,139,9534.8724830647,9534.872483064699,-1.8189894035458565e-12,True
1955,148,4492.5666941869,4492.5666941869,0.0,True
1956,146,3186.1511184535,3186.1511184535,0.0,True
1957,144,3180.5261882971004,3180.5261882971,-4.547473508864641e-13,True
1958,158,5266.1139409008,5266.1139409008,0.0,True
1959,159,5376.9482673891,5376.9482673891,0.0,True
1960,157,4073.5539629081,4073.5539629081,0.0,True
1961,163,10569.6647707253,10569.6647707253,0.0,True
1962,168,13954.745000171,13954.745000171,0.0,True
1963,169,11438.525085122099,11438.525085122099,0.0,True
1964,186,10204.021967348499,10204.021967348499,0.0,True
1965,192,10739.181805156899,10739.181805156899,0.0,True
1966,202,12010.6801330362,12010.6801330362,0.0,True
1967,210,10780.9387751333,10780.9387751333,0.0,True
1968,275,11475.444289014,11475.444289014,0.0,True
1969,304,12137.3849337567,12137.3849337567,0.0,True
1970,330,16175.264974401,16175.264974401,0.0,True
1971,340,15014.2989594822,15014.298959482201,1.8189894035458565e-12,True
1972,346,16417.0907945091,16417.0907945091,0.0,True
1973,353,19410.2768761843,19410.2768761843,0.0,True
1974,326,17031.6794317631,17031.6794317631,0.0,True
1975,364,12397.585059488,12397.585059488001,1.8189894035458565e-12,True
1976,353,10864.3929178325,10864.3929178325,0.0,True
1977,432,15277.3732354531,15277.3732354531,0.0,True
1978,170,11270.3156665633,11270.3156665633,0.0,True
1979,183,12283.3330351025,12283.3330351025,0.0,True
1980,225,12341.7853226238,12341.7853226238,0.0,True
1981,261,9471.9297698633,9471.9297698633,0.0,True
1982,255,11182.825934193901,11182.8259341939,-1.8189894035458565e-12,True
1983,264,9691.0972732942,9691.0972732942,0.0,True
1984,257,10770.4696869302,10770.4696869302,0.0,True
1985,280,12194.3509481108,12194.3509481108,0.0,True
1986,254,12804.8838973895,12804.8838973895,0.0,True
1987,214,13497.6196529651,13497.6196529651,0.0,True
1988,214,13931.0315746977,13931.0315746977,0.0,True
1989,261,15020.9463780932,15020.9463780932,0.0,True
1990,296,15606.2004401275,15606.2004401275,0.0,True
1991,292,17379.855938088698,17379.8559380887,3.637978807091713e-12,True
1992,281,14489.8416533288,14489.8416533288,0.0,True
1993,244,15036.9160782357,15036.9160782357,0.0,True
1994,260,11673.2863431079,11673.2863431079,0.0,True
1995,172,9651.2956623454,9651.2956623454,0.0,True
1996,222,9914.396695579,9914.396695579,0.0,True
1997,232,10776.5433773956,10776.5433773956,0.0,True
1998,222,11538.0632102743,11538.0632102743,0.0,True
1999,192,12890.9252231598,12890.9252231598,0.0,True
2000,195,14324.0336705966,14324.0336705966,0.0,True
2001,166,9852.0158933192,9852.0158933192,0.0,True
2002,178,9487.0168585985,9487.0168585985,0.0,True
2003,224,10815.4773315022,10815.4773315022,0.0,True
2004,262,11845.454588204,11845.454588204,0.0,True
2005,214,10401.9621730376,10401.9621730376,0.0,True
2006,213,11037.6927494245,11037.6927494245,0.0,True
2007,184,12003.23621604,12003.236216039999,-1.8189894035458565e-12,True
2008,186,11804.770997826201,11804.7709978262,-1.8189894035458565e-12,True
2009,190,10188.879926191401,10188.879926191401,0.0,True
2010,191,12165.0122139926,12165.012213992599,-1.8189894035458565e-12,True
2011,188,12221.0638011499,12221.0638011499,0.0,True
2012,194,12177.1193145387,12177.1193145387,0.0,True
2013,191,12096.564827206199,12096.5648272062,1.8189894035458565e-12,True
2014,189,12105.0242501014,12105.0242501014,0.0,True
2015,191,11398.6450186548,11398.6450186548,0.0,True
2016,190,11551.794278053101,11551.794278053101,0.0,True
2017,227,11824.2042346994,11824.2042346994,0.0,True
2018,198,11968.2784383549,11968.278438354899,-1.8189894035458565e-12,True
2019,184,11907.6644335737,11907.6644335737,0.0,True
