scientific_name,habitat,tl,source_rows
Acipenser baerii,demersal,3.33,2
Acipenser brevirostrum,demersal,3.25,1
Acipenser dabryanus,demersal,2.0,1
Acipenser fulvescens,demersal,3.28,1
Acipenser gueldenstaedtii,demersal,3.32,1
Acipenser medirostris,demersal,3.25,1
Acipenser naccarii,demersal,3.35,1
Acipenser nudiventris,demersal,3.33,1
Acipenser oxyrinchus,demersal,3.325,2
Acipenser persicus,demersal,3.72,1
Acipenser ruthenus,demersal,3.57,1
Acipenser schrenckii,demersal,3.26,1
Acipenser sinensis,demersal,3.5,1
Acipenser stellatus,demersal,3.49,1
Acipenser sturio,demersal,3.51,1
Acipenser transmontanus,demersal,3.25,1
Acmaea mitra,benthopelagic,2.0,1
Acnodon normani,benthopelagic,2.31,1
Acnodon senai,benthopelagic,2.03,1
Acodontaster conspicuus,benthic,3.0,1
Acodontaster hodgsoni,benthic,3.0,1
Acreichthys tomentosus,reef-associated,2.97,1
Acrocheilus alutaceus,demersal,2.13,1
Acrochordonichthys rugosus,demersal,4.2,1
Acrocnida brachiata,benthic,2.0,1
Acropoma japonicum,bathypelagic,3.26,1
Aculeola nigra,demersal,3.87,1
Acyrtops beryllinus,reef-associated,3.33,1
Acyrtus rubiginosus,demersal,3.26,1
Aegires albopunctatus,demersal,3.0,1
Aeneator fontainei,benthic,3.1,1
Aeolidia papillosa,benthic,3.6,1
Aeolidiella alba,benthic,4.368,1
Aeoliscus punctulatus,reef-associated,3.1,1
Aeoliscus strigatus,reef-associated,3.46,1
Aequidens gerciliae,benthopelagic,3.07,1
Aequidens patricki,benthopelagic,3.73,1
Aequidens tetramerus,benthopelagic,3.24,1
Aequidens tubicen,benthopelagic,3.17,1
Aequipecten opercularis,benthic,2.0,1
Aequorea victoria,pelagic,4.0,1
Aethaloperca rogaa,reef-associated,4.2,1
Aethia cristatella,others,3.57,1
Aethia psittacula,others,4.04,1
Aethia pusilla,others,3.98,1
Aethia pygmaea,others,3.43,1
Aethotaxis mitopteryx mitopteryx,bathypelagic,3.4,1
Aetobatus narinari,reef-associated,4.17,1
Aetomylaeus nichofii,demersal,3.76,1
Ageneiosus inermis,pelagic,3.98,1
Ageneiosus ucayalensis,pelagic,3.66,1
Agonostomus monticola,pelagic-neritic,3.39,1
Agonus cataphractus,demersal,3.43,1
Ahliesaurus berryi,bathypelagic,3.0,1
Aidablennius sphynx,demersal,2.82,1
Aidanosagitta oceania,pelagic,3.88,1
Aipysurus laevis,reef-associated,4.3,1
Akko dionaea,demersal,3.0,1
Akrokolioplax bicornis,demersal,2.0,1
Albatrossia pectoralis,bathydemersal,4.3,1
Albula vulpes,reef-associated,3.73,1
Albulichthys albuloides,benthopelagic,2.79,1
Alburnoides bipunctatus,benthopelagic,2.89,1
Alburnoides taeniatus,benthopelagic,3.2,1
Alburnus alburnus,benthopelagic,3.01,1
Alburnus belvica,benthopelagic,2.73,1
Alburnus chalcoides,pelagic,3.37,1
Alca torda,others,4.17,1
Alcichthys elongatus,demersal,3.59,1
Alcolapia alcalica,benthopelagic,2.65,1
Alcolapia grahami,benthopelagic,2.78,1
Alcolapia ndalalani,benthopelagic,3.2,1
Aldrichetta forsteri,demersal,2.51,1
Aldrovandia affinis,benthopelagic,3.3,1
Aldrovandia gracilis,bathypelagic,3.32,1
Aldrovandia oleosa,bathypelagic,3.061,1
Aldrovandia phalacra,benthopelagic,3.17,1
Aldrovandia rostrata,bathypelagic,3.5,1
Alectis alexandrina,pelagic-neritic,3.6,1
Alectis ciliaris,reef-associated,3.95,1
Alectis indica,reef-associated,4.09,1
Alectrias alectrolophus,demersal,3.13,1
Alepes djedaba,reef-associated,3.32,1
Alepes kleinii,reef-associated,3.54,1
Alepes melanoptera,pelagic-neritic,3.35,1
Alepes vari,pelagic-neritic,3.65,1
Alepisaurus brevirostris,bathypelagic,3.81,1
Alepisaurus ferox,bathypelagic,4.03,1
Alepocephalus agassizii,bathydemersal,3.38,1
Alepocephalus bairdii,bathydemersal,3.69,1
Alepocephalus rostratus,bathydemersal,3.67,1
Alepocephalus tenebrosus,bathydemersal,3.5,1
Alestes baremoze,benthopelagic,3.05,1
Alestes dentex,pelagic,2.93,1
Alestes macrophthalmus,pelagic,2.0,1
Alfaro cultratus,pelagic,3.35,1
Algae,Seaweeds,1.0,1
Alle alle,others,3.85,1
Alligator mississippiensis,demersal,4.22,1
Allocareproctus jordani,bathydemersal,3.64,1
Allocyttus niger,bathypelagic,3.38,1
Allocyttus verrucosus,bathypelagic,4.19,1
Allothunnus fallai,pelagic-oceanic,3.7,1
Allotoca diazi,demersal,2.83,1
Alluroteuthis antarcticus,demersal,4.1,1
Alopias pelagicus,pelagic-oceanic,4.5,1
Alopias superciliosus,pelagic-oceanic,4.51,1
Alopias vulpinus,pelagic-oceanic,4.5,1
Alosa aestivalis,pelagic-neritic,3.81,1
Alosa alabamae,pelagic-neritic,2.66,1
Alosa alosa,pelagic-neritic,2.95,1
Alosa braschnikowi,pelagic,3.94,1
Alosa caspia caspia,pelagic-neritic,3.47,1
Alosa chrysochloris,pelagic-neritic,3.89,1
Alosa fallax,pelagic-neritic,4.03,1
Alosa immaculata,pelagic-neritic,3.98,1
Alosa kessleri,pelagic-oceanic,4.46,1
Alosa macedonica,pelagic,3.71,1
Alosa maeotica,pelagic-neritic,4.44,1
Alosa mediocris,pelagic-neritic,4.12,1
Alosa pseudoharengus,pelagic-neritic,3.39,1
Alosa sapidissima,pelagic-neritic,3.48,1
Alosa saposchnikowii,pelagic,4.39,1
Alosa spp,demersal,3.78,1
Alphestes afer,reef-associated,3.58,1
Alphestes immaculatus,demersal,3.5,1
Alphestes multiguttatus,demersal,3.5,1
Alticorpus macrocleithrum,benthopelagic,3.5,1
Alticorpus peterdaviesi,benthopelagic,2.0,1
Alticus anjouanae,demersal,2.0,1
Alticus arnoldorum,reef-associated,2.0,1
Alticus kirkii,demersal,2.0,1
Alticus monochrus,demersal,2.0,1
Alticus montanoi,demersal,2.0,1
Alticus saliens,demersal,2.0,1
Alticus simplicirrus,reef-associated,2.0,1
Altolamprologus compressiceps,benthopelagic,3.58,1
Aluterus heudelotii,demersal,2.0,1
Aluterus monoceros,reef-associated,3.84,1
Aluterus schoepfii,reef-associated,2.02,1
Aluterus scriptus,reef-associated,2.81,1
Amatitlania nigrofasciata,benthopelagic,3.26,1
Amazonsprattus scintilla,pelagic,3.15,1
Ambassis agassizii,benthopelagic,3.3,1
Ambassis agrammus,demersal,3.26,1
Ambassis ambassis,demersal,3.65,1
Ambassis buruensis,demersal,3.4,1
Ambassis gymnocephalus,demersal,3.91,1
Ambassis interrupta,demersal,2.74,1
Ambassis jacksoniensis,demersal,3.1,1
Ambassis kopsii,demersal,3.04,1
Ambassis macleayi,demersal,3.18,1
Ambassis miops,demersal,3.45,1
Ambassis natalensis,demersal,3.42,1
Ambastaia sidthimunki,demersal,2.94,1
Ambloplites rupestris,demersal,3.43,1
Amblyceps mangois,benthopelagic,3.2,1
Amblychaeturichthys hexanema,demersal,3.4,1
Amblycirrhitus pinos,reef-associated,3.23,1
Amblygaster clupeoides,reef-associated,3.11,1
Amblygaster leiogaster,pelagic-neritic,3.4,1
Amblygaster sirm,reef-associated,3.2,1
Amblyglyphidodon aureus,reef-associated,2.68,1
Amblyglyphidodon curacao,reef-associated,2.63,1
Amblyglyphidodon leucogaster,reef-associated,3.38,1
Amblyglyphidodon ternatensis,reef-associated,2.69,1
Amblygobius albimaculatus,reef-associated,2.57,1
Amblygobius buanensis,reef-associated,2.72,1
Amblygobius decussatus,reef-associated,2.72,1
Amblygobius phalaena,reef-associated,2.74,1
Amblyopsis rosae,demersal,3.54,1
Amblyopsis spelaea,demersal,3.4,1
Amblypharyngodon melettinus,demersal,2.06,1
Amblyraja georgiana,bathydemersal,4.2,1
Amblyraja hyperborea,bathydemersal,4.31,1
Amblyraja jenseni,bathydemersal,3.62,1
Amblyraja radiata,demersal,4.2,1
Amblyrhynchichthys truncatus,benthopelagic,2.38,1
Amblyrhynchus cristatus,reef-associated,2.15,1
Ameiurus catus,demersal,3.84,1
Ameiurus melas,demersal,3.81,1
Ameiurus natalis,demersal,3.33,1
Ameiurus nebulosus,demersal,3.68,1
Amia calva,demersal,3.81,1
Amioides polyacanthus,benthopelagic,3.5,1
Ammocrypta pellucida,demersal,3.57,1
Ammodytes americanus,demersal,3.2,1
Ammodytes dubius,demersal,3.2,1
Ammodytes hexapterus,benthopelagic,3.13,1
Ammodytes marinus,benthopelagic,2.71,1
Ammodytes spp,demersal,3.06,1
Ammodytes tobianus,demersal,3.08,1
Ammodytoides pylei,benthopelagic,3.4,1
Ammoglanis diaphanus,demersal,3.2,1
Ammotretis elongatus,demersal,3.01,1
Ammotretis rostratus,demersal,3.061,1
Amniataba caudavittata,benthopelagic,3.17,1
Amniataba percoides,benthopelagic,2.79,1
Ampelisca brevicornis,benthic,2.86,1
Ampelisca diadema,benthic,2.0,1
Ampelisca sarsi,pelagic,2.78,1
Ampelisca spinipes,benthic,2.0,1
Ampelisca tenuicornis,benthic,2.0,1
Ampelisca typica,demersal,2.0,1
Ampharete acutifrons,benthic,2.0,1
Amphiarius rugispinis,demersal,3.33,1
Amphichaetodon howensis,reef-associated,2.76,1
Amphichthys cryptocentrus,reef-associated,3.75,1
Amphilius jacksonii,demersal,2.96,1
Amphilius natalensis,demersal,3.2,1
Amphilius uranoscopus,demersal,2.86,1
Amphilochus neapolitanus,demersal,2.82,1
Amphilophus altifrons,benthopelagic,2.89,1
Amphilophus bussingi,benthopelagic,2.47,1
Amphilophus citrinellus,benthopelagic,3.23,1
Amphilophus diquis,benthopelagic,2.63,1
Amphilophus labiatus,benthopelagic,3.45,1
Amphilophus lyonsi,benthopelagic,2.41,1
Amphilophus rhytisma,benthopelagic,2.54,1
Amphilophus robertsoni,benthopelagic,3.4,1
Amphilophus rostratus,benthopelagic,2.61,1
Amphioctopus mototi,benthic,3.5,1
Amphiprion akallopisos,reef-associated,2.73,1
Amphiprion akindynos,reef-associated,2.65,1
Amphiprion allardi,reef-associated,2.69,1
Amphiprion bicinctus,reef-associated,2.68,1
Amphiprion chrysogaster,reef-associated,2.64,1
Amphiprion chrysopterus,reef-associated,2.17,1
Amphiprion clarkii,reef-associated,2.87,1
Amphiprion ephippium,reef-associated,2.72,1
Amphiprion frenatus,reef-associated,2.78,1
Amphiprion fuscocaudatus,reef-associated,2.73,1
Amphiprion latezonatus,reef-associated,2.69,1
Amphiprion leucokranos,reef-associated,2.72,1
Amphiprion mccullochi,reef-associated,2.73,1
Amphiprion melanopus,reef-associated,2.34,1
Amphiprion nigripes,reef-associated,2.68,1
Amphiprion ocellaris,reef-associated,3.03,1
Amphiprion perideraion,reef-associated,2.21,1
Amphiprion polymnus,reef-associated,2.71,1
Amphiprion rubrocinctus,reef-associated,2.64,1
Amphiprion sandaracinos,reef-associated,2.71,1
Amphiprion sebae,reef-associated,2.72,1
Amphiprion tricinctus,reef-associated,2.29,1
Amphistichus argenteus,demersal,3.53,1
Amphistichus rhodoterus,demersal,3.37,1
Anabarilius alburnops,benthopelagic,2.61,1
Anabas testudineus,demersal,2.98,1
Anableps anableps,demersal,3.3,1
Anablepsoides hartii,benthopelagic,3.03,1
Anadoras weddellii,demersal,2.81,1
Anaecypris hispanica,pelagic,2.75,1
Anamixis hanseni,host,2.41,1
Anampses caeruleopunctatus,reef-associated,3.28,1
Anampses chrysocephalus,reef-associated,3.5,1
Anampses cuvier,reef-associated,3.62,1
Anampses elegans,reef-associated,3.5,1
Anampses geographicus,reef-associated,3.24,1
Anampses lennardi,reef-associated,3.5,1
Anampses melanurus,reef-associated,3.35,1
Anampses meleagrides,reef-associated,3.5,1
Anampses neoguinaicus,reef-associated,3.5,1
