scientific_name,habitat,tl,source_rows
Cheilopogon furcatus,pelagic-oceanic,3.96,1
Cheilopogon heterurus,pelagic-neritic,3.4,1
Cheilopogon intermedius,pelagic-neritic,3.94,1
Cheilopogon nigricans,pelagic-oceanic,3.03,1
Cheilopogon pinnatibarbatus japonicus,pelagic-oceanic,3.4,1
Cheilopogon pinnatibarbatus melanocercus,pelagic-neritic,3.25,1
Cheilopogon pinnatibarbatus pinnatibarbatus,pelagic-neritic,3.97,1
Cheilopogon pitcairnensis,pelagic-neritic,3.94,1
Cheilopogon rapanouiensis,pelagic-neritic,3.97,1
Cheilopogon spilonotopterus,pelagic-oceanic,3.96,1
Cheilopogon spilopterus,pelagic-neritic,4.2,1
Cheilopogon suttoni,reef-associated,3.94,1
Cheiloprion labiatus,reef-associated,3.29,1
Cheilotrema saturnum,demersal,3.55,1
Cheimarrichthys fosteri,demersal,3.2,1
Cheimerius nufar,reef-associated,3.54,1
Cheirocratus intermedius,benthic,2.0,1
Cheirocratus sundevallii,demersal,2.0,1
Chelaethiops bibie,demersal,2.25,1
Chelidonichthys capensis,demersal,4.1,1
Chelidonichthys cuculus,demersal,3.81,1
Chelidonichthys kumu,demersal,3.68,1
Chelidonichthys lucerna,demersal,3.98,1
Chelidonichthys obscurus,demersal,3.74,1
Chelidonichthys queketti,demersal,3.77,1
Chelidoperca hirundinacea,demersal,4.03,1
Chelmon muelleri,reef-associated,3.5,1
Chelmon rostratus,reef-associated,3.5,1
Chelmonops curiosus,reef-associated,3.29,1
Chelmonops truncatus,reef-associated,2.79,1
Chelon bispinosus,demersal,2.75,1
Chelon labrosus,demersal,2.59,1
Chelon macrolepis,demersal,2.57,1
Chelon melinopterus,reef-associated,2.32,1
Chelon parsia,demersal,2.0,1
Chelon planiceps,demersal,2.0,1
Chelon subviridis,demersal,2.74,1
Chelonia mydas,pelagic,2.065,2
Chelonodon patoca,reef-associated,3.1,1
Chendol keelini,demersal,3.24,1
Chetia brevis,benthopelagic,3.81,1
Chetia flaviventris,benthopelagic,3.98,1
Chiasmodon niger,pelagic-oceanic,4.2,1
Chicoreus ramosus,benthic,3.64,1
Chilara taylori,demersal,4.07,1
Chilatherina pricei,demersal,2.56,1
Chilochromis duponti,benthopelagic,2.59,1
Chilodus punctatus,pelagic,2.77,1
Chilodus zunevei,pelagic,3.01,1
Chiloglanis anoterus,benthopelagic,3.2,1
Chiloglanis asymetricaudalis,benthopelagic,2.57,1
Chiloglanis bifurcus,benthopelagic,3.25,1
Chiloglanis emarginatus,benthopelagic,3.2,1
Chiloglanis fasciatus,benthopelagic,3.03,1
Chiloglanis neumanni,benthopelagic,2.77,1
Chiloglanis pretoriae,benthopelagic,3.2,1
Chiloglanis swierstrai,benthopelagic,3.5,1
Chilomycterus antennatus,reef-associated,3.77,1
Chilomycterus reticulatus,reef-associated,3.45,1
Chilomycterus schoepfii,reef-associated,3.18,1
Chilomycterus spinosus mauretanicus,demersal,3.6,1
Chilorhinus suensonii,reef-associated,4.03,1
Chiloscyllium arabicum,demersal,4.06,1
Chiloscyllium griseum,reef-associated,3.72,1
Chiloscyllium hasseltii,reef-associated,3.5,1
Chiloscyllium indicum,demersal,3.98,1
Chiloscyllium plagiosum,reef-associated,3.98,1
Chiloscyllium punctatum,reef-associated,4.06,1
Chilotilapia rhoadesii,benthopelagic,3.37,1
Chimaera monstrosa,bathydemersal,3.52,1
Chimaera phantasma,bathydemersal,3.48,1
Chionobathyscus dewitti,bathydemersal,3.76,1
Chionodraco hamatus,demersal,3.73,1
Chionodraco myersi,bathydemersal,3.85,1
Chionodraco rastrospinosus,benthopelagic,3.85,1
Chionoecetes bairdi,benthic,3.08,1
Chionoecetes japonicus,benthic,3.74,1
Chionoecetes opilio,benthic,3.54,1
Chiridotea caeca,demersal,3.13,1
Chirocentrodon bleekerianus,pelagic-neritic,3.27,1
Chirocentrus dorab,reef-associated,4.2,1
Chirocentrus nudus,pelagic-neritic,4.19,1
Chirodactylus brachydactylus,reef-associated,3.5,1
Chirodactylus grandis,demersal,3.25,1
Chirodactylus jessicalenorum,reef-associated,3.82,1
Chirolophis ascanii,benthopelagic,3.23,1
Chirolophis nugator,demersal,3.6,1
Chironemus marmoratus,reef-associated,3.73,1
Chiroteuthis veranyi,pelagic-oceanic,4.04,1
Chitala blanci,demersal,3.66,1
Chitala chitala,demersal,3.73,1
Chitala lopis,demersal,4.5,1
Chitala ornata,pelagic,3.68,1
Chitonotus pugetensis,demersal,3.55,1
Chlamydogobius eremius,demersal,2.7,1
Chlamydogobius gloveri,demersal,3.11,1
Chlamydoselachus anguineus,bathydemersal,4.21,1
Chlidonias albostriatus,others,4.18,1
Chlidonias hybrida,others,3.73,1
Chlidonias leucopterus,others,3.87,1
Chlidonias niger,others,4.1,1
Chlorophthalmus acutifrons,demersal,4.03,1
Chlorophthalmus agassizi,bathydemersal,3.66,1
Chlorophthalmus albatrossis,bathydemersal,4.06,1
Chlorophthalmus atlanticus,bathydemersal,3.17,1
Chlorophthalmus borealis,bathydemersal,3.2,1
Chlorophyceae,Seaweeds,1.0,1
Chloroscombrus chrysurus,pelagic-neritic,3.54,1
Chloroscombrus orqueta,benthopelagic,2.54,1
Chlorurus atrilunula,reef-associated,2.0,1
Chlorurus bleekeri,reef-associated,2.0,1
Chlorurus bowersi,reef-associated,2.0,1
Chlorurus enneacanthus,reef-associated,2.0,1
Chlorurus frontalis,reef-associated,2.0,1
Chlorurus genazonatus,reef-associated,2.0,1
Chlorurus gibbus,reef-associated,2.0,1
Chlorurus japanensis,reef-associated,2.0,1
Chlorurus oedema,reef-associated,2.0,1
Chlorurus sordidus,reef-associated,2.0,1
Chlorurus strongylocephalus,reef-associated,2.0,1
Choerodon anchorago,reef-associated,4.24,1
Choerodon azurio,reef-associated,3.5,1
Choerodon cephalotes,reef-associated,3.37,1
Choerodon cyanodus,reef-associated,3.6,1
Choerodon fasciatus,reef-associated,3.38,1
Choerodon graphicus,reef-associated,4.27,1
Choerodon jordani,reef-associated,3.5,1
Choerodon robustus,reef-associated,3.35,1
Choerodon schoenleinii,reef-associated,3.38,1
Chologaster cornuta,demersal,3.28,1
Chondrostoma cyri,benthopelagic,2.99,1
Chondrostoma nasus,benthopelagic,2.0,1
Chondrostoma prespense,benthopelagic,2.0,1
Chondrostoma soetta,benthopelagic,2.78,1
Choriaster granulatus,reef-associated,3.84,1
Chorisochismus dentex,demersal,3.17,1
Chromidotilapia guntheri,benthopelagic,2.6,1
Chromis agilis,reef-associated,2.96,1
Chromis albomaculata,reef-associated,2.97,1
Chromis alleni,reef-associated,3.4,1
Chromis alta,reef-associated,3.4,1
Chromis amboinensis,reef-associated,2.74,1
Chromis analis,reef-associated,3.04,1
Chromis atrilobata,reef-associated,3.4,1
Chromis atripectoralis,reef-associated,3.06,1
Chromis atripes,reef-associated,2.64,1
Chromis chromis,reef-associated,3.77,1
Chromis chrysura,reef-associated,3.04,1
Chromis cinerascens,reef-associated,2.68,1
Chromis cyanea,reef-associated,3.1,1
Chromis dasygenys,reef-associated,2.64,1
Chromis dimidiata,reef-associated,2.68,1
Chromis dispilus,pelagic-neritic,3.01,1
Chromis elerae,reef-associated,2.67,1
Chromis enchrysura,reef-associated,3.4,1
Chromis flavapicis,reef-associated,3.4,1
Chromis flavaxilla,reef-associated,3.4,1
Chromis flavomaculata,reef-associated,2.96,1
Chromis fumea,reef-associated,3.4,1
Chromis hypsilepis,reef-associated,2.71,1
Chromis insolata,reef-associated,3.4,1
Chromis iomelas,reef-associated,2.69,1
Chromis klunzingeri,reef-associated,2.68,1
Chromis lepidolepis,reef-associated,3.41,1
Chromis leucura,reef-associated,3.11,1
Chromis limbata,reef-associated,3.4,1
Chromis limbaughi,reef-associated,3.4,1
Chromis margaritifer,reef-associated,2.95,1
Chromis mirationis,reef-associated,2.65,1
Chromis multilineata,reef-associated,3.01,1
Chromis nigrura,reef-associated,3.4,1
Chromis nitida,reef-associated,2.66,1
Chromis notata,reef-associated,3.4,1
Chromis opercularis,reef-associated,2.72,1
Chromis ovalis,reef-associated,3.08,1
Chromis ovatiformes,reef-associated,3.4,1
Chromis pamae,reef-associated,3.4,1
Chromis pelloura,reef-associated,2.72,1
Chromis pembae,reef-associated,2.67,1
Chromis punctipinnis,reef-associated,2.73,1
Chromis retrofasciata,reef-associated,2.65,1
Chromis scotochiloptera,reef-associated,3.4,1
Chromis scotti,reef-associated,3.4,1
Chromis ternatensis,reef-associated,3.4,1
Chromis trialpha,reef-associated,2.68,1
Chromis vanderbilti,reef-associated,3.19,1
Chromis verater,reef-associated,3.28,1
Chromis viridis,reef-associated,2.92,1
Chromis weberi,reef-associated,3.4,1
Chromis westaustralis,reef-associated,2.71,1
Chromis xanthochira,reef-associated,2.72,1
Chromis xanthura,reef-associated,3.4,1
Chromobotia macracanthus,demersal,2.85,1
Chromodoris baumanni,demersal,3.0,1
Chromodoris dalli,demersal,3.0,1
Chromodoris fidelis,demersal,3.0,1
Chromodoris lochi,demersal,3.0,1
Chromogobius quadrivittatus,demersal,3.39,1
Chrosomus cumberlandensis,demersal,2.56,1
Chrosomus eos,demersal,2.51,1
Chrosomus neogaeus,demersal,2.63,1
Chrosomus oreas,demersal,2.0,1
Chrysaora quinquecirrha,pelagic,4.09,1
Chrysichthys auratus,demersal,3.66,1
Chrysichthys brachynema,demersal,3.89,1
Chrysichthys helicophagus,demersal,3.37,1
Chrysichthys longipinnis,demersal,3.061,1
Chrysichthys maurus,demersal,2.69,1
Chrysichthys nigrodigitatus,demersal,2.58,1
Chrysichthys walkeri,demersal,3.2,1
Chrysiptera annulata,reef-associated,2.75,1
Chrysiptera biocellata,reef-associated,2.0,1
Chrysiptera brownriggii,reef-associated,2.72,1
Chrysiptera caeruleolineata,reef-associated,2.84,1
Chrysiptera cyanea,reef-associated,2.45,1
Chrysiptera cymatilis,reef-associated,3.4,1
Chrysiptera flavipinnis,reef-associated,2.68,1
Chrysiptera glauca,reef-associated,2.39,1
Chrysiptera hemicyanea,reef-associated,2.43,1
Chrysiptera kuiteri,reef-associated,3.4,1
Chrysiptera oxycephala,reef-associated,2.73,1
Chrysiptera parasema,reef-associated,3.4,1
Chrysiptera rex,reef-associated,2.46,1
Chrysiptera rollandi,reef-associated,2.71,1
Chrysiptera sinclairi,reef-associated,2.74,1
Chrysiptera springeri,reef-associated,2.68,1
Chrysiptera starcki,reef-associated,2.76,1
Chrysiptera talboti,reef-associated,2.8,1
Chrysiptera taupou,reef-associated,2.65,1
Chrysiptera traceyi,reef-associated,2.68,1
Chrysiptera tricincta,reef-associated,2.72,1
Chrysiptera unimaculata,reef-associated,2.08,1
Chrysoblephus anglicus,reef-associated,3.42,1
Chrysoblephus cristiceps,demersal,3.66,1
Chrysoblephus gibbiceps,demersal,3.68,1
Chrysoblephus laticeps,demersal,3.95,1
Chrysoblephus lophus,demersal,3.69,1
Chrysoblephus puniceus,demersal,3.5,1
Chrysochir aureus,benthopelagic,3.5,1
Chtenopteryx sicula,bathypelagic,4.03,1
Cibacapsa gulosa,sessile,3.11,1
Cichla intermedia,benthopelagic,3.96,1
Cichla monoculus,benthopelagic,3.9,1
Cichla ocellaris,benthopelagic,4.5,1
Cichla orinocensis,benthopelagic,4.48,1
Cichla temensis,benthopelagic,4.49,1
Cichlasoma amazonarum,benthopelagic,2.47,1
Cichlasoma bimaculatum,benthopelagic,3.6,1
Cichlasoma festae,benthopelagic,3.6,1
Cichlasoma pearsei,benthopelagic,2.0,1
Cichlasoma salvini,benthopelagic,3.68,1
Cichlasoma trimaculatum,benthopelagic,3.44,1
Cichlasoma urophthalmum,benthopelagic,4.0,1
Ciliata mustela,demersal,3.5,1
Ciliata septentrionalis,demersal,3.5,1
Ciliopagurus strigatus,reef-associated,2.0,1
Cinetodus carinatus,benthopelagic,3.13,1
Cinetodus crassilabris,benthopelagic,2.57,1
Cinetodus froggatti,demersal,3.22,1
Cirratulus cirratus,benthic,2.0,1
Cirrhibarbis capensis,demersal,3.29,1
Cirrhigaleus asper,bathydemersal,4.5,1
Cirrhigaleus barbifer,bathydemersal,3.99,1
Cirrhilabrus balteatus,reef-associated,3.4,1
Cirrhilabrus blatteus,reef-associated,3.4,1
Cirrhilabrus cyanopleura,reef-associated,3.4,1
Cirrhilabrus exquisitus,reef-associated,3.4,1
Cirrhilabrus filamentosus,reef-associated,3.4,1
Cirrhilabrus johnsoni,reef-associated,3.4,1
Cirrhilabrus jordani,reef-associated,3.4,1
Cirrhilabrus laboutei,reef-associated,3.4,1
Cirrhilabrus lubbocki,reef-associated,3.4,1
Cirrhilabrus luteovittatus,reef-associated,3.4,1
Cirrhilabrus melanomarginatus,reef-associated,3.4,1
Cirrhilabrus rhomboidalis,reef-associated,3.4,1
Cirrhilabrus rubripinnis,reef-associated,3.1,1
Cirrhilabrus rubriventralis,reef-associated,3.4,1
Cirrhilabrus scottorum,reef-associated,3.4,1
Cirrhilabrus temminckii,reef-associated,3.4,1
Cirrhinus caudimaculatus,benthopelagic,2.26,1
Cirrhinus cirrhosus,benthopelagic,2.4,1
Cirrhinus jullieni,benthopelagic,2.48,1
Cirrhinus microlepis,benthopelagic,2.38,1
Cirrhinus molitorella,benthopelagic,2.0,1
Cirrhitichthys aprinus,reef-associated,3.49,1
Cirrhitichthys aureus,reef-associated,4.03,1
Cirrhitichthys falco,reef-associated,3.96,1
Cirrhitichthys oxycephalus,reef-associated,4.01,1
Cirrhitops fasciatus,reef-associated,3.65,1
Cirrhitops hubbardi,reef-associated,4.04,1
Cirrhitus pinnulatus,reef-associated,3.68,1
Cirrhitus rivulatus,reef-associated,4.02,1
Cirriemblemaria lucasana,reef-associated,3.4,1
Cirriformia tentaculata,benthic,2.0,1
Cirripectes alboapicalis,reef-associated,2.0,1
Cirripectes alleni,reef-associated,2.0,1
Cirripectes auritus,reef-associated,2.0,1
Cirripectes castaneus,reef-associated,2.0,1
Cirripectes chelomatus,reef-associated,2.0,1
Cirripectes filamentosus,reef-associated,2.0,1
Cirripectes fuscoguttatus,reef-associated,2.0,1
Cirripectes gilberti,reef-associated,2.0,1
Cirripectes hutchinsi,reef-associated,2.0,1
Cirripectes imitator,reef-associated,2.0,1
Cirripectes jenningsi,demersal,2.0,1
Cirripectes kuwamurai,demersal,2.0,1
Cirripectes obscurus,reef-associated,2.0,1
Cirripectes perustus,reef-associated,2.0,1
Cirripectes polyzona,reef-associated,2.81,1
Cirripectes quagga,reef-associated,2.0,1
Cirripectes randalli,demersal,2.0,1
Cirripectes springeri,reef-associated,2.0,1
Cirripectes stigmaticus,reef-associated,2.0,1
Cirripectes vanderbilti,reef-associated,2.0,1
Cirripectes variolosus,reef-associated,2.0,1
Cirripectes viriosus,demersal,2.0,1
Citharichthys arctifrons,demersal,3.29,1
Citharichthys arenaceus,demersal,3.46,1
Citharichthys gilberti,demersal,4.05,1
Citharichthys sordidus,demersal,3.46,1
Citharichthys spilopterus,demersal,3.57,1
Citharichthys stampflii,demersal,3.87,1
Citharichthys stigmaeus,demersal,3.4,1
Citharichthys uhleri,demersal,3.5,1
Citharinus citharus,demersal,2.0,1
Citharinus latus,demersal,2.19,1
Citharoides macrolepidotus,demersal,3.5,1
Citharus linguatula,demersal,3.97,1
Clangula hyemalis,others,3.41,1
Clariallabes mutsindoziensis,demersal,3.2,1
Clariallabes platyprosopos,demersal,4.2,1
Clarias agboyiensis,demersal,3.72,1
Clarias alluaudi,demersal,3.2,1
Clarias angolensis,demersal,3.25,1
Clarias anguillaris,demersal,3.35,1
Clarias batrachus,demersal,3.42,1
Clarias brachysoma,demersal,3.63,1
Clarias buthupogon,demersal,3.25,1
Clarias camerunensis,demersal,3.5,1
Clarias cavernicola,demersal,2.77,1
Clarias dussumieri,benthopelagic,3.72,1
Clarias ebriensis,demersal,3.42,1
Clarias fuscus,demersal,3.74,1
Clarias gabonensis,demersal,3.27,1
Clarias gariepinus,benthopelagic,3.76,1
Clarias liocephalus,demersal,3.26,1
Clarias maclareni,demersal,4.2,1
Clarias macrocephalus,benthopelagic,3.7,1
Clarias ngamensis,demersal,4.3,1
Clarias platycephalus,demersal,4.2,1
Clarias stappersii,demersal,4.47,1
Clarias teijsmanni,demersal,3.07,1
Clarias theodorae,demersal,4.22,1
Clarias werneri,demersal,3.09,1
Clarotes laticeps,demersal,3.14,1
Cleisthenes herzensteini,demersal,3.42,1
Cleithracara maronii,benthopelagic,3.25,1
Clepticus parrae,reef-associated,3.42,1
Clevelandia ios,demersal,3.12,1
Clidoderma asperrimum,demersal,3.77,1
Clinitrachus argentatus,demersal,3.5,1
Clinocottus acuticeps,demersal,3.5,1
Clinocottus analis,demersal,3.08,1
Clinocottus globiceps,demersal,3.061,1
Clinostomus elongatus,demersal,3.2,1
Clinostomus funduloides,demersal,2.74,1
Clinus cottoides,demersal,3.15,1
Clinus nematopterus,demersal,3.46,1
Clinus spatulatus,demersal,3.57,1
Clinus superciliosus,demersal,3.39,1
Clinus venustris,demersal,3.29,1
Clione limacina,pelagic,3.4,1
Clupea bentincki,pelagic-neritic,2.69,1
Clupea harengus,benthopelagic,3.38,2
Clupea pallasii pallasii,pelagic-neritic,3.16,1
Clupeichthys aesarnensis,pelagic,2.89,1
Clupeichthys goniognathus,pelagic,3.1,1
Clupeoides borneensis,pelagic,3.1,1
Clupeoides papuensis,pelagic,3.3,1
Clupeoides venulosus,pelagic,3.2,1
Clupeonella abrau,pelagic,2.86,1
Clupeonella cultriventris,pelagic-neritic,3.0,1
Clupeonella engrauliformis,pelagic,3.01,1
Clupeonella grimmi,pelagic,3.44,1
Clupeonella muhlisi,pelagic,3.55,1
Clupisoma garua,demersal,3.73,1
Cnidoglanis macrocephalus,demersal,2.81,1
Cobitis meridionalis,demersal,3.5,1
Cobitis paludica,demersal,3.02,1
Coccorella atlantica,bathypelagic,4.35,1
Coccorella atrata,bathypelagic,4.2,1
Cochlefelis danielsi,demersal,3.6,1
Cochlefelis spatula,demersal,3.6,1
Cociella crocodilus,reef-associated,3.86,1
Coelorinchus aconcagua,benthopelagic,3.39,1
Coelorinchus anatirostris,bathydemersal,3.18,1
Coelorinchus argentatus,benthopelagic,3.5,1
Coelorinchus argus,benthopelagic,3.48,1
Coelorinchus aspercephalus,benthopelagic,3.64,1
Coelorinchus australis,benthopelagic,4.14,1
Coelorinchus caelorhincus,benthopelagic,3.49,1
Coelorinchus canus,benthopelagic,3.24,1
Coelorinchus fasciatus,bathydemersal,3.86,1
Coelorinchus flabellispinnis,benthopelagic,3.03,1
Coelorinchus innotabilis,bathydemersal,3.26,1
Coelorinchus japonicus,bathydemersal,3.49,1
Coelorinchus kaiyomaru,bathydemersal,3.31,1
Coelorinchus kishinouyei,bathydemersal,3.29,1
Coelorinchus labiatus,bathydemersal,3.95,1
Coelorinchus macrochir,bathydemersal,3.81,1
Coelorinchus marinii,benthopelagic,4.21,1
Coelorinchus matamua,bathydemersal,3.48,1
Coelorinchus nazcaensis,bathypelagic,3.92,1
Coelorinchus occa,bathydemersal,3.62,1
Coelorinchus scaphopsis,benthopelagic,3.55,1
Coelorinchus sheni,benthopelagic,4.03,1
Coelorinchus simorhynchus,bathydemersal,3.27,1
Coelorinchus smithi,bathydemersal,3.88,1
Coelorinchus spilonotus,benthopelagic,4.5,1
Coilia dussumieri,pelagic-neritic,3.3,1
Coilia lindmani,pelagic,3.74,1
Coilia macrognathos,pelagic,3.72,1
Coilia nasus,pelagic-neritic,3.0,1
Coilia reynaldi,pelagic-neritic,3.35,1
Collichthys niveatus,demersal,3.4,1
Coloconger cadenati,bathydemersal,3.5,1
Cologrammus flavescens,demersal,4.04,1
Cololabis saira,pelagic-oceanic,3.71,1
Colomesus asellus,demersal,3.31,1
Colomesus psittacus,demersal,3.6,1
Colossoma macropomum,benthopelagic,2.02,1
Colpichthys hubbsi,pelagic-neritic,2.93,1
Comephorus baikalensis,pelagic,3.285,1
Concholepas concholepas,benthic,3.18,1
Conger cinereus,reef-associated,4.34,1
Conger conger,demersal,4.31,1
Conger esculentus,reef-associated,4.5,1
Conger japonicus,demersal,3.97,1
Conger myriaster,bathydemersal,3.98,1
Conger oceanicus,demersal,4.5,1
Conger oligoporus,reef-associated,4.5,1
Conger orbignianus,demersal,3.72,1
Conger wilsoni,reef-associated,3.5,1
Congiopodus torvus,demersal,3.36,1
Congothrissa gossei,pelagic,3.33,1
Congresox talabon,demersal,4.0,1
Congresox talabonoides,bathydemersal,4.3,1
Congriscus megastomus,reef-associated,4.02,1
Congrogadus amplimaculatus,demersal,3.5,1
Congrogadus hierichthys,demersal,3.72,1
Congrogadus malayanus,demersal,3.5,1
Congrogadus spinifer,demersal,3.63,1
Congrogadus subducens,reef-associated,4.02,1
Congrogadus winterbottomi,demersal,3.49,1
Conodon nobilis,demersal,3.61,1
Conus catus,benthic,4.5,1
Conus chaldaeus,benthic,3.06,1
Conus coronatus,benthic,3.061,1
Conus distans,benthic,3.061,1
Conus ebraeus,benthic,3.06,1
Conus flavidus,benthic,3.061,1
Conus frigidus,benthic,3.061,1
Conus imperialis,benthic,3.06,1
Conus leopardus,reef-associated,3.061,1
Conus lividus,benthic,3.06,1
Conus magus,benthic,3.72,1
Conus marmoreus,benthic,3.37,1
Conus miles,benthic,3.06,1
Conus miliaris,benthic,3.061,1
Conus musicus,benthic,3.061,1
Conus quercinus,benthic,3.061,1
Conus sanguinolentus,benthic,3.061,1
Conus sponsalis,benthic,3.06,1
Conus striatus,benthic,4.5,1
Conus tessulatus,benthic,3.061,1
Conus textile,benthic,4.5,1
Conus tulipa,benthic,4.5,1
Conus vexillum,benthic,3.061,1
Cookeolus japonicus,reef-associated,3.5,1
Copadichromis azureus,benthopelagic,3.4,1
Copadichromis borleyi,benthopelagic,3.4,1
Copadichromis chrysonotus,benthopelagic,3.4,1
Copadichromis cyaneus,benthopelagic,3.4,1
Copadichromis jacksoni,benthopelagic,2.64,1
Copadichromis likomae,benthopelagic,3.4,1
Copadichromis mbenjii,benthopelagic,3.4,1
Copadichromis nkatae,benthopelagic,2.76,1
Copadichromis quadrimaculatus,benthopelagic,2.62,1
Copeina guttata,pelagic,3.13,1
Copella arnoldi,benthopelagic,3.26,1
Copella carsevennensis,benthopelagic,3.37,1
Coptostomabarbus wittei,benthopelagic,2.74,1
Coradion altivelis,reef-associated,2.68,1
Coradion chrysozonus,reef-associated,2.81,1
Corallianassa longiventris,benthic,2.0,1
Coralliozetus angelicus,reef-associated,3.4,1
Coralliozetus micropes,reef-associated,3.4,1
Coralliozetus rosenblatti,reef-associated,3.4,1
Coralliozetus springeri,reef-associated,3.4,1
Corambe lucea,benthic,3.5,1
Corbula gibba,benthic,2.0,1
Coregonus albula,benthopelagic,3.06,1
Coregonus artedi,pelagic-neritic,3.35,1
Coregonus autumnalis,pelagic-neritic,3.67,1
Coregonus chadary,benthopelagic,3.55,1
Coregonus clupeaformis,demersal,3.23,1
Coregonus hoyi,demersal,3.26,1
Coregonus huntsmani,pelagic-neritic,3.45,1
Coregonus kiyi,pelagic,3.5,1
Coregonus laurettae,pelagic-neritic,3.79,1
Coregonus lavaretus,demersal,3.13,1
Coregonus macrophthalmus,pelagic,3.3,1
Coregonus nasus,pelagic-neritic,3.45,1
Coregonus nelsonii,benthopelagic,3.46,1
Coregonus nigripinnis,demersal,3.34,1
Coregonus nilssoni,demersal,3.4,1
Coregonus oxyrinchus,demersal,3.25,1
Coregonus peled,demersal,4.06,1
Coregonus pidschian,demersal,3.31,1
Coregonus pollan,benthopelagic,3.56,1
Coregonus reighardi,demersal,3.43,1
Coregonus sardinella,pelagic-neritic,3.21,1
Coregonus ussuriensis,benthopelagic,4.32,1
Coregonus wartmanni,pelagic,3.1,1
Coregonus zenithicus,demersal,3.35,1
Corematodus shiranus,benthopelagic,4.4,1
Corematodus taeniatus,benthopelagic,4.4,1
Coreobagrus ichikawai,benthopelagic,4.0,1
Coreoperca kawamebari,benthopelagic,3.83,1
Coris aygula,reef-associated,3.38,1
Coris batuensis,reef-associated,3.57,1
Coris bulbifrons,reef-associated,3.33,1
Coris caudimacula,reef-associated,3.38,1
Coris cuvieri,reef-associated,3.38,1
Coris flavovittata,reef-associated,3.49,1
Coris formosa,reef-associated,3.35,1
Coris gaimard,reef-associated,3.53,1
Coris julis,reef-associated,3.44,1
Coris sandeyeri,reef-associated,3.63,1
Coris variegata,reef-associated,3.5,1
Coris venusta,reef-associated,3.58,1
Corophium bonelli,benthic,2.0,1
Corumbataia britskii,demersal,2.0,1
Corvula batabana,reef-associated,3.39,1
Corvula sanctaeluciae,demersal,3.6,1
Corydoras aeneus,demersal,2.96,1
Corydoras ehrhardti,demersal,3.2,1
Corydoras heteromorphus,demersal,2.61,1
Corydoras julii,demersal,2.98,1
Corydoras melanistius,demersal,2.84,1
Corydoras paleatus,demersal,2.94,1
Corydoras polystictus,demersal,2.9,1
Corydoras rabauti,demersal,3.0,1
Corydoras reticulatus,demersal,2.92,1
Corydoras splendens,demersal,3.26,1
Coryphaena equiselis,pelagic-oceanic,4.5,1
Coryphaena hippurus,pelagic-neritic,4.37,1
Coryphaenoides acrolepis,bathydemersal,3.8,1
Coryphaenoides anguliceps,bathydemersal,3.28,1
Coryphaenoides armatus,bathypelagic,3.62,1
Coryphaenoides brevibarbis,bathypelagic,3.51,1
Coryphaenoides carapinus,bathydemersal,3.49,1
Coryphaenoides cinereus,bathydemersal,3.54,1
Coryphaenoides filifer,bathydemersal,4.5,1
Coryphaenoides guentheri,bathydemersal,3.26,1
Coryphaenoides leptolepis,bathydemersal,3.72,1
Coryphaenoides longifilis,bathydemersal,4.3,1
Coryphaenoides mediterraneus,bathypelagic,3.4,1
Coryphaenoides rudis,bathypelagic,4.5,1
Coryphaenoides rupestris,bathypelagic,3.54,1
Coryphaenoides yaquinae,bathydemersal,4.0,1
Coryphaenoides zaniophorus,bathydemersal,3.23,1
Coryphoblennius galerita,demersal,2.28,1
Coryphopterus eidolon,reef-associated,2.0,1
Coryphopterus glaucofraenum,reef-associated,2.67,1
Coryphopterus personatus,reef-associated,2.68,1
Coryphopterus urospilus,reef-associated,3.5,1
Corythoichthys amplexus,reef-associated,3.76,1
Corythoichthys haematopterus,reef-associated,3.11,1
Corythoichthys intestinalis,reef-associated,3.17,1
Corythoichthys schultzi,reef-associated,3.75,1
Cosmochilus harmandi,benthopelagic,2.0,1
Costasiella ocellifera,benthic,2.0,1
Cottiusculus schmidti,demersal,3.2,1
Cottocomephorus alexandrae,benthopelagic,3.42,1
Cottocomephorus grewingkii,benthopelagic,3.06,1
Cottocomephorus inermis,benthopelagic,3.19,1
Cottoperca gobio,demersal,4.26,1
Cottunculus microps,bathydemersal,4.14,1
Cottunculus thomsonii,bathydemersal,3.5,1
Cottus aleuticus,demersal,3.2,1
Cottus asper,demersal,3.2,1
Cottus bairdii,demersal,3.29,1
Cottus cognatus,demersal,3.37,1
Cottus confusus,demersal,3.72,1
Cottus gobio,demersal,3.23,1
Cottus kazika,demersal,4.2,1
Cottus poecilopus,demersal,2.98,1
Cottus rhotheus,demersal,3.37,1
Cottus ricei,demersal,2.99,1
Cotylopus acutipinnis,benthopelagic,2.0,1
Cotylorhiza tuberculata,pelagic,3.0,1
Couesius plumbeus,demersal,3.38,1
Coullana canadensis,demersal,2.0,1
Cranchia scabra,bathypelagic,3.57,1
Crangon allmanni,benthic,2.0,1
Crangon crangon,benthic,3.19,1
Crassostrea commercialis,benthic,2.0,1
Crassostrea gigas,sessile,2.0,1
Crassostrea virginica,sessile,2.0,1
Craterocephalus dalhousiensis,benthopelagic,2.71,1
Craterocephalus helenae,benthopelagic,3.02,1
Craterocephalus honoriae,demersal,3.2,1
Craterocephalus marjoriae,benthopelagic,2.93,1
Craterocephalus mugiloides,pelagic-neritic,2.84,1
