year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,70,90.49577914310001,90.4957791431,-1.4210854715202004e-14,True
1951,71,88.7913777799,88.7913777799,0.0,True
1952,70,88.9249472736,88.9249472736,0.0,True
1953,69,79.0746550557,79.07465505569999,-1.4210854715202004e-14,True
1954,64,78.16881326720001,78.1688132672,-1.4210854715202004e-14,True
1955,65,79.1474908758,79.1474908758,0.0,True
1956,69,78.0438622081,78.0438622081,0.0,True
1957,72,76.649083862,76.649083862,0.0,True
1958,72,74.1399447436,74.1399447436,0.0,True
1959,72,73.7361719421,73.7361719421,0.0,True
1960,74,72.098339809,72.09833980900001,1.4210854715202004e-14,True
1961,77,71.0969384242,71.0969384242,0.0,True
1962,87,95.6229919124,95.6229919124,0.0,True
1963,97,84.2084688189,84.2084688189,0.0,True
1964,119,78.5041961173,78.5041961173,0.0,True
1965,121,86.602481942,86.602481942,0.0,True
1966,121,85.0762868524,85.0762868524,0.0,True
1967,122,159.6835663953,159.6835663953,0.0,True
1968,123,90.2200872791,90.2200872791,0.0,True
1969,117,84.24179397489999,84.24179397489999,0.0,True
1970,121,88.4035196673,88.4035196673,0.0,True
1971,125,86.3943278281,86.3943278281,0.0,True
1972,132,102.7993623489,102.7993623489,0.0,True
1973,142,83.7762311875,83.7762311875,0.0,True
1974,155,76.2442628572,76.2442628572,0.0,True
1975,147,81.5170744979,81.5170744979,0.0,True
1976,135,75.5207540451,75.5207540451,0.0,True
1977,123,127.2433525997,127.2433525997,0.0,True
1978,148,140.0550745244,140.0550745244,0.0,True
1979,148,102.5923276456,102.5923276456,0.0,True
1980,148,238.3533734021,238.3533734021,0.0,True
1981,155,145.6913539909,145.6913539909,0.0,True
1982,156,578.4927341914,578.4927341914,0.0,True
1983,125,144.1445894297,144.1445894297,0.0,True
1984,127,186.7473399228,186.7473399228,0.0,True
1985,161,348.22931004410003,348.22931004410003,0.0,True
1986,150,220.9199265036,220.9199265036,0.0,True
1987,114,878.5514115067,878.5514115067,0.0,True
1988,108,110.0757054027,110.0757054027,0.0,True
1989,102,93.7117180764,93.7117180764,0.0,True
1990,108,172.7275537673,172.7275537673,0.0,True
1991,116,207.4514959995,207.4514959995,0.0,True
1992,116,290.2582280815,290.2582280815,0.0,True
1993,74,48.3424906213,48.3424906213,0.0,True
1994,84,66.77480381230001,66.7748038123,-1.4210854715202004e-14,True
1995,85,106.2169707976,106.2169707976,0.0,True
1996,85,180.0664560395,180.0664560395,0.0,True
1997,86,190.4601250255,190.4601250255,0.0,True
1998,80,220.1640711837,220.1640711837,0.0,True
1999,72,207.6232843771,207.62328437710002,2.842170943040401e-14,True
2000,75,233.08624837609997,233.0862483761,2.842170943040401e-14,True
2001,79,246.2000991745,246.2000991745,0.0,True
2002,74,249.3053669433,249.3053669433,0.0,True
2003,82,261.6278288837,261.6278288837,0.0,True
2004,76,267.5094364191,267.5094364191,0.0,True
2005,85,288.1489939024,288.1489939024,0.0,True
2006,76,304.77058702659997,304.77058702659997,0.0,True
2007,76,310.82228111210003,310.8222811121,-5.684341886080802e-14,True
2008,80,311.1367541646,311.1367541646,0.0,True
2009,78,323.5491374672,323.5491374672,0.0,True
2010,81,323.9804418144,323.9804418144,0.0,True
2011,81,385.0852762945,385.0852762945,0.0,True
2012,77,461.09718000630005,461.0971800063,-5.684341886080802e-14,True
2013,77,480.4290970605,480.4290970605,0.0,True
2014,78,568.1323730508,568.1323730508,0.0,True
2015,75,363.3751418239,363.3751418239,0.0,True
2016,75,330.1937914327,330.19379143270004,5.684341886080802e-14,True
2017,75,334.2090618136,334.2090618136,0.0,True
2018,85,509.3114108642,509.3114108642,0.0,True
2019,75,496.3226371928,496.32263719279996,-5.684341886080802e-14,True
