functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,2,2,171.17425699109998,171.17425699109998,0.0,1.0,8080.326525045555,1383143.8891701498,3.9991447972458873,7979.530564191168,1365890.2154631962,17253.673706953647,1.012631815874823,0.012631815874823173
Large bathydemersals (>=90 cm),1,1,0.004492981900000001,0.004492981900000001,0.0,1.0,3160.6083878807954,14.200556279736595,3.69,3160.6083878807954,14.200556279736595,0.0,1.0,0.0
Large bathypelagics (>=90 cm),1,1,72.5693858215,72.5693858215,0.0,1.0,2016.583405200734,146342.21917324635,3.54,2016.5834052007342,146342.21917324635,0.0,1.0,0.0
Large benthopelagics (>=90 cm),3,3,28431.3727779727,28431.3727779727,0.0,1.0,10545.557541026674,299824677.6004905,4.091173619761276,10512.586955516392,298887278.59313965,937399.007350862,1.0031362961038797,0.003136296103879672
Large demersals (>=90 cm),7,7,169.35419098810002,169.35419098810002,0.0,1.0,9682.861622044828,1639833.1964511236,3.7416530378783994,3689.5452407833736,624839.9493668629,1014993.2470842607,2.6244051746574972,1.6244051746574972
Large flatfishes (>=90 cm),1,1,1027.7270369283,1027.7270369283,0.0,1.0,8000.0,8221816.2954264,4.0,8000.0,8221816.2954264,0.0,1.0,0.0
Large pelagics (>=90 cm),13,13,1430.4836735423,1430.4836735423,0.0,1.0,38073.90237989755,54464095.74248677,4.519005422774407,37873.16587198026,54176945.44522718,287150.29725958407,1.0053002304744163,0.0053002304744163295
Large rays (>=90 cm),1,1,12.933121725,12.933121725,0.0,1.0,4665.56868948727,60340.36777748758,3.82,4665.56868948727,60340.36777748758,0.0,1.0,0.0
Large reef assoc. fish (>=90 cm),1,1,32742.6339197331,32742.6339197331,0.0,1.0,4264.554685980751,139632752.91375008,3.79,4264.554685980751,139632752.91375008,0.0,1.0,0.0
Large sharks (>=90 cm),9,9,4199.053559259,4199.053559259,0.0,1.0,24257.681765055757,101859304.95492953,4.365606792430694,23919.68139041508,100440023.27876371,1419281.6761658192,1.014130638662107,0.014130638662106936
"Lobsters, crabs",1,1,1.5710905816,1.5710905816,0.0,1.0,2016.5834052007342,3168.23519492173,3.54,2016.5834052007342,3168.23519492173,0.0,1.0,0.0
Medium bathydemersals (30 - 89 cm),2,2,2.3075275959,2.3075275959,0.0,1.0,15175.132485269423,35017.03698119774,3.8353195087845586,4884.675616611967,11271.523782351962,23745.51319884578,3.1066817279864662,2.1066817279864662
Medium bathypelagics (30 - 89 cm),3,3,90.69893942220001,90.69893942220001,0.0,1.0,2796.8605808690945,253672.28839658515,3.6487505032538525,2793.21172090088,253341.34066736797,330.9477292171796,1.0013063313249444,0.0013063313249443455
Medium benthopelagics (30 - 89 cm),4,4,6.2992838815,6.2992838815,0.0,1.0,7457.1821223870975,46974.90714496301,3.907720606611147,6067.806574870321,38222.836153140335,8752.070991822671,1.2289749237015635,0.2289749237015635
Medium demersals (30 - 89 cm),5,5,4558.9808774374,4558.9808774374,0.0,1.0,4407.2241008945875,20092450.39855966,3.411609220948551,1372.7009500986521,6258117.381939905,13834333.016619755,3.2106221683447167,2.2106221683447167
Medium pelagics (30 - 89 cm),4,4,41.4455481935,41.4455481935,0.0,1.0,1639.7721780079232,67961.25682998785,3.418446162863106,1401.1060255340628,58069.60730547525,9891.649524512599,1.17034125050093,0.17034125050093007
Other demersal invertebrates,1,1,3.4029850746,3.4029850746,0.0,1.0,26.985656953471274,91.83178784093846,2.1,26.985656953471274,91.83178784093846,0.0,1.0,0.0
Shrimps,2,2,7.230835736,7.230835736,0.0,1.0,493.1794041395195,3566.099259711224,3.0698383113875507,493.08492972944447,3565.416130770716,0.6831289405081407,1.0001915986564969,0.0001915986564969269
Small pelagics (<30 cm),1,1,13.7906267014,13.7906267014,0.0,1.0,626.9234150652317,8645.66678753146,3.1500000000000004,626.9234150652325,8645.66678753147,-1.0913936421275139e-11,0.9999999999999988,-1.2623591319775244e-15
Small to medium flatfishes (<90 cm),4,4,14761.9377188538,14761.9377188538,0.0,1.0,19209.361500191084,283567398.0847688,4.168986732912251,13272.318510312874,195925139.2340291,87642258.85073966,1.4473252344919991,0.4473252344919992
Small to medium sharks (<90 cm),1,1,0.1276234665,0.1276234665,0.0,1.0,4953.648510535111,632.2017947370526,3.84,4953.648510535111,632.2017947370526,0.0,1.0,0.0
