system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,768,Togo,15411.048568694341,15432.814635281316,100.1412367658823,common mask,1,4512635.259465642,4523320.159217758,4523320.159217758,4512635.259465642,4512635.259465642,4512635.259465642,4512635.259465642,4512635.259465642,,,Antoine-Morel,Antoine-Morel,802.2416007190654
EEZ,eez,780,Trinidad & Tobago,80276.99172921573,80424.93605982301,100.18429232015359,common mask,1,35839663.38129244,36017784.602953054,36017784.602953054,35839663.38129244,35839663.38129244,35839663.38129244,35839663.38129244,35839663.38129244,,,Antoine-Morel,Antoine-Morel,1223.1506993945834
EEZ,eez,784,United Arab Emirates,54026.07374639297,54504.17247944305,100.88494073305114,common mask,1,36127922.50752547,36482124.972004116,36482124.972004116,36127922.50752547,36127922.50752547,36127922.50752547,36127922.50752547,36127922.50752547,,,Antoine-Morel,Antoine-Morel,1832.089632763055
EEZ,eez,788,Tunisia,99215.03524231962,99615.66824745938,100.40380271413629,common mask,1,24623086.94410908,24900594.9047159,24900594.9047159,24623086.94410908,24623086.94410908,24623086.94410908,24623086.94410908,24623086.94410908,,,Antoine-Morel,Antoine-Morel,679.9424302060462
EEZ,eez,793,Turkey (Mediterranean Sea),75807.83591342662,77039.08047641689,101.62416529657483,common mask,1,12172005.144841922,12467786.96922679,12467786.96922679,12172005.14484192,12172005.14484192,12172005.14484192,12172005.14484192,12172005.14484192,,,Antoine-Morel,Antoine-Morel,439.9012173229757
EEZ,eez,794,Turkey (Black Sea),171307.19724667392,171726.4492679347,100.2447369567649,common mask,1,53795686.19485983,53960808.85228357,53960808.85228357,53795686.19485983,53795686.19485983,53795686.19485983,53795686.19485983,53795686.19485983,,,Antoine-Morel,Antoine-Morel,860.3575564751388
EEZ,eez,804,Ukraine,131468.35018389812,132245.328589169,100.59100034661121,common mask,1,58289985.163027905,58429854.215386115,58429854.215386115,58289985.163027905,58289985.163027905,58289985.163027905,58289985.163027905,58289985.163027905,,,Antoine-Morel,Antoine-Morel,1214.730307822081
EEZ,eez,826,United Kingdom (UK),723026.9937020451,726908.4563182014,100.53683509052442,common mask,1,168959300.7134666,167887185.4643057,167887185.4643057,168959300.7134666,168959300.7134666,168959300.7134666,168959300.7134666,168959300.7134666,,,Antoine-Morel,Antoine-Morel,640.2280935119335
EEZ,eez,830,Channel Isl. (UK),8757.414038934727,8795.140744024618,100.43079732124303,common mask,1,2722109.569450908,2660823.3267943277,2660823.3267943277,2722109.569450908,2722109.569450908,2722109.569450908,2722109.569450908,2722109.569450908,,,Antoine-Morel,Antoine-Morel,851.6023570080044
EEZ,eez,834,Tanzania,241476.98892331868,242156.51714450234,100.2814049587969,common mask,1,54981975.8536132,55321495.16852733,55321495.16852733,54981975.8536132,54981975.8536132,54981975.8536132,54981975.8536132,54981975.8536132,,,Antoine-Morel,Antoine-Morel,623.8091296214823
EEZ,eez,848,USA (West Coast),817714.8054398905,819609.5320008104,100.23170994927756,common mask,1,198815397.18455952,200026865.97147933,200026865.97147933,198815397.18455955,198815397.18455955,198815397.18455955,198815397.18455955,198815397.18455955,,,Antoine-Morel,Antoine-Morel,666.1243194940564
EEZ,eez,850,US Virgin Isl.,38260.9019752,38370.99901591771,100.28775338539869,common mask,1,7196721.410048279,7217636.557092324,7217636.557092324,7196721.410048279,7196721.410048279,7196721.410048279,7196721.410048279,7196721.410048279,,,Antoine-Morel,Antoine-Morel,515.3314203574342
EEZ,eez,851,USA (East Coast),916782.8553392985,921280.3041875109,100.49056860324335,common mask,1,246210746.31687558,250732009.1612155,250732009.1612155,246210746.3168756,246210746.3168756,246210746.3168756,246210746.3168756,246210746.3168756,,,Antoine-Morel,Antoine-Morel,735.7794552774434
EEZ,eez,852,USA (Gulf of Mexico),692097.6159071658,694489.8648554956,100.34565195621924,common mask,1,242695902.35749337,245790027.56421337,245790027.56421337,242695902.35749337,242695902.35749337,242695902.35749337,242695902.35749337,242695902.35749337,,,Antoine-Morel,Antoine-Morel,960.731933110253
EEZ,eez,858,Uruguay,162323.86003811104,162601.15761653334,100.17082983263039,common mask,1,92417827.4560724,92780421.21663281,92780421.21663281,92417827.4560724,92417827.4560724,92417827.4560724,92417827.4560724,92417827.4560724,,,Antoine-Morel,Antoine-Morel,1559.8417091453068
EEZ,eez,862,Venezuela,472215.9630634298,473530.68451491196,100.27841529179851,common mask,1,211816521.41975048,213469972.8169969,213469972.8169969,211816521.41975048,211816521.41975048,211816521.41975048,211816521.41975048,211816521.41975048,,,Antoine-Morel,Antoine-Morel,1228.927613970748
EEZ,eez,891,Montenegro,6242.897727972197,6335.181534253254,101.4782206965776,common mask,1,978502.5854762573,997092.9241556232,997092.9241556232,978502.5854762573,978502.5854762573,978502.5854762573,978502.5854762573,978502.5854762573,,,Antoine-Morel,Antoine-Morel,429.420618135866
EEZ,eez,899,Corsica (France),23199.028865084885,23355.284944366067,100.67354577723877,common mask,1,3588600.0736783557,3615175.433012746,3615175.433012746,3588600.0736783557,3588600.0736783557,3588600.0736783557,3588600.0736783557,3588600.0736783557,,,Antoine-Morel,Antoine-Morel,423.80140483265626
EEZ,eez,900,Crete (Greece),95676.1420476527,95976.09396433005,100.3135075372583,common mask,1,11248109.888670491,11287094.658184014,11287094.658184014,11248109.888670491,11248109.888670491,11248109.888670491,11248109.888670491,11248109.888670491,,,Antoine-Morel,Antoine-Morel,322.0942939533074
EEZ,eez,901,Sicily (Italy),104527.1041490632,104908.23430305683,100.36462327842747,common mask,1,15073534.183521945,15148824.94288576,15148824.94288576,15073534.183521945,15073534.183521945,15073534.183521945,15073534.183521945,15073534.183521945,,,Antoine-Morel,Antoine-Morel,395.0875159476759
EEZ,eez,902,Sardinia (Italy),115909.89995152359,116253.7922293867,100.29668930609631,common mask,1,17014154.89033752,17092629.733590003,17092629.733590003,17014154.89033752,17014154.89033752,17014154.89033752,17014154.89033752,17014154.89033752,,,Antoine-Morel,Antoine-Morel,402.15825401213584
EEZ,eez,903,Balearic Islands (Spain),128470.49182994099,128653.95591176195,100.14280639795776,common mask,1,19867998.622771617,19898877.225932438,19898877.225932438,19867998.622771617,19867998.622771617,19867998.622771617,19867998.622771617,19867998.622771617,,,Antoine-Morel,Antoine-Morel,423.6994204953635
EEZ,eez,906,Curaçao (Netherlands),25456.857272779816,25547.648263863302,100.35664650239669,common mask,1,5855241.2277605925,5878824.71419666,5878824.71419666,5855241.2277605925,5855241.2277605925,5855241.2277605925,5855241.2277605925,5855241.2277605925,,,Antoine-Morel,Antoine-Morel,630.1546422832841
EEZ,eez,907,Bonaire (Netherlands),12828.709866691952,12861.762245919926,100.25764382834622,common mask,1,3151200.36204066,3159257.7776261326,3159257.7776261326,3151200.36204066,3151200.36204066,3151200.36204066,3151200.36204066,3151200.36204066,,,Antoine-Morel,Antoine-Morel,672.9769196699984
EEZ,eez,908,Saba and Sint Eustatius (Netherlands),11679.111037074334,11692.173915429248,100.11184822469319,common mask,1,2335743.0956949866,2337684.135240333,2337684.135240333,2335743.0956949866,2335743.0956949866,2335743.0956949866,2335743.0956949866,2335743.0956949866,,,Antoine-Morel,Antoine-Morel,547.9266471801654
EEZ,eez,911,Musandam (Oman),6849.35642473031,6962.071403577716,101.64562875484823,common mask,1,4981400.3832941605,5076409.643940741,5076409.643940741,4981400.3832941605,4981400.3832941605,4981400.3832941605,4981400.3832941605,4981400.3832941605,,,Antoine-Morel,Antoine-Morel,1992.5481222909302
EEZ,eez,912,Russia (Kara Sea),763373.3162700132,619873.3611461506,81.20186387637564,common mask,1,73419025.53906634,39869606.68437482,39869606.68437482,73419025.53906634,73419025.53906634,73419025.53906634,73419025.53906634,73419025.53906634,,,Antoine-Morel,Antoine-Morel,263.49888172456906
EEZ,eez,913,Russia (Laptev to Chukchi Sea),1458752.3977415545,1159225.0387079823,79.46688145998584,common mask,1,120043379.7513187,66369547.52022621,66369547.52022621,120043379.7513187,120043379.7513187,120043379.7513187,120043379.7513187,120043379.7513187,,,Antoine-Morel,Antoine-Morel,225.45702233676082
EEZ,eez,914,Sweden (Baltic),136806.9143065948,138863.72429249831,101.50344008292889,common mask,1,75322133.4579972,71483460.32309286,71483460.32309286,75322133.4579972,75322133.4579972,75322133.4579972,75322133.4579972,75322133.4579972,,,Antoine-Morel,Antoine-Morel,1508.4179810641137
EEZ,eez,915,Sweden (West Coast),13966.704086934791,14305.28549247652,102.42420404580962,common mask,1,7432486.04199511,7484341.739068972,7484341.739068972,7432486.04199511,7432486.04199511,7432486.04199511,7432486.04199511,7432486.04199511,,,Antoine-Morel,Antoine-Morel,1457.9656969012094
EEZ,eez,916,Yemen (Red Sea),35450.65698263577,35707.159163492426,100.72354704450834,common mask,1,24362239.243866052,24570798.05023512,24570798.05023512,24362239.243866052,24362239.243866052,24362239.243866052,24362239.243866052,24362239.243866052,,,Antoine-Morel,Antoine-Morel,1882.7820588710617
EEZ,eez,917,Yemen (Arabian Sea),178187.68627441596,178830.13717163997,100.36054730304687,common mask,1,101591398.32333264,102118502.9600907,102118502.9600907,101591398.32333265,101591398.32333265,101591398.32333265,101591398.32333265,101591398.32333265,,,Antoine-Morel,Antoine-Morel,1562.0192616310976
EEZ,eez,918,France (Mediterranean),63500.96683022787,63699.63819535543,100.31286352798173,common mask,1,13616170.848948004,13689212.925753184,13689212.925753184,13616170.848948004,13616170.848948004,13616170.848948004,13616170.848948004,13616170.848948004,,,Antoine-Morel,Antoine-Morel,587.464719522867
EEZ,eez,919,France (Atlantic Coast),256065.0385529952,256923.77916383347,100.33536035051523,common mask,1,64421823.37410737,64412511.85983945,64412511.85983945,64421823.37410737,64421823.37410737,64421823.37410737,64421823.37410737,64421823.37410737,,,Antoine-Morel,Antoine-Morel,689.2707697536894
