unit_id,year,match_method,tl_source,match_confidence,taxa_count,catch_tonnes
EEZ_252,1950,exact_sea_around_us,Sea Around Us exploited organisms,high,1,21.8107688
EEZ_252,1951,exact_sea_around_us,Sea Around Us exploited organisms,high,1,31.1502904419
EEZ_252,1952,exact_2020_supplement,2020 supplement MeanTL,high,10,54.9610533551
EEZ_252,1952,exact_sea_around_us,Sea Around Us exploited organisms,high,2,71.63945725139999
EEZ_252,1953,exact_2020_supplement,2020 supplement MeanTL,high,10,133.0350641976
EEZ_252,1953,exact_sea_around_us,Sea Around Us exploited organisms,high,2,112.05448666820001
EEZ_252,1954,exact_2020_supplement,2020 supplement MeanTL,high,10,317.2336858199
EEZ_252,1954,exact_sea_around_us,Sea Around Us exploited organisms,high,4,182.065718218
EEZ_252,1955,exact_2020_supplement,2020 supplement MeanTL,high,10,244.3284967693
EEZ_252,1955,exact_sea_around_us,Sea Around Us exploited organisms,high,4,153.5189172271
EEZ_252,1956,exact_2020_supplement,2020 supplement MeanTL,high,10,369.4360997379
EEZ_252,1956,exact_sea_around_us,Sea Around Us exploited organisms,high,4,220.96297035899997
EEZ_252,1957,exact_2020_supplement,2020 supplement MeanTL,high,10,1043.7713018595
EEZ_252,1957,exact_sea_around_us,Sea Around Us exploited organisms,high,4,350.2931142404
EEZ_252,1958,exact_2020_supplement,2020 supplement MeanTL,high,10,405.60561826810005
EEZ_252,1958,exact_sea_around_us,Sea Around Us exploited organisms,high,4,185.1886638438
EEZ_252,1959,exact_2020_supplement,2020 supplement MeanTL,high,10,296.61545805730003
EEZ_252,1959,exact_sea_around_us,Sea Around Us exploited organisms,high,4,176.84617383370002
EEZ_252,1960,exact_2020_supplement,2020 supplement MeanTL,high,10,414.57218819819997
EEZ_252,1960,exact_sea_around_us,Sea Around Us exploited organisms,high,4,192.9291445081
EEZ_252,1961,exact_2020_supplement,2020 supplement MeanTL,high,10,334.2801071244
EEZ_252,1961,exact_sea_around_us,Sea Around Us exploited organisms,high,4,128.3238380358
EEZ_252,1962,exact_2020_supplement,2020 supplement MeanTL,high,10,1071.7146524749
EEZ_252,1962,exact_sea_around_us,Sea Around Us exploited organisms,high,4,333.1494862699
EEZ_252,1963,exact_2020_supplement,2020 supplement MeanTL,high,9,360.0625811325
EEZ_252,1963,exact_sea_around_us,Sea Around Us exploited organisms,high,8,157.6783629063
EEZ_252,1964,exact_2020_supplement,2020 supplement MeanTL,high,10,296.7558701051
EEZ_252,1964,exact_sea_around_us,Sea Around Us exploited organisms,high,7,117.7258592909
EEZ_252,1965,exact_2020_supplement,2020 supplement MeanTL,high,10,636.9549371849
EEZ_252,1965,exact_sea_around_us,Sea Around Us exploited organisms,high,10,275.2130612247
EEZ_252,1966,exact_2020_supplement,2020 supplement MeanTL,high,9,348.3326117795
EEZ_252,1966,exact_sea_around_us,Sea Around Us exploited organisms,high,9,313.7220911036
EEZ_252,1967,exact_2020_supplement,2020 supplement MeanTL,high,13,734.1963796368
EEZ_252,1967,exact_sea_around_us,Sea Around Us exploited organisms,high,11,569.5275323222
EEZ_252,1968,exact_2020_supplement,2020 supplement MeanTL,high,11,348.2372874778
EEZ_252,1968,exact_sea_around_us,Sea Around Us exploited organisms,high,10,307.12075590579997
EEZ_252,1969,exact_2020_supplement,2020 supplement MeanTL,high,13,130.9949442394
EEZ_252,1969,exact_sea_around_us,Sea Around Us exploited organisms,high,10,306.7373935671
EEZ_252,1970,exact_2020_supplement,2020 supplement MeanTL,high,11,644.7935431228
