commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,2,2,104223.7830808987,104223.7830808987,0.0,1.0,272.94197703172307,28447045.40782594,3.434908096205375,272.21252010396614,28371018.647220545,76026.76060539484,1.0026797332006563,0.0026797332006562634
Crustaceans,16,16,161439.37040962788,161439.37040962788,0.0,1.0,136.9232213568541,22104798.65030864,3.012354216349444,102.88551039014398,16609772.021658072,5495026.628650567,1.330830948280651,0.33083094828065107
Flatfishes,4,4,10823.8837436874,10823.8837436874,0.0,1.0,675.1371325590711,7307605.833865855,3.8282868629043634,673.4213218701054,7289034.098442314,18571.735423540697,1.0025479007468918,0.0025479007468917625
Herring-likes,7,7,147055.0080622018,147055.0080622018,0.0,1.0,168.8939536423986,24836701.714540064,2.7917344110961304,61.90623772371888,9103622.287562063,15733079.426978001,2.72822190222825,1.7282219022282501
Molluscs,5,5,58545.934609172495,58545.934609172495,0.0,1.0,10.40777353534856,609332.8288275929,2.0156213928486992,10.3662431843586,606901.3956142387,2431.433213354205,1.004006306841482,0.004006306841481846
Other fishes & inverts,23,23,581112.6346794202,581112.6346794202,0.0,1.0,222.9025607767688,129531494.3697777,3.3203126409146733,209.08007196765905,121499071.48008913,8032422.889688566,1.0661109816876657,0.06611098168766577
Perch-likes,59,59,784201.2109761894,784201.2109761894,0.0,1.0,875.6385415750902,686676804.6806101,3.6450194043121575,441.59017719695004,346295551.71303827,340381252.9675718,1.9829212396283755,0.9829212396283755
Scorpionfishes,1,1,887.9142537995,887.9142537995,0.0,1.0,794.3282347242813,705295.3618070843,3.9,794.3282347242813,705295.3618070843,0.0,1.0,0.0
Sharks & rays,13,13,68795.0982269668,68795.0982269668,0.0,1.0,2000.5865166217152,137630545.92253625,4.293927078851093,1967.5558952661256,135358201.08188072,2272344.8406555355,1.0167876406637597,0.016787640663759644
Tuna & billfishes,17,17,195622.7344825464,195622.7344825464,0.0,1.0,2615.691679980439,511688759.0010191,4.413894471405276,2593.5490827660724,507357163.58539915,4331595.415619969,1.0085375662876412,0.008537566287641208
