commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,3,3,4598547.799117034,4598547.799117034,0.0,1.0,50.120255971114005,230480392.7871487,2.700005308232516,50.11933595043896,230476162.02809832,4230.759050399065,1.0000183566014513,1.8356601451404226e-05
Cod-likes,5,5,103175.9252273117,103175.9252273117,0.0,1.0,2309.274016675505,238261483.27388567,4.354987129979293,2264.5771973982696,233649847.59023896,4611635.683646709,1.0197373793786262,0.019737379378626078
Crustaceans,22,22,27172.084580324004,27172.084580324004,0.0,1.0,94.24094082108884,2560722.814919935,2.717708213752778,52.20453283826089,1418505.9817575268,1142216.8331624083,1.8052252495595424,0.8052252495595426
Flatfishes,6,6,2102.1049634653,2102.1049634653,0.0,1.0,516.5369614030293,1085814.9103785919,3.639823474641467,436.33844003549865,917229.2005493279,168585.70982926397,1.1837988909732684,0.18379889097326832
Herring-likes,5,5,364665.91995222075,364665.91995222075,0.0,1.0,26.565062463694456,9687372.941911347,2.1235344375932526,13.290289389478747,4846515.606645506,4840857.335265841,1.998832507343646,0.9988325073436458
Molluscs,28,28,143346.93019208778,143346.93019208778,0.0,1.0,15.47803451051527,2218728.732489558,2.073365107373941,11.840365460540381,1697280.0411208894,521448.6913686686,1.3072260786288998,0.3072260786288998
Other fishes & inverts,19,19,1004132.0481028467,1004132.0481028467,0.0,1.0,1099.2732552812815,1103815505.2502768,3.89177283772931,779.4223188874819,782642929.4015573,321172575.8487195,1.4103692294189663,0.41036922941896625
Perch-likes,50,50,943495.2939962571,943495.2939962571,0.0,1.0,507.1148191751242,478460445.4074926,3.460375633497943,288.6527062078104,272342469.9063533,206117975.50113928,1.7568337599788026,0.7568337599788026
"Salmon, smelts, etc",1,1,0.9583645265,0.9583645265,0.0,1.0,144.5439770745928,138.52582014751897,3.16,144.5439770745928,138.52582014751897,0.0,1.0,0.0
Scorpionfishes,4,4,12464.655147225,12464.655147225,0.0,1.0,70.95349915533234,884410.8984601379,2.7892808870216403,61.557487705452864,767292.8559780127,117118.04248212522,1.1526379941760871,0.15263799417608723
Sharks & rays,24,24,25393.6704067327,25393.6704067327,0.0,1.0,2134.3621298675785,54199288.45446931,4.209222660668503,1618.909832105786,41110062.69471331,13089225.759755999,1.31839469224257,0.31839469224256994
Tuna & billfishes,17,17,165883.2905515809,165883.2905515809,0.0,1.0,2956.284593316184,490398216.1462307,4.469331134457172,2946.667509111792,488802902.5728945,1595313.573336184,1.003263715425868,0.003263715425867949
