cohort,year,functional_group,tl
eez,1953,Medium bathydemersals (30 - 89 cm),3.899259259259259
eez,1953,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1953,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1953,Medium demersals (30 - 89 cm),3.6335023041474654
eez,1953,Medium pelagics (30 - 89 cm),3.5867676767676766
eez,1953,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1953,Other demersal invertebrates,2.172890510948905
eez,1953,Shrimps,2.8849382716049385
eez,1953,Small bathydemersals (<30 cm),3.505
eez,1953,Small bathypelagics (<30 cm),3.495
eez,1953,Small benthopelagics (<30 cm),3.5044444444444443
eez,1953,Small demersals (<30 cm),3.4293548387096773
eez,1953,Small pelagics (<30 cm),3.2995454545454543
eez,1953,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1953,Small to medium flatfishes (<90 cm),3.61546875
eez,1953,Small to medium rays (<90 cm),3.786190476190476
eez,1953,Small to medium sharks (<90 cm),3.9246666666666665
eez,1954,Cephalopods,3.8474285714285714
eez,1954,Jellyfish,3.2199999999999998
eez,1954,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1954,Large bathypelagics (>=90 cm),4.07
eez,1954,Large benthopelagics (>=90 cm),3.948723404255319
eez,1954,Large demersals (>=90 cm),3.9775316455696204
eez,1954,Large flatfishes (>=90 cm),3.9871428571428567
eez,1954,Large pelagics (>=90 cm),4.29089552238806
eez,1954,Large rays (>=90 cm),3.732325581395349
eez,1954,Large reef assoc. fish (>=90 cm),3.8185526315789473
eez,1954,Large sharks (>=90 cm),4.207118421052631
eez,1954,"Lobsters, crabs",3.1918478260869563
eez,1954,Medium bathydemersals (30 - 89 cm),3.899259259259259
eez,1954,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1954,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1954,Medium demersals (30 - 89 cm),3.6335023041474654
eez,1954,Medium pelagics (30 - 89 cm),3.588673469387755
eez,1954,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1954,Other demersal invertebrates,2.1705467625899284
eez,1954,Shrimps,2.896
eez,1954,Small bathydemersals (<30 cm),3.505
eez,1954,Small bathypelagics (<30 cm),3.495
eez,1954,Small benthopelagics (<30 cm),3.5044444444444443
eez,1954,Small demersals (<30 cm),3.4252459016393444
eez,1954,Small pelagics (<30 cm),3.2995454545454543
eez,1954,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1954,Small to medium flatfishes (<90 cm),3.6143939393939393
eez,1954,Small to medium rays (<90 cm),3.786190476190476
eez,1954,Small to medium sharks (<90 cm),3.9246666666666665
eez,1955,Cephalopods,3.8474285714285714
eez,1955,Jellyfish,3.2199999999999998
eez,1955,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1955,Large bathypelagics (>=90 cm),4.07
eez,1955,Large benthopelagics (>=90 cm),3.948723404255319
eez,1955,Large demersals (>=90 cm),3.9775316455696204
eez,1955,Large flatfishes (>=90 cm),3.9871428571428567
