cohort,year,commercial_group,tl
eez,1960,Herring-likes,3.187846153846154
eez,1960,Molluscs,2.1334918032786887
eez,1960,Other fishes & inverts,3.5805291970802924
eez,1960,Perch-likes,3.603906447534766
eez,1960,"Salmon, smelts, etc",3.6664864864864866
eez,1960,Scorpionfishes,3.756774193548387
eez,1960,Sharks & rays,3.984783439490446
eez,1960,Tuna & billfishes,4.389230769230769
eez,1961,Anchovies,3.1591304347826084
eez,1961,Cod-likes,3.995918367346939
eez,1961,Crustaceans,3.045086705202312
eez,1961,Flatfishes,3.664155844155844
eez,1961,Herring-likes,3.187846153846154
eez,1961,Molluscs,2.1292539682539684
eez,1961,Other fishes & inverts,3.5820108695652175
eez,1961,Perch-likes,3.60364898989899
eez,1961,"Salmon, smelts, etc",3.6664864864864866
eez,1961,Scorpionfishes,3.756774193548387
eez,1961,Sharks & rays,3.985575949367089
eez,1961,Tuna & billfishes,4.389230769230769
eez,1962,Anchovies,3.1525
eez,1962,Cod-likes,4.005294117647059
eez,1962,Crustaceans,3.0485549132947978
eez,1962,Flatfishes,3.664155844155844
eez,1962,Herring-likes,3.187846153846154
eez,1962,Molluscs,2.127234375
eez,1962,Other fishes & inverts,3.5788181818181815
eez,1962,Perch-likes,3.6029974811083125
eez,1962,"Salmon, smelts, etc",3.676666666666667
eez,1962,Scorpionfishes,3.7622222222222224
eez,1962,Sharks & rays,3.984783439490446
eez,1962,Tuna & billfishes,4.389230769230769
eez,1963,Anchovies,3.1525
eez,1963,Cod-likes,4.005294117647059
eez,1963,Crustaceans,3.0379885057471263
eez,1963,Flatfishes,3.6653846153846152
eez,1963,Herring-likes,3.187846153846154
eez,1963,Molluscs,2.127234375
eez,1963,Other fishes & inverts,3.5820108695652175
eez,1963,Perch-likes,3.6025314861460958
eez,1963,"Salmon, smelts, etc",3.676666666666667
eez,1963,Scorpionfishes,3.7622222222222224
eez,1963,Sharks & rays,3.9870316455696204
eez,1963,Tuna & billfishes,4.389230769230769
eez,1964,Anchovies,3.1525
eez,1964,Cod-likes,4.005294117647059
eez,1964,Crustaceans,3.0334857142857143
eez,1964,Flatfishes,3.6653846153846152
eez,1964,Herring-likes,3.1900000000000004
eez,1964,Molluscs,2.125083969465649
eez,1964,Other fishes & inverts,3.5864208633093524
eez,1964,Perch-likes,3.600438596491228
eez,1964,"Salmon, smelts, etc",3.676666666666667
eez,1964,Scorpionfishes,3.756774193548387
eez,1964,Sharks & rays,3.9870316455696204
eez,1964,Tuna & billfishes,4.389230769230769
eez,1965,Anchovies,3.1525
eez,1965,Cod-likes,4.003962264150943
eez,1965,Crustaceans,3.0439080459770116
eez,1965,Flatfishes,3.6653846153846152
eez,1965,Herring-likes,3.1910606060606064
eez,1965,Molluscs,2.118796875
eez,1965,Other fishes & inverts,3.5899460431654675
eez,1965,Perch-likes,3.599712858926342
eez,1965,"Salmon, smelts, etc",3.6670270270270273
eez,1965,Scorpionfishes,3.756774193548387
eez,1965,Sharks & rays,3.9842830188679246
eez,1965,Tuna & billfishes,4.389230769230769
eez,1966,Anchovies,3.1525
eez,1966,Cod-likes,4.003962264150943
eez,1966,Crustaceans,3.040568181818182
eez,1966,Flatfishes,3.671688311688312
eez,1966,Herring-likes,3.196764705882353
eez,1966,Molluscs,2.1186511627906977
eez,1966,Other fishes & inverts,3.583509090909091
eez,1966,Perch-likes,3.599712858926342
eez,1966,"Salmon, smelts, etc",3.6670270270270273
eez,1966,Scorpionfishes,3.756774193548387
eez,1966,Sharks & rays,3.9842830188679246
eez,1966,Tuna & billfishes,4.389230769230769
eez,1967,Anchovies,3.1525
eez,1967,Cod-likes,3.9843636363636366
eez,1967,Crustaceans,3.032247191011236
eez,1967,Flatfishes,3.6716883116883112
eez,1967,Herring-likes,3.196764705882353
eez,1967,Molluscs,2.1241363636363637
eez,1967,Other fishes & inverts,3.5823561151079137
eez,1967,Perch-likes,3.6010874999999998
eez,1967,"Salmon, smelts, etc",3.6670270270270273
eez,1967,Scorpionfishes,3.756774193548387
eez,1967,Sharks & rays,3.9842830188679246
eez,1967,Tuna & billfishes,4.389230769230769
eez,1968,Anchovies,3.1525
eez,1968,Cod-likes,3.9843636363636366
eez,1968,Crustaceans,3.0264804469273745
eez,1968,Flatfishes,3.6716883116883112
eez,1968,Herring-likes,3.192647058823529
eez,1968,Molluscs,2.1230298507462684
eez,1968,Other fishes & inverts,3.5853584229390685
eez,1968,Perch-likes,3.6000498132004983
eez,1968,"Salmon, smelts, etc",3.6670270270270273
eez,1968,Scorpionfishes,3.7567741935483867
eez,1968,Sharks & rays,3.9842830188679246
eez,1968,Tuna & billfishes,4.389230769230769
eez,1969,Anchovies,3.1525
eez,1969,Cod-likes,3.984363636363636
eez,1969,Crustaceans,3.032247191011236
eez,1969,Flatfishes,3.6653846153846152
eez,1969,Herring-likes,3.1937313432835825
eez,1969,Molluscs,2.1248939393939392
eez,1969,Other fishes & inverts,3.586067615658363
eez,1969,Perch-likes,3.600149253731343
eez,1969,"Salmon, smelts, etc",3.676666666666667
eez,1969,Scorpionfishes,3.756774193548387
eez,1969,Sharks & rays,3.9842830188679246
eez,1969,Tuna & billfishes,4.389230769230769
eez,1970,Anchovies,3.1525
eez,1970,Cod-likes,3.984363636363636
eez,1970,Crustaceans,3.0293048128342246
eez,1970,Flatfishes,3.67
eez,1970,Herring-likes,3.1956521739130435
eez,1970,Molluscs,2.123954887218045
eez,1970,Other fishes & inverts,3.5852456140350877
eez,1970,Perch-likes,3.599466501240695
eez,1970,"Salmon, smelts, etc",3.676666666666667
eez,1970,Scorpionfishes,3.7622222222222224
eez,1970,Sharks & rays,3.98756875
eez,1970,Tuna & billfishes,4.389230769230769
eez,1971,Anchovies,3.1525
eez,1971,Cod-likes,3.980357142857143
eez,1971,Crustaceans,3.0282352941176467
eez,1971,Flatfishes,3.67
eez,1971,Herring-likes,3.192647058823529
eez,1971,Molluscs,2.1252769230769233
eez,1971,Other fishes & inverts,3.584632867132867
eez,1971,Perch-likes,3.5998887515451172
eez,1971,"Salmon, smelts, etc",3.676666666666667
eez,1971,Scorpionfishes,3.7622222222222224
eez,1971,Sharks & rays,3.98756875
eez,1971,Tuna & billfishes,4.389230769230769
eez,1972,Anchovies,3.175
eez,1972,Cod-likes,3.9894736842105263
eez,1972,Crustaceans,3.020691489361702
eez,1972,Flatfishes,3.67
eez,1972,Herring-likes,3.1937313432835825
eez,1972,Molluscs,2.128123076923077
eez,1972,Other fishes & inverts,3.5820598591549295
eez,1972,Perch-likes,3.599975339087546
eez,1972,"Salmon, smelts, etc",3.6670270270270273
eez,1972,Scorpionfishes,3.7622222222222224
eez,1972,Sharks & rays,3.98756875
eez,1972,Tuna & billfishes,4.389230769230769
eez,1973,Anchovies,3.175
eez,1973,Cod-likes,3.983448275862069
eez,1973,Crustaceans,3.0246560846560846
eez,1973,Flatfishes,3.67
eez,1973,Herring-likes,3.192647058823529
eez,1973,Molluscs,2.125233082706767
eez,1973,Other fishes & inverts,3.585526315789474
eez,1973,Perch-likes,3.598434032059186
eez,1973,"Salmon, smelts, etc",3.676666666666667
eez,1973,Scorpionfishes,3.7622222222222224
eez,1973,Sharks & rays,3.9936036585365855
eez,1973,Tuna & billfishes,4.389230769230769
eez,1974,Anchovies,3.175
eez,1974,Cod-likes,3.983448275862069
eez,1974,Crustaceans,3.0217616580310884
eez,1974,Flatfishes,3.67
eez,1974,Herring-likes,3.1956521739130435
eez,1974,Molluscs,2.1242985074626866
eez,1974,Other fishes & inverts,3.5752951388888885
eez,1974,Perch-likes,3.599456790123457
eez,1974,"Salmon, smelts, etc",3.676666666666667
eez,1974,Scorpionfishes,3.7622222222222224
eez,1974,Sharks & rays,3.9943090909090913
eez,1974,Tuna & billfishes,4.389230769230769
eez,1975,Anchovies,3.175
eez,1975,Cod-likes,3.983448275862069
eez,1975,Crustaceans,3.0253157894736846
eez,1975,Flatfishes,3.67
eez,1975,Herring-likes,3.1937313432835825
eez,1975,Molluscs,2.1232058823529414
eez,1975,Other fishes & inverts,3.5817657342657343
eez,1975,Perch-likes,3.599456790123457
eez,1975,"Salmon, smelts, etc",3.676666666666667
eez,1975,Scorpionfishes,3.76125
eez,1975,Sharks & rays,3.9943090909090913
eez,1975,Tuna & billfishes,4.389230769230769
eez,1976,Anchovies,3.175
eez,1976,Cod-likes,3.983448275862069
eez,1976,Crustaceans,3.020942408376963
eez,1976,Flatfishes,3.67
eez,1976,Herring-likes,3.1832835820895524
eez,1976,Molluscs,2.122470588235294
eez,1976,Other fishes & inverts,3.5802604166666665
eez,1976,Perch-likes,3.6034625
eez,1976,"Salmon, smelts, etc",3.6670270270270273
eez,1976,Scorpionfishes,3.76125
eez,1976,Sharks & rays,3.996179012345679
eez,1976,Tuna & billfishes,4.389230769230769
eez,1977,Anchovies,3.175
eez,1977,Cod-likes,3.983448275862069
eez,1977,Crustaceans,3.022804232804233
eez,1977,Flatfishes,3.67
eez,1977,Herring-likes,3.1832835820895524
eez,1977,Molluscs,2.125233082706767
eez,1977,Other fishes & inverts,3.5761764705882357
eez,1977,Perch-likes,3.602537313432836
eez,1977,"Salmon, smelts, etc",3.676666666666667
eez,1977,Scorpionfishes,3.7575384615384615
eez,1977,Sharks & rays,3.996179012345679
eez,1977,Tuna & billfishes,4.389230769230769
eez,1978,Anchovies,3.175
eez,1978,Cod-likes,3.9896666666666665
eez,1978,Crustaceans,3.0154922279792746
eez,1978,Flatfishes,3.67
eez,1978,Herring-likes,3.1832835820895524
eez,1978,Molluscs,2.1212661870503595
eez,1978,Other fishes & inverts,3.587646048109966
eez,1978,Perch-likes,3.602942643391521
eez,1978,"Salmon, smelts, etc",3.676666666666667
