scenario,overlap_penalty,recommended,selected_count,selected_counts_by_type,source_union_area_km2,selected_union_area_km2,selected_sum_area_km2,sum_minus_union_area_km2,area_covered_at_least_twice_km2,gap_area_km2,coverage_fraction,duplicate_excess_fraction_of_union,twice_covered_fraction_of_union,gap_fraction,union_plus_gap_minus_source_km2
lme_hs_baseline,,False,84,"{""LME"": 66, ""HS"": 18}",362855225.24089724,294712531.19716215,306584385.5548258,11871854.357663631,11871677.462201882,68142694.0162265,0.812204181437664,0.04028282852255571,0.04028222829201569,0.1877958184865245,-0.027508556842803955
practical_lme_first,1.0,True,167,"{""EEZ"": 84, ""LME"": 66, ""HS"": 17}",362855225.24089724,353066401.8966411,367235554.55334365,14169152.656702578,14169026.584684683,9788823.290111244,0.9730227852230667,0.04013169358677903,0.04013133650942129,0.026977214627714144,-0.05414491891860962
strict_overlap_5,5.0,False,148,"{""EEZ"": 66, ""LME"": 66, ""HS"": 16}",362855225.24089724,337402036.05699855,345233102.4488984,7831066.391899824,7831028.446365761,25453189.138685975,0.9298530449244585,0.023209896666352346,0.02320978420249615,0.07014695495093881,-0.04521268606185913
maximum_coverage,0.0,False,360,"{""EEZ"": 276, ""LME"": 66, ""HS"": 18}",362855225.24089724,362855225.24089724,451921484.0924567,89066258.85155946,85106014.02518232,0.0,1.0,0.24545949088215266,0.23454537265842318,0.0,0.0
