unit_id,year,metric,reference,historical,difference,comparison_status,passed
EEZ_356,2019,ppr_functional_correct,2254375093.1762247,2254375093.1762247,0.0,numeric_reproduction,True
EEZ_356,2019,ppr_commercial_jensen,1532529614.0560458,1532529614.056045,-7.152557373046875e-07,numeric_reproduction,True
EEZ_356,2019,ppr_functional_jensen,1805078848.6658757,1805078848.6658757,0.0,numeric_reproduction,True
EEZ_361,2019,total_catch_tonnes,3382553.5340884444,3382553.5340884444,0.0,numeric_reproduction,True
EEZ_361,2019,matched_catch_tonnes,3382553.5340884444,3382553.5340884444,0.0,numeric_reproduction,True
EEZ_361,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_361,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_361,2019,taxa_count,146.0,146.0,0.0,numeric_reproduction,True
EEZ_361,2019,matched_taxa_count,146.0,146.0,0.0,numeric_reproduction,True
EEZ_361,2019,ppr_species,2093542875.0827372,2093542875.0827374,2.384185791015625e-07,numeric_reproduction,True
EEZ_361,2019,ppr_commercial_correct,2093542875.0827372,2093542875.0827372,0.0,numeric_reproduction,True
EEZ_361,2019,ppr_functional_correct,2093542875.0827372,2093542875.0827372,0.0,numeric_reproduction,True
EEZ_361,2019,ppr_commercial_jensen,1439043330.8649027,1439043330.8649025,-2.384185791015625e-07,numeric_reproduction,True
EEZ_361,2019,ppr_functional_jensen,1548987104.3551705,1548987104.3551712,7.152557373046875e-07,numeric_reproduction,True
EEZ_959,2019,total_catch_tonnes,2640185.1931024343,2640185.1931024343,0.0,numeric_reproduction,True
EEZ_959,2019,matched_catch_tonnes,2640185.1931024343,2640185.1931024343,0.0,numeric_reproduction,True
EEZ_959,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_959,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_959,2019,taxa_count,82.0,82.0,0.0,numeric_reproduction,True
EEZ_959,2019,matched_taxa_count,82.0,82.0,0.0,numeric_reproduction,True
EEZ_959,2019,ppr_species,1781327374.0574036,1781327374.0574036,0.0,numeric_reproduction,True
EEZ_959,2019,ppr_commercial_correct,1781327374.0574036,1781327374.0574033,-2.384185791015625e-07,numeric_reproduction,True
EEZ_959,2019,ppr_functional_correct,1781327374.057403,1781327374.0574033,2.384185791015625e-07,numeric_reproduction,True
EEZ_959,2019,ppr_commercial_jensen,1391978413.5491133,1391978413.5491123,-9.5367431640625e-07,numeric_reproduction,True
EEZ_959,2019,ppr_functional_jensen,1468317274.3697884,1468317274.3697894,9.5367431640625e-07,numeric_reproduction,True
EEZ_941,2019,total_catch_tonnes,599962.7992743407,599962.7992743407,0.0,numeric_reproduction,True
EEZ_941,2019,matched_catch_tonnes,599962.7992743407,599962.7992743407,0.0,numeric_reproduction,True
EEZ_941,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_941,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_941,2019,taxa_count,38.0,38.0,0.0,numeric_reproduction,True
EEZ_941,2019,matched_taxa_count,38.0,38.0,0.0,numeric_reproduction,True
EEZ_941,2019,ppr_species,1552445784.5398903,1552445784.5398905,2.384185791015625e-07,numeric_reproduction,True
EEZ_941,2019,ppr_commercial_correct,1552445784.539891,1552445784.5398908,-2.384185791015625e-07,numeric_reproduction,True
EEZ_941,2019,ppr_functional_correct,1552445784.5398912,1552445784.5398908,-4.76837158203125e-07,numeric_reproduction,True
EEZ_941,2019,ppr_commercial_jensen,1544498081.8229556,1544498081.8229556,0.0,numeric_reproduction,True
EEZ_941,2019,ppr_functional_jensen,1546704412.866342,1546704412.8663392,-2.86102294921875e-06,numeric_reproduction,True
EEZ_938,2019,total_catch_tonnes,2112707.572524511,2112707.572524511,0.0,numeric_reproduction,True
EEZ_938,2019,matched_catch_tonnes,2112707.572524511,2112707.572524511,0.0,numeric_reproduction,True
EEZ_938,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_938,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_938,2019,taxa_count,147.0,147.0,0.0,numeric_reproduction,True
EEZ_938,2019,matched_taxa_count,147.0,147.0,0.0,numeric_reproduction,True
EEZ_938,2019,ppr_species,1549538383.7711182,1549538383.7711182,0.0,numeric_reproduction,True
EEZ_938,2019,ppr_commercial_correct,1549538383.7711184,1549538383.7711182,-2.384185791015625e-07,numeric_reproduction,True
EEZ_938,2019,ppr_functional_correct,1549538383.7711182,1549538383.7711182,0.0,numeric_reproduction,True
EEZ_938,2019,ppr_commercial_jensen,1173195631.6727116,1173195631.6727118,2.384185791015625e-07,numeric_reproduction,True
EEZ_938,2019,ppr_functional_jensen,1254364943.6071885,1254364943.6071882,-2.384185791015625e-07,numeric_reproduction,True
