eez_unit_id,eez_name,lme_unit_id,lme_name,eez_area_km2,lme_area_km2,intersection_km2,intersection_fraction_of_eez,intersection_fraction_of_lme,eez_to_lme_area_ratio,lme_mostly_contained,flag_prefer_eez_candidate,flag_review_110_120
EEZ_036,Australia,LME_039,North Australian Shelf,6329385.118514362,779233.7571536872,774540.6124734362,0.1223721732791694,0.9939772313029742,8.12257562048358,True,True,False
EEZ_036,Australia,LME_040,Northeast Australian Shelf-Great Barrier Reef,6329385.118514362,1281812.9017148395,1274246.02491603,0.2013222455351432,0.994096738464181,4.937838517654768,True,True,False
EEZ_036,Australia,LME_041,East-Central Australian Shelf,6329385.118514362,651954.7372632008,615482.1601558736,0.0972420146082594,0.9440565808902116,9.7083198522095,True,True,False
EEZ_036,Australia,LME_042,Southeast Australian Shelf,6329385.118514362,1191815.548368252,1188631.0719986544,0.1877956625710351,0.997328045959832,5.310708630358197,True,True,False
EEZ_036,Australia,LME_043,Southwest Australian Shelf,6329385.118514362,1014951.130078868,1012369.0772792876,0.1599474606653279,0.9974559831276016,6.236147663604778,True,True,False
EEZ_036,Australia,LME_044,West-Central Australian Shelf,6329385.118514362,579356.8063443139,578417.8018074617,0.0913860969078191,0.9983792292995102,10.924848123304493,True,True,False
EEZ_036,Australia,LME_045,Northwest Australian Shelf,6329385.118514362,910842.4768383016,845868.919397021,0.1336415628941163,0.9286665267667188,6.948934947000714,True,True,False
EEZ_076,Brazil (mainland),LME_015,South Brazil Shelf,2412664.317181936,566579.6220120125,557609.8703593346,0.2311178834072697,0.9841685946613736,4.258297022074654,True,True,False
EEZ_234,Faeroe Isl. (Denmark),LME_060,Faroe Plateau,272076.4346233961,104186.75713574768,102961.79109181772,0.3784296542783494,0.9882425936116436,2.611430109768178,True,True,False
EEZ_649,Russia (Far East),LME_052,Sea of Okhotsk,3394719.1917649917,1563892.65463195,1480327.9215697974,0.4360678565581565,0.9465661963340964,2.1706855529441134,True,True,False
EEZ_913,Russia (Laptev to Chukchi Sea),LME_056,East Siberian Sea,2088748.55425442,629972.9022024922,584276.070294642,0.2797254217625058,0.9274622261559404,3.315616508189162,True,True,False
EEZ_913,Russia (Laptev to Chukchi Sea),LME_057,Laptev Sea,2088748.55425442,898998.1635058462,884714.2383105294,0.4235618674677329,0.9841112854562312,2.323418043601862,True,True,False
EEZ_924,Canada (Arctic),LME_063,Hudson Bay Complex,3057562.0950405607,1251978.6371497132,1234623.4297916023,0.403793411683835,0.9861377767614132,2.442183919369012,True,True,False
EEZ_926,Canada (East Coast),LME_008,Scotian Shelf,2279390.657784744,284630.68453900755,281429.94308870623,0.1234671828313175,0.9887547561659232,8.008239383875573,True,True,False
EEZ_945,Mexico (Pacific),LME_004,Gulf of California,2349313.1133840904,222399.7685962258,219827.43254956175,0.0935709383722416,0.988433728762847,10.563469234760522,True,True,False
EEZ_959,"USA (Alaska, Subarctic)",LME_065,Aleutian Islands,3196948.718097772,218410.46518548104,217101.6398817448,0.0679090154473679,0.994007497293572,14.637342195955778,True,True,False
