unit_id,region_name,region_type,area_km2,selected,selection_reason,unique_area_vs_other_selected_km2,overlap_area_with_other_selected_km2,overlap_fraction_with_other_selected,marginal_objective_km2,replacement_eligible_lme_ids,review_110_120_lme_ids
EEZ_144,Sri Lanka,EEZ,530837.5864557527,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,135134.52018034324,395703.0662754095,0.7454315149712798,-260568.54609506624,,
EEZ_152,Chile (mainland),EEZ,1961185.5065139579,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,388136.1809724435,1573049.3255415144,0.8020910415239798,-1184913.144569071,,
EEZ_153,Easter Isl. (Chile),EEZ,720251.4583650454,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,720250.0015617382,1.4568033071700484,2.022631527157139e-06,720248.544758431,,
EEZ_154,Desventuradas Isl. (Chile),EEZ,449751.05945564446,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,449721.79858920677,29.2608664376894,6.506013898689921e-05,449692.5377227691,,
EEZ_155,Juan Fernandez Islands (Chile),EEZ,503102.73879556305,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,499005.20808535523,4097.530710207822,0.008144520779229674,494907.6773751474,,
EEZ_156,China,EEZ,2613096.913290415,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,5357.470237510266,2607739.4430529047,0.9979497621346297,-2602381.9728153944,,
EEZ_157,Taiwan,EEZ,1147428.8675345082,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,1190.3006391652875,1146238.566895343,0.9989626366628522,-1145048.2662561776,,
EEZ_162,Christmas Isl. (Australia),EEZ,326317.05112261674,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,326196.4411635516,120.60995906515745,0.00036960973583889466,326075.8312044864,,
EEZ_166,Cocos (Keeling) Isl. (Australia),EEZ,464499.95185125654,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,463685.3002205829,814.6516306736157,0.001753825005636353,462870.6485899093,,
EEZ_174,Comoros Isl.,EEZ,231439.09730520734,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,545.893494122148,230893.2038110852,0.9976413082297748,-230347.31031696306,,
EEZ_175,Mayotte (France),EEZ,66564.53664489921,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,58.44295675404206,66506.09368814518,0.9991220106125607,-66447.65073139114,,
EEZ_178,"Congo, R. of",EEZ,33792.9398921022,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,110.26989272332257,33682.66999937888,0.99673689554459,-33572.40010665556,,
EEZ_180,Congo (ex-Zaire),EEZ,13151.36244471965,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,52.124571753349194,13099.237872966301,0.9960365648827298,-13047.113301212952,,
EEZ_184,Cook Islands,EEZ,1960345.8962946818,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1960208.3146001515,137.58169453032315,7.01823564863584e-05,1960070.7329056212,,
EEZ_191,Croatia,EEZ,56134.81411396706,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,409.8540451867391,55724.960068780325,0.9926987547450565,-55315.10602359359,,
EEZ_192,Cuba,EEZ,352563.4221543121,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,1701.6631883185453,350861.75896599353,0.9951734550966159,-349160.095777675,,
EEZ_197,Cyprus (North),EEZ,17555.247741041076,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,80.45785542675786,17474.78988561432,0.9954168772429989,-17394.33203018756,,
EEZ_198,Cyprus (South),EEZ,80948.3455476028,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,144.77348653750417,80803.5720610653,0.9982115324833616,-80658.79857452778,,
EEZ_204,Benin,EEZ,35693.59622507248,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,253.81783474723557,35439.77839032524,0.9928889811733528,-35185.96055557801,,
EEZ_212,Dominica,EEZ,28621.6644516181,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,12772.305489125287,15849.358962492814,0.5537539226373253,-3077.0534733675267,,
EEZ_214,Dominican Republic,EEZ,377566.62882686494,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,145512.85996851293,232053.768858352,0.6146034928440708,-86540.90888983908,,
EEZ_218,Ecuador (mainland),EEZ,234368.6690185131,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,95465.85126968741,138902.81774882568,0.5926680316550911,-43436.96647913827,,
EEZ_219,Galapagos Isl. (Ecuador),EEZ,835646.4733697383,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,835612.1441837808,34.32918595755473,4.108099184470023e-05,835577.8149978232,,
EEZ_222,El Salvador,EEZ,94248.68859363357,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,5399.750614129578,88848.937979504,0.9427074191195237,-83449.18736537443,,
EEZ_226,Equatorial Guinea,EEZ,302959.3278481262,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,223400.42833192088,79558.8995162053,0.26260587545298575,143841.52881571557,,
EEZ_233,Estonia,EEZ,36339.615107312,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,652.1971777125171,35687.41792959948,0.98205272191831,-35035.22075188697,,
EEZ_234,Faeroe Isl. (Denmark),EEZ,272076.4346233961,False,Excluded: added coverage does not exceed overlap penalty; LME-first preference retained,39287.356704353704,232789.07791904238,0.8556017658834193,-193501.72121468867,LME_060,
EEZ_238,Falkland Isl. (UK),EEZ,550413.2949961914,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,315599.8741549809,234813.42084121052,0.4266129161048614,80786.45331377035,,
EEZ_239,South Georgia & Sandwich Isl. (UK),EEZ,1277378.995750381,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1277025.730729948,353.265020432882,0.00027655458685960365,1276672.4657095151,,
EEZ_242,Fiji,EEZ,1280507.33915883,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1280315.4853429245,191.85381590551697,0.00014982640867294557,1280123.631527019,,
