eez_unit_id,eez_name,removed_lme_ids,gained_coverage_km2,lost_coverage_km2,union_area_change_km2,summed_area_change_km2,duplicate_area_change_km2,objective_change_km2,beneficial_at_penalty_1
EEZ_036,Australia,LME_039;LME_040;LME_041;LME_042;LME_043;LME_044;LME_045,38700.38252102746,78409.74916609169,-39709.36664506423,-80582.23924710136,-40872.87260203713,1163.5059569729056,True
EEZ_076,Brazil (mainland),LME_015,386149.8690002096,8357.269018242489,377792.5999819671,1846084.6951699234,1468292.0951879562,-1090499.495205989,False
EEZ_234,Faeroe Isl. (Denmark),LME_060,39287.356704353704,1224.9666954834997,38062.39000887021,167889.67748764838,129827.28747877818,-91764.89746990797,False
EEZ_649,Russia (Far East),LME_052,292120.7786708073,83564.74097095859,208556.0376998487,1830826.5371330413,1622270.4994331927,-1413714.461733344,False
EEZ_913,Russia (Laptev to Chukchi Sea),LME_056;LME_057,10068.294385517796,59980.75977494799,-49912.465389430196,559777.4885460816,609689.9539355118,-659602.4193249419,False
EEZ_924,Canada (Arctic),LME_063,27518.368011200593,17355.218366419835,10163.149644780759,1805583.4578908475,1795420.3082460668,-1785257.158601286,False
EEZ_926,Canada (East Coast),LME_008,592509.6902347901,3200.132438145394,589309.5577966447,1994759.9732457367,1405450.415449092,-816140.8576524472,False
EEZ_945,Mexico (Pacific),LME_004,571297.6711004344,2572.340827123946,568725.3302733104,2126913.3447878645,1558188.014514554,-989462.6842412436,False
EEZ_959,"USA (Alaska, Subarctic)",LME_065,901136.2346998355,1308.827573115417,899827.4071267201,2978538.252912291,2078710.8457855708,-1178883.4386588507,False
