year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,3542,404625.3458333254,404625.3458333254,0.0,True
1951,3452,429546.8885919954,429546.8885919954,0.0,True
1952,3536,463848.0142316503,463848.01423165033,5.820766091346741e-11,True
1953,3840,450859.2305607817,450859.2305607817,0.0,True
1954,3757,483302.3977700076,483302.3977700076,0.0,True
1955,3937,501339.1223240404,501339.1223240404,0.0,True
1956,3962,526394.4983137083,526394.4983137083,0.0,True
1957,3860,557783.158596002,557783.158596002,0.0,True
1958,3952,527691.0253654775,527691.0253654775,0.0,True
1959,3805,540516.1383010054,540516.1383010055,1.1641532182693481e-10,True
1960,3842,544030.7252474254,544030.7252474254,0.0,True
1961,3934,498964.677508356,498964.677508356,0.0,True
1962,3813,532297.7870815811,532297.7870815811,0.0,True
1963,3885,562738.8682895133,562738.8682895133,0.0,True
1964,3793,563392.2724702122,563392.2724702122,0.0,True
1965,3923,605878.3154906667,605878.3154906667,0.0,True
1966,3707,673089.8061996914,673089.8061996914,0.0,True
1967,3815,744204.5003857836,744204.5003857836,0.0,True
1968,3962,832601.7873758494,832601.7873758494,0.0,True
1969,3692,792234.7659895361,792234.7659895361,0.0,True
1970,4140,832124.2558089911,832124.2558089911,0.0,True
1971,3896,847942.5946137884,847942.5946137884,0.0,True
1972,3864,893222.3157984163,893222.3157984163,0.0,True
1973,4596,974213.2279408765,974213.2279408765,0.0,True
1974,4821,1025152.9754254337,1025152.9754254337,0.0,True
1975,4985,1002260.0773501244,1002260.0773501244,0.0,True
1976,4851,988361.2104301758,988361.2104301758,0.0,True
1977,4644,980221.9829520303,980221.9829520303,0.0,True
1978,4841,925911.6152553369,925911.6152553369,0.0,True
1979,4994,982861.5645469517,982861.5645469517,0.0,True
1980,5031,1050386.0567525674,1050386.0567525674,0.0,True
1981,5085,996006.2131470218,996006.2131470217,-1.1641532182693481e-10,True
1982,5358,1025164.3723208357,1025164.3723208357,0.0,True
1983,5107,1059072.6872053961,1059072.6872053961,0.0,True
1984,4862,1099979.36012412,1099979.3601241203,2.3283064365386963e-10,True
1985,5125,1027499.7529727345,1027499.7529727344,-1.1641532182693481e-10,True
1986,5333,934229.3845620729,934229.3845620729,0.0,True
1987,5399,890244.3996294669,890244.3996294669,0.0,True
1988,5443,909793.3269184668,909793.3269184668,0.0,True
1989,5275,878541.5611099832,878541.5611099834,1.1641532182693481e-10,True
1990,5208,778735.0393004237,778735.0393004237,0.0,True
1991,5652,765142.7381937429,765142.7381937429,0.0,True
1992,5681,827656.6782748258,827656.6782748258,0.0,True
1993,5550,882072.372404122,882072.372404122,0.0,True
1994,5898,1105498.4907309457,1105498.4907309457,0.0,True
1995,5924,1206141.199795922,1206141.199795922,0.0,True
1996,5773,1353023.219230823,1353023.219230823,0.0,True
1997,5912,1432501.4676754149,1432501.4676754149,0.0,True
1998,5800,1295237.0840261767,1295237.0840261767,0.0,True
1999,5534,1199950.146193655,1199950.146193655,0.0,True
2000,5417,1151649.0685663896,1151649.0685663896,0.0,True
2001,5585,1094525.475218707,1094525.475218707,0.0,True
2002,5803,980939.5404149494,980939.5404149494,0.0,True
2003,5659,885013.3405120417,885013.3405120418,1.1641532182693481e-10,True
2004,6022,945755.8915544277,945755.8915544277,0.0,True
2005,5948,945731.9004838759,945731.9004838759,0.0,True
2006,5790,932669.4760047019,932669.4760047019,0.0,True
2007,5656,959461.6904812444,959461.6904812445,1.1641532182693481e-10,True
2008,6122,918456.0685061223,918456.0685061223,0.0,True
2009,6079,964301.0547664721,964301.0547664721,0.0,True
2010,5761,896462.1472058207,896462.1472058207,0.0,True
2011,5903,824830.4398477785,824830.4398477785,0.0,True
2012,5721,828138.1486858416,828138.1486858416,0.0,True
2013,5869,844679.7140405627,844679.7140405627,0.0,True
2014,6098,844200.6446605062,844200.6446605062,0.0,True
2015,8957,907383.0541135713,907383.0541135713,0.0,True
2016,8914,961521.3515084371,961521.3515084371,0.0,True
2017,8783,1067264.8872564961,1067264.8872564961,0.0,True
2018,9390,981123.3512587836,981123.3512587836,0.0,True
2019,9364,937172.6469930056,937172.6469930056,0.0,True
