system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,547969.2774803247,100.1396983110094,common mask,1,83637830.18882567,82472280.79291049,82472280.79291049,83637830.18882567,83637830.18882567,83637830.18882567,83637830.18882567,83637830.18882567,,,Antoine-Morel,Antoine-Morel,418.75495763260915
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.1796546066,1271175.7241638734,100.01137222371729,common mask,1,106524074.71314786,100065022.68787181,100065022.68787181,106524074.71314788,106524074.71314788,106524074.71314788,106524074.71314788,106524074.71314788,,,Antoine-Morel,Antoine-Morel,229.61417839909225
EEZ,eez,242,Fiji,1283570.2210105273,1284288.0089016333,100.05592120161069,common mask,1,151727579.35266006,151950521.2418416,151950521.2418416,151727579.35266006,151727579.35266006,151727579.35266006,151727579.35266006,151727579.35266006,,,Antoine-Morel,Antoine-Morel,323.8560628955699
EEZ,eez,258,French Polynesia,4783734.151111429,4784053.175842097,100.0066689477423,common mask,1,527124285.63091975,527184939.81029356,527184939.81029356,527124285.63091975,527124285.63091975,527124285.63091975,527124285.63091975,527124285.63091975,,,Antoine-Morel,Antoine-Morel,301.8930566366624
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,90842.10469425889,100.13889954819462,common mask,1,14807897.72263014,14837666.612184502,14837666.612184502,14807897.72263014,14807897.72263014,14807897.72263014,14807897.72263014,14807897.72263014,,,Antoine-Morel,Antoine-Morel,447.2148009524262
EEZ,eez,316,Guam (USA),208440.39017232062,208474.5321452287,100.01637972989776,common mask,1,19952725.025764145,19955406.250838548,19955406.250838548,19952725.025764145,19952725.025764145,19952725.025764145,19952725.025764145,19952725.025764145,,,Antoine-Morel,Antoine-Morel,262.2572334728138
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,414288.8597111039,100.0036819584597,common mask,1,26150308.103635814,25548916.066441607,25548916.066441607,26150308.103635818,26150308.103635818,26150308.103635818,26150308.103635818,26150308.103635818,,,Antoine-Morel,Antoine-Morel,172.94048822190592
EEZ,eez,393,Japan (Daito Islands),794362.6127079978,794384.2465375795,100.00272341991372,common mask,1,84707794.14412549,84710596.54729319,84710596.54729319,84707794.14412549,84707794.14412549,84707794.14412549,84707794.14412549,84707794.14412549,,,Antoine-Morel,Antoine-Morel,292.1539163945766
EEZ,eez,396,Johnston Atoll (USA),441315.5805130994,441315.51882354834,99.99998602144275,common mask,1,45572926.36138126,45573120.85486003,45573120.85486003,45572926.36138126,45572926.36138126,45572926.36138126,45572926.36138126,45572926.36138126,,,Antoine-Morel,Antoine-Morel,282.92074427050255
EEZ,eez,462,Maldives,927677.1542446273,927677.0350944144,99.99998715606907,common mask,1,193722570.39444384,193723063.58555838,193723063.58555838,193722570.39444384,193722570.39444384,193722570.39444384,193722570.39444384,193722570.39444384,,,Antoine-Morel,Antoine-Morel,572.1244355059308
EEZ,eez,474,Martinique (France),47510.12471645912,47579.20311659477,100.14539721911468,common mask,1,10009724.424998522,10025940.566229692,10025940.566229692,10009724.424998522,10009724.424998522,10009724.424998522,10009724.424998522,10009724.424998522,,,Antoine-Morel,Antoine-Morel,577.2222804698711
EEZ,eez,480,Mauritius,2191851.726822586,2191993.833728325,100.00648341783344,common mask,1,318700428.7856063,318726127.91694874,318726127.91694874,318700428.7856063,318700428.7856063,318700428.7856063,318700428.7856063,318700428.7856063,,,Antoine-Morel,Antoine-Morel,398.36264880579114
EEZ,eez,488,Hawaii Northwest Islands (USA),1578387.4005096853,1578387.1792432424,99.999985981487,common mask,1,170134098.62134007,170133989.01522338,170133989.01522338,170134098.62134007,170134098.62134007,170134098.62134007,170134098.62134007,170134098.62134007,,,Antoine-Morel,Antoine-Morel,295.3145837264921
EEZ,eez,520,Nauru,308943.5051900903,308958.10982651234,100.00472728384857,common mask,1,54456509.434065476,54458483.00815267,54458483.00815267,54456509.434065476,54456509.434065476,54456509.434065476,54456509.434065476,54456509.434065476,,,Antoine-Morel,Antoine-Morel,482.9229737842026
