functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,4351.1627640057995,3.686653611513531,486.0194073439455,2114749.547819142
Large benthopelagics (>=90 cm),690.5995937671,4.076451939918329,1192.4822955681552,823527.7888938269
Large demersals (>=90 cm),548.1415821872,3.54,346.73685045253166,190060.88580965725
Large pelagics (>=90 cm),12753.2736959468,4.442041726960848,2767.2075055990044,35290954.69238234
Large rays (>=90 cm),16.288517289,3.7293152821543463,536.185767814898,8733.671149168706
Large reef assoc. fish (>=90 cm),1803.4929445482999,4.024444950397032,1057.9008118037777,1907916.650120032
Large sharks (>=90 cm),2656.0781118647,4.087113276310377,1222.11838171052,3246041.8837688207
"Lobsters, crabs",1773.3764100097,3.1465110984668705,140.12353932832585,248491.77913191952
Medium benthopelagics (30 - 89 cm),950.3470980039001,3.3099517977937425,204.15113454005078,194014.43826434104
Medium demersals (30 - 89 cm),22808.418822380405,3.6701134629936285,467.8573568914475,10671086.545112038
Medium pelagics (30 - 89 cm),23871.9493895717,3.5764229286579967,377.0708228321579,9001415.59893343
Medium reef assoc. fish (30 - 89 cm),29052.373072548602,3.6954497437199465,495.9635314920473,14408917.547285667
Other demersal invertebrates,2434.4811836687,2.0207113500354756,10.488450913775504,25533.936395419245
Shrimps,3191.0123134095006,2.7303329122136737,53.74436205897483,171498.92110652706
Small benthopelagics (<30 cm),5862.5476458865,3.2299521534115576,169.80565658357582,995493.7522622539
Small demersals (<30 cm),10817.0822118528,3.6185723103608955,415.50122675246143,4494510.9289070675
Small pelagics (<30 cm),21897.7068817654,2.994635277729542,98.77232522527994,2162887.4258135827
Small reef assoc. fish (<30 cm),913.9156682087,3.666251290454812,463.71515590193115,423796.5465646149
Small to medium flatfishes (<90 cm),708.0938745324,4.082583308070047,1209.4371596703786,856395.0443944593
