commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Other fishes & inverts,2,2,3492.4651876564,3492.4651876564,0.0,1.0,200.6887637976973,700898.5211172558,3.301304313269694,200.12636783119578,698934.3727825709,1964.1483346848981,1.0028102042354352,0.002810204235435304
Perch-likes,5,5,900.4425892744001,900.4425892744001,0.0,1.0,1956.5212883585396,1761735.0948600485,4.288578296498873,1943.4720378418215,1749984.9939366847,11750.100923363818,1.0067144009600513,0.006714400960051285
Sharks & rays,8,8,13144.3799647761,13144.3799647761,0.0,1.0,2196.2300994140164,28868082.91677582,4.329759704970958,2136.779482806935,28086641.422952116,781441.4938237034,1.0278225325006327,0.02782253250063275
Tuna & billfishes,12,12,27715.179081010196,27715.179081010196,0.0,1.0,2166.8837052932663,60055569.9399258,4.3123912418989345,2053.010837285082,56899563.01061073,3156006.929315068,1.0554662771087808,0.055466277108780784
