unit_id,ecosystem,region_type,year,method,model,default_model,catch_tonnes,landings_tonnes,discards_tonnes,discard_catch_percent,covered_catch_percent,covered_discard_percent,ppr_total_tC,ppr_landings_tC,ppr_discards_tC,discard_share_of_total_ppr_percent,increase_over_landings_only_percent,npp_ensemble_2019_tC,ppr_total_over_npp_percent,ppr_landings_over_npp_percent,discard_contribution_npp_percentage_points,status
LME_013,Humboldt Current,LME,2019,SPPR_1986,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,81191936.5610516,78742800.42353317,2449136.1375184217,3.0164770557933593,3.1102984963009646,681766691.405465,11.909050058411342,11.549816295836417,0.35923376257492384,available
LME_013,Humboldt Current,LME,2019,SPPR_1995_TE0.1,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,158087431.44608718,150541328.81187242,7546102.634214787,4.773372914714125,5.012645161147046,681766691.405465,23.187907746004612,22.081062438167933,1.106845307836683,available
LME_013,Humboldt Current,LME,2019,SPPR_1995_TEmean,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,147011854.02134126,140046014.4356039,6965839.585737367,4.738284291500845,4.973964888476285,681766691.405465,21.563367039577084,20.541633406422132,1.0217336331549518,available
LME_013,Humboldt Current,LME,2019,Ulanowicz_globalTEmean,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,377690035.07425654,360564001.90427846,17126033.169978086,4.534414885108363,4.749790073198893,681766691.405465,55.398722148723174,52.88671424545166,2.5120079032715275,available
LME_013,Humboldt Current,LME,2019,Ulanowicz_TE,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,253972832.09267443,249002706.73384744,4970125.358827012,1.9569515833147924,1.9960125831641864,681766691.405465,37.252161963076894,36.523155189721464,0.7290067733554241,available
LME_013,Humboldt Current,LME,2019,EwE_TE_noEE,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,258022793.97577268,252720157.7029562,5302636.2728165,2.055103811221576,2.0982245029496798,681766691.405465,37.84620123401123,37.068422510048485,0.777778723962752,available
LME_013,Humboldt Current,LME,2019,EwE_TE_EE,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,135582899.6934344,131951655.01001413,3631244.683420264,2.6782468081379345,2.7519508437728044,681766691.405465,19.88699380633126,19.354371029478607,0.5326227768526558,available
LME_013,Humboldt Current,LME,2019,SPPR_2015,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,403331960.63826454,391695155.8775223,11636804.760742242,2.8851680244549027,2.97088299054199,681766691.405465,59.159821933628635,57.45296166787512,1.7068602657535115,available
LME_013,Humboldt Current,LME,2019,new_TE_noEEfix,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,403331960.637238,391695155.8764958,11636804.760742242,2.8851680244622457,2.9708829905497756,681766691.405465,59.159821933478064,57.45296166772455,1.7068602657535115,available
LME_013,Humboldt Current,LME,2019,sym_TE_asPP,13_2_Northern_Humboldt_Current_(1995-1998),True,7390380.680601613,7166264.971576691,224115.70902492182,3.0325326760661224,98.5389349341881,98.0172245717995,403331960.637238,391695155.8764958,11636804.760742242,2.8851680244622457,2.9708829905497756,681766691.405465,59.159821933478064,57.45296166772455,1.7068602657535115,available
