commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,70.0,4.5,3162.2776601683795,221359.43621178655
Crustaceans,38.244854757300004,2.9073937051381535,80.79671525546404,3090.0586398121477
Flatfishes,164.7878279586,3.551154895299147,355.75818051715027,58624.61784592472
Herring-likes,32.1658234322,3.3541241501131354,226.0081758867061,7269.73907980539
Other fishes & inverts,14079.809008529699,3.283796492720531,192.2190793020899,2706407.92436885
Perch-likes,5903.4041785493,3.577115006838783,377.6721902022821,2229551.585762018
Sharks & rays,396.4425438478,3.682348836355115,481.2257259768299,190778.35097125877
Tuna & billfishes,2409.3382904826003,4.42795402222293,2678.884702325946,6454339.489101985
