commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,366765.64756317995,4.127527269795051,1341.3041546220297,491944286.84913236
Crustaceans,111.63080107409999,2.7646484749593223,58.163224455978344,6492.807339073546
Flatfishes,3088.9584391884996,4.059680524327518,1147.3093273983566,3543990.8292268347
Herring-likes,97850.11044760559,3.3799374696161055,239.8487556249567,23469227.228622776
Molluscs,5554.1009274917,2.0023850219873687,10.05506823189301,55846.86379274929
Other fishes & inverts,26988.684557198296,3.3975901420975263,249.79868171189685,6741737.823526363
Perch-likes,51928.590562487094,3.639241140981387,435.75375776742356,22628078.473169718
"Salmon, smelts, etc",18787.2447141812,3.349984490600484,223.86411914310392,4205789.98906611
Scorpionfishes,1963.8113129739,3.7645933194303547,581.5583817813311,1142070.9292969725
Sharks & rays,287.21538161899997,3.914567678484992,821.4245499424019,235925.76558292226
