year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,42,255.3374704191,255.3374704191,0.0,True
1951,47,216.12101467079998,216.12101467079998,0.0,True
1952,33,189.2093639956,189.2093639956,0.0,True
1953,33,115.8785317845,115.8785317845,0.0,True
1954,34,115.55181350570001,115.5518135057,-1.4210854715202004e-14,True
1955,34,161.15359601970002,161.1535960197,-2.842170943040401e-14,True
1956,33,164.26756875729998,164.2675687573,2.842170943040401e-14,True
1957,34,137.0317310779,137.0317310779,0.0,True
1958,34,118.7164982184,118.7164982184,0.0,True
1959,37,144.2965668221,144.2965668221,0.0,True
1960,34,138.2623639411,138.26236394109998,-2.842170943040401e-14,True
1961,44,131.1934983706,131.1934983706,0.0,True
1962,45,138.0779307483,138.0779307483,0.0,True
1963,71,529.4773987998,529.4773987998,0.0,True
1964,77,581.9153706564,581.9153706564,0.0,True
1965,73,801.3311340744999,801.3311340744999,0.0,True
1966,84,1028.7851901894,1028.7851901894,0.0,True
1967,97,632.985507752,632.985507752,0.0,True
1968,79,483.6690456616,483.66904566159997,-5.684341886080802e-14,True
1969,63,552.2617490232,552.2617490232001,1.1368683772161603e-13,True
1970,67,377.28477457319997,377.28477457319997,0.0,True
1971,82,380.930712942,380.930712942,0.0,True
1972,84,999.647469466,999.647469466,0.0,True
1973,85,298.6314803023,298.6314803023,0.0,True
1974,99,416.8595411065,416.8595411065,0.0,True
1975,91,941.1787555804999,941.1787555804999,0.0,True
1976,105,539.2048520896,539.2048520896,0.0,True
1977,39,142.6832866368,142.6832866368,0.0,True
1978,33,95.23901177559999,95.2390117756,1.4210854715202004e-14,True
1979,38,78.8092435642,78.8092435642,0.0,True
1980,35,154.1755660559,154.1755660559,0.0,True
1981,36,158.5359505025,158.5359505025,0.0,True
1982,42,135.2677626343,135.2677626343,0.0,True
1983,42,207.5657886331,207.5657886331,0.0,True
1984,42,221.9616672453,221.9616672453,0.0,True
1985,44,171.8735962634,171.8735962634,0.0,True
1986,41,152.36890431519998,152.36890431519998,0.0,True
1987,42,443.0816429811,443.0816429811,0.0,True
1988,43,240.7750225939,240.7750225939,0.0,True
1989,43,538.512651566,538.512651566,0.0,True
1990,41,310.5904548813,310.5904548813,0.0,True
1991,44,342.1577171778,342.1577171778,0.0,True
1992,46,457.3520391834,457.3520391834,0.0,True
1993,41,161.5687047517,161.5687047517,0.0,True
1994,42,344.27634894970004,344.27634894970004,0.0,True
1995,41,236.1351899209,236.1351899209,0.0,True
1996,41,414.6804261504,414.6804261504,0.0,True
1997,45,713.610820874,713.610820874,0.0,True
1998,42,678.0603002841,678.0603002841,0.0,True
1999,41,606.9482345636,606.9482345636,0.0,True
2000,57,624.2440056273999,624.2440056273999,0.0,True
2001,57,581.4658005536,581.4658005535999,-1.1368683772161603e-13,True
2002,57,593.7090821075,593.7090821075,0.0,True
2003,57,696.1764537260001,696.176453726,-1.1368683772161603e-13,True
2004,57,538.8193135998,538.8193135998,0.0,True
2005,39,592.4670154391,592.4670154391,0.0,True
2006,37,515.332044098,515.332044098,0.0,True
2007,39,611.5808313834,611.5808313834,0.0,True
2008,39,592.5022878518,592.5022878518,0.0,True
2009,39,680.3578611182,680.3578611182,0.0,True
2010,39,526.9217005501,526.9217005501,0.0,True
2011,45,525.1541874613999,525.1541874613999,0.0,True
2012,45,440.56119654459997,440.5611965446,5.684341886080802e-14,True
2013,42,390.067383929,390.067383929,0.0,True
2014,42,386.6144395751,386.6144395751,0.0,True
2015,46,288.8729656634,288.8729656634,0.0,True
2016,46,287.4792071169,287.4792071169,0.0,True
2017,46,290.3002203124,290.3002203124,0.0,True
2018,52,276.5490983793,276.5490983793,0.0,True
2019,56,244.3796527111,244.3796527111,0.0,True
