commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,2,2,141852.1463813778,141852.1463813778,0.0,1.0,138.071418105118,19585727.012131616,3.1400967927762617,138.06919501046835,19585411.661383953,315.3507476635277,1.0000161013081121,1.610130811216476e-05
Cod-likes,6,6,596826.0046843071,596826.0046843071,0.0,1.0,533.54258415695,318432088.8313332,3.6577169765155637,454.6916475519024,271371799.37172705,47060289.45960617,1.17341628558516,0.17341628558516003
Crustaceans,34,34,111252.0260931627,111252.0260931627,0.0,1.0,217.18841153636336,24162650.827376056,3.0235508786399423,105.57251767074217,11745156.490626289,12417494.336749768,2.057243838910113,1.057243838910113
Flatfishes,8,8,50128.853597192705,50128.853597192705,0.0,1.0,485.8552938433996,24355368.89449682,3.560568869554084,363.55395163684733,18224542.816284396,6130826.078212425,1.336404931526418,0.336404931526418
Herring-likes,8,8,353856.04911560967,353856.04911560967,0.0,1.0,99.03980111334822,35045832.72716516,2.961990838367617,91.62011622531814,32420332.34700404,2625500.3801611215,1.0809831420621987,0.08098314206219862
Molluscs,21,21,113565.3152188947,113565.3152188947,0.0,1.0,13.009796924976168,1477461.6887187255,2.0455215049885984,11.105075230467166,1261151.3690775435,216310.31964118197,1.1715181261702154,0.1715181261702154
Other fishes & inverts,42,42,550734.5641887597,550734.5641887597,0.0,1.0,612.8421976408198,337513380.6341986,3.553575149774097,357.7462991931697,197023252.17629194,140490128.45790666,1.7130636963204693,0.7130636963204692
Perch-likes,56,56,421263.907784064,421263.907784064,0.0,1.0,659.9318271440369,278005460.3737744,3.5806151560915995,380.72829687700425,160387090.14637807,117618370.22739634,1.7333406330899286,0.7333406330899286
"Salmon, smelts, etc",13,13,167095.21109560822,167095.21109560822,0.0,1.0,1619.092524388859,270542607.1460776,4.072173073766581,1180.7911073181833,197304539.33714882,73238067.80892876,1.3711930199628173,0.37119301996281734
Scorpionfishes,11,11,30500.490921092605,30500.490921092605,0.0,1.0,371.0433210694315,11317003.445610244,3.5539653111846787,358.067835668333,10921244.77093727,395758.6746729743,1.0362375061610316,0.03623750616103168
Sharks & rays,6,6,3761.2066651512,3761.2066651512,0.0,1.0,749.299126392002,2818268.868377569,3.847899954225771,704.5307518143121,2649885.7595279766,168383.1088495925,1.0635435351294489,0.06354353512944895
Tuna & billfishes,11,11,46106.0609505495,46106.0609505495,0.0,1.0,2514.6308584762332,115939723.62903783,4.390377176867989,2456.8417117984914,113275293.71003361,2664429.919004217,1.0235217215664407,0.02352172156644083
