commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,900467.2139058373,3.6380659152630677,434.5761771839295,391321599.4986625
Crustaceans,7646.588618008599,3.2245729225225066,167.71539235478835,1282450.610244971
Flatfishes,118815.8974802802,3.647464209051954,444.0830622158865,52764127.59297167
Herring-likes,9651.0177963192,3.16,144.5439770745928,1394996.4950976495
Molluscs,73.53917867999999,2.0199522817432563,10.470135007592502,769.965129127068
Other fishes & inverts,13078.7075267686,3.2919966388682522,195.8829513494021,2561895.830179073
Perch-likes,0.0003054059,4.26,1819.7008586099826,0.5557473784545545
"Salmon, smelts, etc",151074.52322968937,4.036356428059977,1087.3176255627384,164265991.8811286
Scorpionfishes,86330.68726332128,3.52290856212849,333.3562193956472,28778871.52392873
Sharks & rays,13861.596146735,3.8207569299797064,661.845971841688,9174241.573012823
