commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,216873.10867444647,3.140253711823549,138.11909111099976,29954316.656531624
Cod-likes,8694.1696922511,4.158641825165637,1440.9264888773512,12527659.408359258
Crustaceans,133314.9246035074,2.9376076730289915,86.6179045317135,11547459.411959186
Flatfishes,33761.2940928235,3.498221755022576,314.93559956817035,10632633.397320695
Herring-likes,47265.973078989,3.109111471145805,128.56165991236077,6076591.956407784
Molluscs,75338.6213811257,2.0144795665147983,10.339024548945368,778927.855943159
Other fishes & inverts,532262.3346641831,3.4628785321339337,290.3210541659802,154526962.09255135
Perch-likes,620944.6986004841,3.6835115213763885,482.5157805267033,299615615.9091311
"Salmon, smelts, etc",100.0,3.3,199.52623149688787,19952.62314968879
Scorpionfishes,15686.356244184199,3.718155621620105,522.583413824445,8197429.596552177
Sharks & rays,197.0068597637,4.050007872042485,1122.0387922462844,221049.33899349507
Tuna & billfishes,7700.4268931418,4.411897452857829,2581.6505302469363,19879811.171807297
