29,Pelagic fish (≤ 30 cm),,0.019,,,,,,,,0.15600,,,0.407,,0.389,0.020,,,0.0500,,0.1170,,0.0090,0.0070,0.0859,0.0030,,0.0300,0.3750,,0.4320,,,0.4040,0.0660
30,Juvenile large pelagic fish,,0.001,,,,,,,,0.00010,,,,,,,,,,,,,,,,,,,,,0.0250,0.1148,0.0010,0.0450,0.0009
31,Pelagic fish (> 30 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0050,,0.0010,0.0110,
32,Demersal sharks and rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100,0.0001,,,,
33,Pelagic sharks and rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0090,,,,
34,Seabirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,
35,Pinnipeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,
36,Other mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,
37,Marine turtles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,
38,Detritus,0.300,,1.000,0.200,0.594,0.609,0.400,0.534,0.330,,,,,,,,,,,,,0.1010,0.0420,,0.0290,,,0.0730,0.0020,,,0.0030,,,
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,1,1,1,0.99947,1,1,1,1,1,1,1,0.999,0.999,0.999,1.0003,0.9992,0.9999,0.9998,1.0002,1,1,1.0006,0.9997,0.9991,1.0011,1.0002,1,1.0003,0.9996
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
