Time,Total N&P monthly,PPanomaly
1995.11,0.668,1.074942
1995.12,0.849,1.074942
1996.1,1.398,0.8069775
1996.2,1.206,0.8069775
1996.3,1.381,0.8069775
1996.4,1.958,0.8069775
1996.5,2.236,0.8069775
1996.6,1.109,0.8069775
1996.7,0.906,0.8069775
1996.8,0.617,0.8069775
1996.9,0.753,0.8069775
1996.10,1.177,0.8069775
1996.11,1.868,0.8069775
1996.12,1.438,0.8069775
1997.1,1.845,0.8740867
1997.2,2.853,0.8740867
1997.3,2.643,0.8740867
1997.4,1.777,0.8740867
1997.5,1.726,0.8740867
1997.6,1.228,0.8740867
1997.7,0.668,0.8740867
1997.8,0.527,0.8740867
1997.9,0.504,0.8740867
1997.10,0.583,0.8740867
1997.11,0.73,0.8740867
1997.12,1.721,0.8740867
1998.1,1.664,0.993287
1998.2,1.964,0.993287
1998.3,2.123,0.993287
1998.4,2.287,0.993287
1998.5,1.387,0.993287
1998.6,1.54,0.993287
1998.7,0.894,0.993287
1998.8,0.516,0.993287
1998.9,0.713,0.993287
1998.10,0.866,0.993287
1998.11,0.923,0.993287
1998.12,1.228,0.993287
1999.1,2.428,1.03525
1999.2,1.794,1.03525
1999.3,1.562,1.03525
1999.4,1.873,1.03525
1999.5,1.307,1.03525
1999.6,1.177,1.03525
1999.7,0.651,1.03525
1999.8,0.405,1.03525
1999.9,0.385,1.03525
1999.10,0.365,1.03525
1999.11,0.548,1.03525
1999.12,0.517,1.03525
2000.1,0.502,1.321969
2000.2,1.143,1.321969
2000.3,1.347,1.321969
2000.4,0.9,1.321969
2000.5,0.962,1.321969
2000.6,1.138,1.321969
2000.7,0.589,1.321969
2000.8,0.415,1.321969
2000.9,0.429,1.321969
2000.10,0.551,1.321969
2000.11,0.741,1.321969
2000.12,0.843,1.321969
2001.1,1.392,0.9239707
2001.2,2.247,0.9239707
2001.3,1.574,0.9239707
2001.4,1.183,0.9239707
2001.5,1.545,0.9239707
2001.6,0.889,0.9239707
2001.7,0.634,0.9239707
2001.8,0.507,0.9239707
2001.9,0.623,0.9239707
2001.10,0.606,0.9239707
2001.11,1.692,0.9239707
2001.12,1.245,0.9239707
2002.1,1.675,0.9827618
2002.2,1.285,0.9827618
2002.3,2.253,0.9827618
2002.4,2.015,0.9827618
2002.5,1.89,0.9827618
2002.6,0.77,0.9827618
2002.7,0.543,0.9827618
2002.8,0.508,0.9827618
2002.9,0.736,0.9827618
2002.10,0.815,0.9827618
2002.11,0.934,0.9827618
2002.12,1.228,0.9827618
2003.1,0.945,1.091569
2003.2,1.941,1.091569
2003.3,1.143,1.091569
2003.4,1.636,1.091569
2003.5,1.658,1.091569
2003.6,1.013,1.091569
2003.7,0.804,1.091569
2003.8,0.708,1.091569
2003.9,0.583,1.091569
2003.10,0.674,1.091569
2003.11,1.16,1.091569
2003.12,1.324,1.091569
2004.1,1.545,0.8516864
2004.2,1.596,0.8516864
2004.3,1.274,0.8516864
2004.4,1.46,0.8516864
2004.5,1.783,0.8516864
2004.6,1.455,0.8516864
2004.7,0.73,0.8516864
2004.8,0.77,0.8516864
2004.9,0.781,0.8516864
2004.10,1.206,0.8516864
2004.11,2.043,0.8516864
2004.12,2.151,0.8516864
2005.1,2.145,1.203667
2005.2,1.466,1.203667
2005.3,1.517,1.203667
2005.4,0.991,1.203667
2005.5,0.832,1.203667
2005.6,0.668,1.203667
2005.7,0.43,1.203667
2005.8,0.546,1.203667
2005.9,0.45,1.203667
2005.10,0.432,1.203667
2005.11,0.51,1.203667
2005.12,0.674,1.203667
2006.1,1.121,1.420321
2006.2,1.013,1.420321
2006.3,0.979,1.420321
2006.4,1.104,1.420321
2006.5,0.691,1.420321
2006.6,0.526,1.420321
2006.7,0.406,1.420321
2006.8,0.426,1.420321
2006.9,0.702,1.420321
2006.10,0.957,1.420321
2006.11,0.923,1.420321
2006.12,1.726,1.420321
2007.1,1.33,0.9269719
2007.2,1.285,0.9269719
2007.3,1.455,0.9269719
2007.4,1.438,0.9269719
2007.5,0.917,0.9269719
2007.6,1.104,0.9269719
2007.7,0.685,0.9269719
2007.8,0.668,0.9269719
2007.9,0.458,0.9269719
2007.10,0.566,0.9269719
2007.11,0.86,0.9269719
2007.12,1.098,0.9269719
2008.1,1.392,0.8968059
2008.2,2.032,0.8968059
2008.3,3.124,0.8968059
2008.4,2.513,0.8968059
2008.5,1.845,0.8968059
2008.6,1.607,0.8968059
2008.7,0.957,0.8968059
2008.8,1.047,0.8968059
2008.9,0.77,0.8968059
2008.10,0.522,0.8968059
2008.11,0.758,0.8968059
2008.12,1.353,0.8968059
2009.1,1.092,1.001742
2009.2,1.319,1.001742
2009.3,1.749,1.001742
2009.4,2.377,1.001742
2009.5,2.089,1.001742
2009.6,1.07,1.001742
2009.7,0.911,1.001742
2009.8,0.747,1.001742
2009.9,1.449,1.001742
2009.10,2.009,1.001742
2009.11,1.596,1.001742
2009.12,1.63,1.001742
2010.1,2.173,1.049031
2010.2,1.574,1.049031
2010.3,1.783,1.049031
2010.4,1.772,1.049031
2010.5,1.579,1.049031
2010.6,1.37,1.049031
2010.7,1.064,1.049031
2010.8,0.753,1.049031
2010.9,0.713,1.049031
2010.10,0.572,1.049031
2010.11,0.781,1.049031
2010.12,0.685,1.049031
2011.1,0.702,1.076282
2011.2,1.862,1.076282
2011.3,1.936,1.076282
2011.4,3.209,1.076282
2011.5,2.383,1.076282
2011.6,1.398,1.076282
2011.7,0.9,1.076282
2011.8,0.696,1.076282
2011.9,0.563,1.076282
2011.10,0.679,1.076282
2011.11,1.76,1.076282
2011.12,1.432,1.076282
2012.1,1.63,1.307403
2012.2,1.415,1.307403
2012.3,1.302,1.307403
2012.4,0.917,1.307403
2012.5,0.525,1.307403
2012.6,0.404,1.307403
2012.7,0.344,1.307403
2012.8,0.359,1.307403
2012.9,0.387,1.307403
2012.10,0.416,1.307403
2012.11,0.51,1.307403
2012.12,1.302,1.307403
2013.1,1.517,1.076939
2013.2,1.307,1.076939
2013.3,1.506,1.076939
2013.4,2.157,1.076939
2013.5,1.857,1.076939
2013.6,1.449,1.076939
2013.7,0.866,1.076939
2013.8,0.524,1.076939
2013.9,0.471,1.076939
2013.10,0.564,1.076939
2013.11,0.962,1.076939
2013.12,1.455,1.076939
2014.1,1.075,1.083355
2014.2,1.307,1.083355
2014.3,1.59,1.083355
2014.4,1.438,1.083355
2014.5,1.336,1.083355
2014.6,1.143,1.083355
2014.7,0.674,1.083355
2014.8,0.741,1.083355
2014.9,0.849,1.083355
2014.10,0.657,1.083355
2014.11,0.826,1.083355
2014.12,1.036,1.083355
2015.1,0.747,1.010981
2015.2,1.76,1.010981
2015.3,2.145,1.010981
2015.4,1.789,1.010981
2015.5,1.885,1.010981
2015.6,2.36,1.010981
2015.7,1.506,1.010981
2015.8,0.583,1.010981
2015.9,0.515,1.010981
2015.10,0.809,1.010981
2015.11,1.726,1.010981
2015.12,2.79,1.010981
2016.1,1.772,1.542235
2016.2,2.185,1.542235
2016.3,1.817,1.542235
2016.4,1.698,1.542235
2016.5,1.33,1.542235
2016.6,0.968,1.542235
2016.7,0.991,1.542235
2016.8,0.872,1.542235
2016.9,0.184,1.542235
2016.10,0.426,1.542235
2016.11,1.552,1.542235
2016.12,1.817,1.542235
