taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Marine fishes not identified,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.385470 | 0.123077 | 0.491453,model_catch,low,36494986.294,140.953883,177.371403,91.310768,295.208302,4269.898312,4574.511297,1801.225895,6846.436700,6846.436700,6846.436700,67.536573,32.007796,6846.436700,6846.436700,67.536573,67.536573,32.007796,32.007796,70.113483,7370.741192
Trichiurus lepturus,Juvenile Hairtail (trichiurids) | Adult hairtail (trichiurids),0.200000 | 0.800000,model_catch,medium,20943613.088,140.953883,759.294850,329.344068,902.043890,15387.334214,16058.002117,5258.842171,26383.951313,26383.951313,26383.951313,166.364336,71.691328,26383.951313,26383.951313,166.364336,166.364336,71.691328,71.691328,176.786743,28905.373115
Scyphozoa,Jellyfish,1.000000,single,high,19842389.932,140.953883,103.790936,57.845447,56.932587,468.918008,473.974620,450.275889,711.029640,711.029640,711.029640,34.656914,19.970973,711.029640,711.029640,34.656914,34.656914,19.970973,19.970973,36.368369,756.853632
Synodontidae,Lizard fish (synodontids),1.000000,single,high,13852255.834,140.953883,667.104795,294.137165,674.482249,9604.557184,10115.319409,2437.791978,16798.641648,16798.641648,16798.641648,88.036589,38.159556,16798.641648,16798.641648,88.036589,88.036589,38.159556,38.159556,92.540170,18119.633615
Alepes,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.201681 | 0.798319,model_catch,medium,13356624.376,140.953883,200.641254,102.228748,215.010584,6244.222521,6325.914048,1872.204427,7112.982475,7112.982475,7112.982475,87.969483,46.580547,7112.982475,7112.982475,87.969483,87.969483,46.580547,46.580547,93.060855,7459.131892
Carangidae,Pelagic fish (≤ 30 cm) | Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.754132 | 0.049587 | 0.196281,model_catch,low,11518481.788,140.953883,94.940534,52.342971,87.541141,1833.804999,1853.890312,743.939069,2045.820774,2045.820774,2045.820774,37.402647,21.641048,2045.820774,2045.820774,37.402647,37.402647,21.641048,21.641048,39.426311,2139.974971
Mollusca,Non-ceph molluscs,1.000000,single,high,10987962.459,140.953883,14.712171,10.486582,17.347998,87.523778,87.523778,33.521607,92.593660,92.593660,92.593660,4.448657,3.058348,92.593660,92.593660,4.448657,4.448657,3.058348,3.058348,4.556294,96.447226
Acetes japonicus,Zooplankton,1.000000,single,high,9781314.523,140.953883,10.000000,7.482941,7.482941,115.384615,115.384615,6.000000,114.728394,114.728394,114.728394,6.059840,4.848511,114.728394,114.728394,6.059840,6.059840,4.848511,4.848511,6.224783,116.846993
Perciformes,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.385470 | 0.123077 | 0.491453,model_catch,low,9772010.148,140.953883,177.371403,91.310768,295.208302,4269.898312,4574.511297,1801.225895,6846.436700,6846.436700,6846.436700,67.536573,32.007796,6846.436700,6846.436700,67.536573,67.536573,32.007796,32.007796,70.113483,7370.741192
Nemipterus,Threadfin bream (nemipterids),1.000000,single,high,9101609.18,140.953883,158.552335,83.774152,197.082776,3502.459341,3796.144916,1780.391965,4710.704014,4710.704014,4710.704014,105.183965,52.828865,4710.704014,4710.704014,105.183965,105.183965,52.828865,52.828865,109.611209,5115.038689
Miscellaneous marine crustaceans,Zooplankton | Benthic crustaceans | Shrimps | Crabs,0.256968 | 0.051821 | 0.485720 | 0.205490,catch_composition,low,8992342.448,140.953883,20.231565,13.734934,25.090250,130.411041,130.411041,95.393377,134.682411,134.682411,134.682411,10.649241,7.289446,134.682411,134.682411,10.649241,10.649241,7.289446,7.289446,10.971178,140.501610
Leiognathidae,Benthopelagic fish,1.000000,single,low,8732446.541,140.953883,57.638856,34.593347,74.650282,512.103289,553.467817,525.794426,602.712303,602.712303,602.712303,31.190871,18.283791,602.712303,602.712303,31.190871,31.190871,18.283791,18.283791,32.089433,622.065443
Engraulis japonicus,Pelagic fish (≤ 30 cm),1.000000,single,medium,8554508.117,140.953883,60.479203,36.078840,45.982610,395.888053,395.888053,376.093650,393.787233,393.787233,393.787233,20.916473,13.510088,393.787233,393.787233,20.916473,20.916473,13.510088,13.510088,21.939981,405.784084
Scomberomorus,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.201681 | 0.798319,model_catch,medium,7754915.997,140.953883,200.641254,102.228748,215.010584,6244.222521,6325.914048,1872.204427,7112.982475,7112.982475,7112.982475,87.969483,46.580547,7112.982475,7112.982475,87.969483,87.969483,46.580547,46.580547,93.060855,7459.131892
Scombridae,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.201681 | 0.798319,model_catch,medium,7594397.678,140.953883,200.641254,102.228748,215.010584,6244.222521,6325.914048,1872.204427,7112.982475,7112.982475,7112.982475,87.969483,46.580547,7112.982475,7112.982475,87.969483,87.969483,46.580547,46.580547,93.060855,7459.131892
Sparidae,Benthopelagic fish,1.000000,single,low,7364108.588,140.953883,57.638856,34.593347,74.650282,512.103289,553.467817,525.794426,602.712303,602.712303,602.712303,31.190871,18.283791,602.712303,602.712303,31.190871,31.190871,18.283791,18.283791,32.089433,622.065443
Sciaenidae,Croakers (≤ 30 cm) | Juvenile large croakers | Croakers (> 30 cm),0.225352 | 0.154930 | 0.619718,model_catch,low,6844598.676,140.953883,251.096546,124.902538,340.610317,2592.828475,2668.302146,1626.885542,3240.975912,3240.975912,3240.975912,87.234846,41.935227,3240.975912,3240.975912,87.234846,87.234846,41.935227,41.935227,91.178747,3446.878316
Dendrobranchiata,Shrimps,1.000000,single,high,5867364.45,140.953883,20.606299,14.077679,22.715542,131.710720,131.710720,125.125184,130.894857,130.894857,130.894857,12.255972,8.448598,130.894857,130.894857,12.255972,12.255972,8.448598,8.448598,12.680707,136.520004
Sardinella,Pelagic fish (≤ 30 cm),1.000000,single,medium,5559746.225,140.953883,60.479203,36.078840,45.982610,395.888053,395.888053,376.093650,393.787233,393.787233,393.787233,20.916473,13.510088,393.787233,393.787233,20.916473,20.916473,13.510088,13.510088,21.939981,405.784084
