taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Marine fishes not identified,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.337041 | 0.596607 | 0.066352,model_catch,low,36494986.294,63.434269,113.072509,31.432521,52.084758,179.338652,182.059927,142.244102,228.825175,228.825175,228.825175,41.043362,22.377762,228.825175,228.825175,41.043362,41.043362,22.377762,22.377762,41.765729,245.604732
Trichiurus lepturus,Juvenile Hairtail (trichiurids) | Adult hairtail (trichiurids),0.795455 | 0.204545,model_catch,medium,20943613.088,63.434269,710.421967,121.454959,250.238218,1101.210241,1141.758761,803.627797,1727.642477,1727.642477,1727.642477,160.440266,68.587954,1727.642477,1727.642477,160.440266,160.440266,68.587954,68.587954,165.147134,1898.579762
Scyphozoa,Jellyfish,1.000000,single,high,19842389.932,63.434269,103.790936,29.773963,28.532692,147.872082,149.515381,77.747998,388.671891,388.671891,388.671891,34.202274,19.734493,388.671891,388.671891,34.202274,34.202274,19.734493,19.734493,35.387160,427.727713
Synodontidae,Lizard fish (synodontids),1.000000,single,high,13852255.834,63.434269,663.719518,115.585799,193.982046,601.546845,615.805491,405.200013,910.958178,910.958178,910.958178,95.587938,42.724455,910.958178,910.958178,95.587938,95.587938,42.724455,42.724455,100.049087,994.694622
Alepes,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,13356624.376,63.434269,92.005775,26.792459,45.737180,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776
Carangidae,Pelagic fish (≤ 30 cm) | Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.740799 | 0.233265 | 0.025936,model_catch,low,11518481.788,63.434269,68.650915,21.806578,29.638539,119.278344,121.222085,83.959718,127.526494,127.526494,127.526494,23.144050,14.203542,127.526494,127.526494,23.144050,23.144050,14.203542,14.203542,23.447267,132.951895
Mollusca,Non-ceph molluscs,1.000000,single,high,10987962.459,63.434269,14.712171,7.138150,9.865726,14.797601,14.797601,14.072519,15.301656,15.301656,15.301656,6.337314,4.346392,15.301656,15.301656,6.337314,6.337314,4.346392,4.346392,6.495924,15.811216
Acetes japonicus,Zooplankton,1.000000,single,high,9781314.523,63.434269,10.000000,5.382846,5.382846,19.607843,19.607843,6.000000,19.579740,19.579740,19.579740,6.014009,4.812426,19.579740,19.579740,6.014009,6.014009,4.812426,4.812426,6.106719,20.269002
Perciformes,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.337041 | 0.596607 | 0.066352,model_catch,low,9772010.148,63.434269,113.072509,31.432521,52.084758,179.338652,182.059927,142.244102,228.825175,228.825175,228.825175,41.043362,22.377762,228.825175,228.825175,41.043362,41.043362,22.377762,22.377762,41.765729,245.604732
Nemipterus,Threadfin bream (nemipterids),1.000000,single,high,9101609.18,63.434269,158.440780,40.562906,69.143093,197.386659,204.295758,173.038507,255.525547,255.525547,255.525547,52.390697,26.389157,255.525547,255.525547,52.390697,52.390697,26.389157,26.389157,54.745187,271.312978
Miscellaneous marine crustaceans,Zooplankton | Benthic crustaceans | Shrimps | Crabs,0.256968 | 0.051821 | 0.485720 | 0.205490,catch_composition,low,8992342.448,63.434269,20.231565,8.871067,13.136047,23.761604,23.761604,18.870993,24.598914,24.598914,24.598914,8.943884,6.093570,24.598914,24.598914,8.943884,8.943884,6.093570,6.093570,9.137976,25.348244
Leiognathidae,Benthopelagic fish,1.000000,single,low,8732446.541,63.434269,57.638856,19.368856,32.694155,196.052075,216.299620,103.607518,258.058840,258.058840,258.058840,30.797768,18.057770,258.058840,258.058840,30.797768,30.797768,18.057770,18.057770,31.541928,269.911942
Engraulis japonicus,Pelagic fish (≤ 30 cm),1.000000,single,medium,8554508.117,63.434269,60.479203,20.062051,24.005730,82.963782,82.963782,61.393198,82.861621,82.861621,82.861621,19.548829,12.624641,82.861621,82.861621,19.548829,19.548829,12.624641,12.624641,19.621964,85.282461
Scomberomorus,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,7754915.997,63.434269,92.005775,26.792459,45.737180,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776
Scombridae,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,7594397.678,63.434269,92.005775,26.792459,45.737180,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776
Sparidae,Benthopelagic fish,1.000000,single,low,7364108.588,63.434269,57.638856,19.368856,32.694155,196.052075,216.299620,103.607518,258.058840,258.058840,258.058840,30.797768,18.057770,258.058840,258.058840,30.797768,30.797768,18.057770,18.057770,31.541928,269.911942
Sciaenidae,Croakers (≤ 30 cm) | Juvenile large croakers | Croakers (> 30 cm),0.307625 | 0.622261 | 0.070114,model_catch,low,6844598.676,63.434269,186.740822,45.624093,85.403417,371.346833,379.867903,241.213100,488.564677,488.564677,488.564677,58.219057,28.971617,488.564677,488.564677,58.219057,58.219057,28.971617,28.971617,60.418141,524.881428
Dendrobranchiata,Shrimps,1.000000,single,high,5867364.45,63.434269,20.606299,9.131660,12.790792,20.320611,20.320611,19.304581,20.277168,20.277168,20.277168,8.595684,5.924649,20.277168,20.277168,8.595684,8.595684,5.924649,5.924649,8.765007,20.714839
Sardinella,Pelagic fish (≤ 30 cm),1.000000,single,medium,5559746.225,63.434269,60.479203,20.062051,24.005730,82.963782,82.963782,61.393198,82.861621,82.861621,82.861621,19.548829,12.624641,82.861621,82.861621,19.548829,19.548829,12.624641,12.624641,19.621964,85.282461
Marine finfishes not identified,Demesral fish (≤ 30 cm) | Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.337041 | 0.596607 | 0.066352,model_catch,low,5351658.523,63.434269,113.072509,31.432521,52.084758,179.338652,182.059927,142.244102,228.825175,228.825175,228.825175,41.043362,22.377762,228.825175,228.825175,41.043362,41.043362,22.377762,22.377762,41.765729,245.604732
Priacanthus,Bigeyes (priacanthids),1.000000,single,high,4439431.951,63.434269,283.326243,62.037027,133.996233,410.471028,421.548741,231.851807,559.388147,559.388147,559.388147,68.757015,31.580155,559.388147,559.388147,68.757015,68.757015,31.580155,31.580155,70.665687,610.054014
Penaeidae,Shrimps,1.000000,single,high,4293768.542,63.434269,20.606299,9.131660,12.790792,20.320611,20.320611,19.304581,20.277168,20.277168,20.277168,8.595684,5.924649,20.277168,20.277168,8.595684,8.595684,5.924649,5.924649,8.765007,20.714839
Loliginidae,Cephalopods,1.000000,single,high,4279272.653,63.434269,165.179677,41.816994,65.692289,290.545782,293.904290,115.504386,531.624857,531.624857,531.624857,31.248602,16.100034,531.624857,531.624857,31.248602,31.248602,16.100034,16.100034,32.328440,587.981629
Scomber japonicus,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,4253440.103,63.434269,92.005775,26.792459,45.737180,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776
Portunus trituberculatus,Crabs,1.000000,single,high,3963780.828,63.434269,33.254785,12.956675,23.996119,36.393323,36.393323,34.573657,40.538687,40.538687,40.538687,13.471278,8.116499,40.538687,40.538687,13.471278,13.471278,8.116499,8.116499,13.844254,42.087223
Monacanthidae,Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.899915 | 0.100085,model_catch,medium,3962408.345,63.434269,122.316169,33.235978,55.667210,204.767879,206.522246,149.869278,252.256118,252.256118,252.256118,40.505014,22.148998,252.256118,252.256118,40.505014,40.505014,22.148998,22.148998,41.258511,269.055759
Trachysalambria curvirostris,Shrimps,1.000000,single,high,3907800.117,63.434269,20.606299,9.131660,12.790792,20.320611,20.320611,19.304581,20.277168,20.277168,20.277168,8.595684,5.924649,20.277168,20.277168,8.595684,8.595684,5.924649,5.924649,8.765007,20.714839
Larimichthys crocea,Juvenile large croakers | Croakers (> 30 cm),0.898734 | 0.101266,model_catch,medium,3769190.843,63.434269,180.267223,44.424915,85.824075,445.833410,453.703535,257.431403,590.130119,590.130119,590.130119,62.839178,31.157390,590.130119,590.130119,62.839178,62.839178,31.157390,31.157390,65.392286,635.256474
Clupeidae,Pelagic fish (≤ 30 cm) | Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.740799 | 0.233265 | 0.025936,model_catch,low,3540793.614,63.434269,68.650915,21.806578,29.638539,119.278344,121.222085,83.959718,127.526494,127.526494,127.526494,23.144050,14.203542,127.526494,127.526494,23.144050,23.144050,14.203542,14.203542,23.447267,132.951895
Muraenesox cinereus,Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.899915 | 0.100085,model_catch,medium,3307959.703,63.434269,122.316169,33.235978,55.667210,204.767879,206.522246,149.869278,252.256118,252.256118,252.256118,40.505014,22.148998,252.256118,252.256118,40.505014,40.505014,22.148998,22.148998,41.258511,269.055759
Portunus pelagicus,Crabs,1.000000,single,high,3288014.824,63.434269,33.254785,12.956675,23.996119,36.393323,36.393323,34.573657,40.538687,40.538687,40.538687,13.471278,8.116499,40.538687,40.538687,13.471278,13.471278,8.116499,8.116499,13.844254,42.087223
Engraulidae,Pelagic fish (≤ 30 cm),1.000000,single,medium,3259139.244,63.434269,60.479203,20.062051,24.005730,82.963782,82.963782,61.393198,82.861621,82.861621,82.861621,19.548829,12.624641,82.861621,82.861621,19.548829,19.548829,12.624641,12.624641,19.621964,85.282461
