taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Megalaspis cordyla,Scad,1.000000,single,high,1156975.743,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Mugilidae,Med.dem.benth.,1.000000,single,medium,1132474.41,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Thunnus tonggol,Tuna,1.000000,single,high,993202.702,92.758633,1217.891849,98.865180,153.001145,327.693492,327.693492,311.308817,675.870038,675.870038,710.633419,254.942405,107.862693,,,,,,,261.836456,788.138459
Selaroides leptolepis,Scad,1.000000,single,high,871595.4,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Dendrobranchiata,Shrimps,1.000000,single,high,859207.585,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Ariidae,Med.dem.benth.,1.000000,single,medium,856476.212,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Scomberomorus,Scomberomorus,1.000000,single,high,849251.135,92.758633,729.447588,70.975550,108.592819,234.170666,234.170666,222.462132,510.434635,510.434635,537.808771,191.217924,85.807645,,,,,,,199.364065,610.071112
Priacanthidae,Med.dem.pisc.,1.000000,single,medium,813215.918,92.758633,213.954708,32.114569,52.467555,158.091504,158.091504,155.980707,445.224589,445.224589,471.516338,104.595857,51.592439,,,,,,,108.747113,553.840978
Octopodidae,Cephalopods,1.000000,single,high,778259.58,92.758633,207.108363,31.446324,45.753688,121.772840,121.772840,118.239630,349.557692,349.557692,370.254323,98.097358,49.643681,,,,,,,102.685825,423.372501
Clupeidae,Sm. pelagics,1.000000,single,high,737748.728,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.435615,32.617468
Sergestidae,Shrimps,1.000000,single,high,684727.735,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Alepes,Scad,1.000000,single,medium,594150.578,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Selar crumenophthalmus,Scad,1.000000,single,high,581883.431,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Penaeus merguiensis,Shrimps,1.000000,single,high,556590.076,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Metapenaeus,Shrimps,1.000000,single,high,529364.969,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Apogonidae,Sm.dem.benth.,1.000000,single,medium,515698.56,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Mollusca,Molluscs,1.000000,single,high,493894.968,92.758633,15.848932,5.968659,7.276791,8.760194,8.760194,7.884174,10.549912,10.549912,10.809345,8.798415,6.022535,,,,,,,8.928714,11.192817
Trichiurus lepturus,Lg. piscivores,1.000000,single,medium,490184.483,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Euthynnus affinis,Tuna,1.000000,single,high,469544.125,92.758633,1217.891849,98.865180,153.001145,327.693492,327.693492,311.308817,675.870038,675.870038,710.633419,254.942405,107.862693,,,,,,,261.836456,788.138459
Mullidae,Med.dem.benth.,1.000000,single,medium,440058.242,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Batoidea,Rays,1.000000,single,high,438942.924,92.758633,212.350179,31.958644,47.110524,190.421399,190.421399,181.353722,590.007300,590.007300,624.455990,98.992080,50.910468,,,,,,,103.492868,736.491487
Sphyraena,Lg. piscivores,1.000000,single,high,436421.463,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Modiolus,Molluscs,1.000000,single,high,423639.282,92.758633,15.848932,5.968659,7.276791,8.760194,8.760194,7.884174,10.549912,10.549912,10.809345,8.798415,6.022535,,,,,,,8.928714,11.192817
Scombroidei,Unresolved,,,unresolved,357625.778,,,,,,,,,,,,,,,,,,,,
Lutjanidae,Grouper/snapper,1.000000,single,high,342076.305,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Saurida tumbil,Med.dem.pisc.,1.000000,single,medium,340722.781,92.758633,213.954708,32.114569,52.467555,158.091504,158.091504,155.980707,445.224589,445.224589,471.516338,104.595857,51.592439,,,,,,,108.747113,553.840978
Scolopsis,Sm.dem.benth.,1.000000,single,medium,330520.037,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Sepia,Cephalopods,1.000000,single,high,314474.61,92.758633,207.108363,31.446324,45.753688,121.772840,121.772840,118.239630,349.557692,349.557692,370.254323,98.097358,49.643681,,,,,,,102.685825,423.372501
Portunus,"Crab, lobster",1.000000,single,high,305193.205,92.758633,55.221127,13.377731,27.235027,96.283275,96.283275,82.590480,295.897518,295.897518,313.590452,47.292261,26.133043,,,,,,,48.061459,357.511777
Parastromateus niger,Med.dem.benth.,1.000000,single,medium,267982.463,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Himantura,Rays,1.000000,single,high,262477.381,92.758633,212.350179,31.958644,47.110524,190.421399,190.421399,181.353722,590.007300,590.007300,624.455990,98.992080,50.910468,,,,,,,103.492868,736.491487
Acetes,Shrimps,1.000000,single,high,255917.851,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Pennahia,Med.dem.benth.,1.000000,single,medium,238181.741,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Metapenaeus tenuipes,Shrimps,1.000000,single,high,236152.955,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Metapenaeus affinis,Shrimps,1.000000,single,high,233563.065,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Atule mate,Scad,1.000000,single,high,230384.337,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Chirocentrus dorab,Lg. piscivores,1.000000,single,medium,210170.012,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Elasmobranchii,Sharks,1.000000,single,high,205202.745,92.758633,2211.896778,145.413381,289.661473,829.165832,829.165832,789.681785,2016.586739,2016.586739,2128.697228,561.286115,207.956274,,,,,,,584.414524,2471.733238
Sillago,Med.dem.benth.,1.000000,single,medium,191559.84,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Psettodes erumei,Flatfish,1.000000,single,high,187671.039,92.758633,198.898533,30.634607,45.331490,137.630101,137.630101,132.468972,418.824939,418.824939,443.184514,74.286663,38.351856,,,,,,,77.343250,521.310720
Serranidae,Grouper/snapper,1.000000,single,high,185152.281,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Chirocentrus,Lg. piscivores,1.000000,single,medium,184085.397,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Epinephelus,Grouper/snapper,1.000000,single,high,178162.755,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Portunidae,"Crab, lobster",1.000000,single,high,174080.132,92.758633,55.221127,13.377731,27.235027,96.283275,96.283275,82.590480,295.897518,295.897518,313.590452,47.292261,26.133043,,,,,,,48.061459,357.511777
Lutjanus malabaricus,Grouper/snapper,1.000000,single,high,161848.215,92.758633,729.665396,70.989252,131.686727,458.291515,458.291515,404.883308,1297.204135,1297.204135,1373.024947,262.162033,111.742313,,,,,,,275.539950,1611.072376
Muraenesox cinereus,Lg. piscivores,1.000000,single,medium,161200.004,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Upeneus,Sm.dem.benth.,1.000000,single,medium,147414.537,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Gobiidae,Sm.dem.benth.,1.000000,single,medium,142750.385,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Penaeus latisulcatus,Shrimps,1.000000,single,high,135192.437,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Sepioteuthis lessoniana,Cephalopods,1.000000,single,high,133557.366,92.758633,207.108363,31.446324,45.753688,121.772840,121.772840,118.239630,349.557692,349.557692,370.254323,98.097358,49.643681,,,,,,,102.685825,423.372501
Pomadasys,Med.dem.benth.,1.000000,single,medium,131359.141,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
