commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,12772.5066828009,3.11,128.82495516931337,1645417.6008115814
Cod-likes,8502.79321682,4.396879634399881,2493.903440734149,21205145.259278383
Crustaceans,18748.726305024404,3.0850512639504726,121.63295672384469,2280463.0152862417
Flatfishes,5982.8096511044005,3.4099093599006665,256.9859380331916,1537497.950263096
Herring-likes,683481.1358511486,3.0620666787636184,115.36303651637512,78848459.23344961
Molluscs,871.813788042,2.25930727480112,18.16800642516443,15839.118502693998
Other fishes & inverts,694306.2906507633,3.329151251109624,213.37879149808202,148150237.22857597
Perch-likes,241118.85331860505,3.82026111820238,661.0908073256061,159401457.40182102
"Salmon, smelts, etc",164.9003004687,3.62,416.8693834703355,68741.88659046005
Scorpionfishes,7418.036593609199,3.712116659137805,515.3670626493561,3823011.729873808
Sharks & rays,17247.796494528102,4.075134175692861,1188.8694730570498,20505378.729844857
Tuna & billfishes,18083.646630491698,4.397451759765336,2497.190992651959,45158319.479964815
