functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,75064.09610768918,3.70113333406572,502.4968389210331,37719471.01057844
Large bathydemersals (>=90 cm),1889.2742904419,3.8340516604040102,682.4198648465582,1289278.3059414385
Large bathypelagics (>=90 cm),24.9209499898,4.34,2187.761623949552,54521.09802005042
Large benthopelagics (>=90 cm),6727.060797827299,4.376814964615435,2381.30467519378,16019181.328178948
Large demersals (>=90 cm),8514.1166251671,4.339433950784991,2184.912004362454,18602595.62086954
Large pelagics (>=90 cm),16115.9449627979,4.357083418773253,2275.534470782252,36672388.292076215
Large rays (>=90 cm),3001.0848248707,3.517082317399567,328.91396824813324,987098.7187974759
Large reef assoc. fish (>=90 cm),2304.3273123156996,3.926218295012916,843.7587604962363,1944296.3568171181
Large sharks (>=90 cm),12368.773405459599,4.249335887473513,1775.5621866341394,21961526.353780035
"Lobsters, crabs",3286.6424588003,3.1376256338550608,137.28580475725383,451209.35490575864
Medium bathydemersals (30 - 89 cm),4085.7456608680995,3.8562539002666205,718.2140558631477,2934439.9623173345
Medium bathypelagics (30 - 89 cm),6046.7940338966,4.08,1202.2644346174131,7269845.410410643
Medium benthopelagics (30 - 89 cm),10925.954989583,3.60116744075105,399.17877470808844,4361409.325257467
Medium demersals (30 - 89 cm),617907.9073018412,3.2905896427610255,195.24937068454946,120646130.04169142
Medium pelagics (30 - 89 cm),207940.387428647,3.836427790322069,686.1637812100105,142681162.50431496
Medium reef assoc. fish (30 - 89 cm),4165.764108137401,3.605321515337729,403.01528274560394,1678866.5998924833
Other demersal invertebrates,18134.510446572804,2.749750885285674,56.20188542991626,1019193.6784459043
Shrimps,5028.157458749,3.2271759839320273,168.72365854823758,848369.1221967404
Small demersals (<30 cm),3730.3415226917996,3.47083612571858,295.68965170193303,1103023.3855739967
Small pelagics (<30 cm),693571.9446891766,3.0624166839814024,115.45604699957077,80077075.04361728
Small reef assoc. fish (<30 cm),4.812192581200001,3.7299999999999995,537.0317963702522,2584.300426361437
Small to medium flatfishes (<90 cm),5982.8096511044005,3.4099093599006665,256.9859380331916,1537497.950263096
Small to medium rays (<90 cm),39.1913230392,3.7998870056492966,630.7932039153206,24721.62022557729
Small to medium sharks (<90 cm),1838.7469411585998,3.820007586391381,660.7049893074898,1214869.2780973723
