commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cod-likes,11,11,29072.9492116375,29072.9492116375,0.0,1.0,1262.5161866961553,36705068.97468757,4.095965857393727,1247.2854534755938,36262266.641310185,442802.33337738365,1.012211104665833,0.012211104665833014
Crustaceans,3,3,8.8019263176,8.8019263176,0.0,1.0,158.3847887551331,1394.0912404513224,3.1537593275554734,142.48177852407005,1254.1141161694666,139.97712428185582,1.1116143439238195,0.11161434392381955
Flatfishes,5,5,15789.6647557821,15789.6647557821,0.0,1.0,1835.4040135079313,28980414.064707194,4.157987624509237,1438.7575793816582,22717499.843276933,6262914.221430261,1.2756867729563877,0.2756867729563877
Molluscs,1,1,3.4029850746,3.4029850746,0.0,1.0,12.589254117941673,42.841043863702104,2.1,12.589254117941675,42.841043863702104,0.0,1.0,0.0
Other fishes & inverts,8,8,4263.8936655488,4263.8936655488,0.0,1.0,240.17457173037587,1024078.8350270455,3.31614458092747,207.08306340448553,882980.1622928263,141098.67273421912,1.1597982364267727,0.1597982364267726
Perch-likes,9,9,122.1513190902,122.1513190902,0.0,1.0,430.45796849551374,52581.00866461476,3.4775297234903038,300.28229296293915,36679.8781848529,15901.130479761858,1.4335109947646525,0.4335109947646525
"Salmon, smelts, etc",2,2,13.795119683300001,13.795119683300001,0.0,1.0,141.36726683797556,1950.1783653308803,3.1501758745325668,141.31096902526767,1949.4017302666668,0.7766350642134512,1.0003983966219765,0.0003983966219765343
Scorpionfishes,4,4,32837.70405282581,32837.70405282581,0.0,1.0,616.209038713864,20234890.047962144,3.7896598092663534,616.1122009467498,20231710.118024513,3179.929937630892,1.0001571755387497,0.0001571755387498301
Sharks & rays,11,11,4212.114304450501,4212.114304450501,0.0,1.0,2334.5163995703488,9833249.920604547,4.36391560403777,2311.6155328571845,9736788.852337712,96461.06826683506,1.0099068665994206,0.009906866599420574
Tuna & billfishes,13,13,1420.622132477,1420.622132477,0.0,1.0,3321.2043545295387,4718176.4125236515,4.520045156948439,3311.6555353045724,4704611.148593643,13565.263930008747,1.002883397479952,0.0028833974799519473
