commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,36494.180468461804,4.087992000070825,1224.5936414084836,44690541.350092
Crustaceans,991.5554287606999,3.0549785641321523,113.49547952934326,112537.0588671192
Flatfishes,7446.7601847677,4.340069594008816,2188.1122323682325,16294347.051802924
Herring-likes,171.6707849823,3.3797403909517825,239.73993925527216,41156.343563561495
Molluscs,15.614821926900001,3.1840236693911805,152.76493140596213,2385.397200579192
Other fishes & inverts,32942.1627605002,3.2799712594665524,190.53346234634367,6276584.327934889
Perch-likes,304.30787965790006,3.5788916252842506,379.2203417610467,115399.73812444834
"Salmon, smelts, etc",36.434822630300005,4.226722966699646,1685.4775285076048,61410.074798531
Scorpionfishes,8432.802223788201,3.8974046333511767,789.5954432370964,6658502.209622817
Sharks & rays,258.3341982442,4.117510165506271,1310.7207219725112,338603.9868328277
