commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,590.7311473911001,2.9492088307869455,88.96287936155008,52553.143800464495
Cod-likes,7446.672923409101,3.901907363072741,797.8244896364057,5941138.024608107
Crustaceans,11869.4786314086,2.79624623441564,62.55272510010138,742468.2339120297
Flatfishes,999.6871411252,3.368495957037971,233.61243545191186,233539.3477282171
Herring-likes,28634.4769196915,3.1946357043076583,156.54373961536058,4482548.098938239
Molluscs,3973.2032768271997,2.0784048706608114,11.978567118464811,47593.28212677893
Other fishes & inverts,26800.5455220326,3.4551262173780435,285.1846968676009,7643105.450587206
Perch-likes,150297.70461451498,3.6874578076365006,486.92021783484665,73182991.07097708
Scorpionfishes,0.8331538576,3.78,602.5595860743575,502.0248435717102
Sharks & rays,41069.883315392195,3.8453709373209617,700.4399967149654,28766988.934517324
Tuna & billfishes,20748.883331556008,4.435186635225594,2723.8716226851193,56517294.50922969
