unit_id,region_name,region_type,catch_from,catch_to,taxa,taxa_with_tl,articles,ecopath_models,models_mapped,model_workbooks,has_npp,npp_years_available,npp_from,npp_to
EEZ_008,,,1950,2019,63,16,0,0,0,0,1,22,1998,2019
EEZ_012,,,1950,2019,234,187,0,0,0,0,1,22,1998,2019
EEZ_016,American Samoa,EEZ,1950,2019,149,109,0,0,0,0,1,22,1998,2019
EEZ_024,,,1950,2019,217,120,0,0,0,0,1,22,1998,2019
EEZ_028,Antigua & Barbuda,EEZ,1950,2019,62,19,1,0,0,0,1,22,1998,2019
EEZ_032,,,1950,2019,144,86,0,0,0,0,1,22,1998,2019
EEZ_036,,,1950,2019,591,529,0,0,0,0,1,22,1998,2019
EEZ_037,Macquarie Isl. (Australia),EEZ,1952,2019,17,1,0,0,0,0,1,22,1998,2019
EEZ_038,Lord Howe Isl. (Australia),EEZ,1950,2019,57,18,0,0,0,0,1,22,1998,2019
EEZ_044,Bahamas,EEZ,1950,2019,75,43,1,0,0,0,1,22,1998,2019
EEZ_048,,,1950,2019,93,55,0,0,0,0,1,22,1998,2019
EEZ_050,,,1950,2019,167,116,0,0,0,0,1,22,1998,2019
EEZ_052,Barbados,EEZ,1950,2019,81,47,1,0,0,0,1,22,1998,2019
EEZ_056,,,1950,2019,213,153,0,0,0,0,1,22,1998,2019
EEZ_060,Bermuda (UK),EEZ,1950,2019,84,37,0,0,0,0,1,22,1998,2019
EEZ_070,,,1950,2019,48,45,0,0,0,0,1,22,1998,2019
EEZ_074,Bouvet Isl. (Norway),EEZ,2004,2019,15,10,0,0,0,0,1,22,1998,2019
EEZ_076,,,1950,2019,314,274,0,0,0,0,1,22,1998,2019
EEZ_077,Trindade & Martim Vaz Isl. (Brazil),EEZ,1951,2019,39,17,0,0,0,0,1,22,1998,2019
EEZ_084,,,1950,2019,96,54,0,0,0,0,1,22,1998,2019
EEZ_086,,,1950,2019,84,22,0,0,0,0,1,22,1998,2019
EEZ_090,Solomon Isl.,EEZ,1950,2019,84,52,1,0,0,0,1,22,1998,2019
EEZ_092,British Virgin Isl. (UK),EEZ,1950,2019,67,32,1,0,0,0,1,22,1998,2019
EEZ_096,,,1950,2019,133,97,0,0,0,0,1,22,1998,2019
EEZ_100,,,1950,2019,46,34,0,0,0,0,1,22,1998,2019
EEZ_104,,,1950,2019,141,81,0,0,0,0,1,22,1998,2019
EEZ_111,,,1950,2019,107,58,0,0,0,0,1,22,1998,2019
EEZ_116,,,1950,2019,160,110,0,0,0,0,1,22,1998,2019
EEZ_120,,,1950,2019,136,63,0,0,0,0,1,22,1998,2019
EEZ_132,Cape Verde,EEZ,1950,2019,142,91,1,0,0,0,1,22,1998,2019
EEZ_136,,,1950,2019,45,13,0,0,0,0,1,22,1998,2019
EEZ_144,,,1950,2019,129,79,0,0,0,0,1,22,1998,2019
EEZ_152,,,1950,2019,177,129,0,0,0,0,1,22,1998,2019
EEZ_153,Easter Isl. (Chile),EEZ,1950,2019,45,36,0,0,0,0,1,22,1998,2019
EEZ_154,Desventuradas Isl. (Chile),EEZ,1950,2019,18,12,0,0,0,0,1,22,1998,2019
EEZ_155,Juan Fernandez Islands (Chile),EEZ,1950,2019,29,22,0,0,0,0,1,22,1998,2019
EEZ_156,,,1950,2019,241,180,0,0,0,0,1,22,1998,2019
EEZ_157,,,1950,2019,176,149,0,0,0,0,1,22,1998,2019
EEZ_162,Christmas Isl. (Australia),EEZ,1950,2019,63,13,0,0,0,0,1,22,1998,2019
EEZ_166,Cocos (Keeling) Isl. (Australia),EEZ,1950,2019,52,10,0,0,0,0,1,22,1998,2019
EEZ_174,,,1950,2019,91,42,0,0,0,0,1,22,1998,2019
EEZ_175,,,1950,2019,139,104,0,0,0,0,1,22,1998,2019
EEZ_178,,,1950,2019,111,56,0,0,0,0,1,22,1998,2019
EEZ_180,,,1950,2019,102,34,0,0,0,0,1,22,1998,2019
EEZ_184,Cook Islands,EEZ,1950,2019,55,38,0,0,0,0,1,22,1998,2019
EEZ_191,,,1950,2019,102,45,0,0,0,0,1,22,1998,2019
EEZ_192,,,1950,2019,88,33,0,0,0,0,1,22,1998,2019
EEZ_197,,,1950,2019,86,45,0,0,0,0,1,22,1998,2019
EEZ_198,,,1950,2019,138,90,0,0,0,0,1,22,1998,2019
EEZ_204,,,1950,2019,206,96,0,0,0,0,1,22,1998,2019
EEZ_212,,,1950,2019,68,40,0,0,0,0,1,22,1998,2019
EEZ_214,,,1950,2019,100,80,0,0,0,0,1,22,1998,2019
EEZ_218,,,1950,2019,86,82,0,0,0,0,1,22,1998,2019
EEZ_219,Galapagos Isl. (Ecuador),EEZ,1950,2019,51,47,3,0,0,0,1,22,1998,2019
EEZ_222,,,1950,2019,95,59,0,0,0,0,1,22,1998,2019
EEZ_226,Equatorial Guinea,EEZ,1950,2019,179,66,0,0,0,0,1,22,1998,2019
EEZ_233,,,1950,2019,79,46,0,0,0,0,1,22,1998,2019
EEZ_234,,,1950,2019,159,104,0,0,0,0,1,22,1998,2019
EEZ_238,Falkland Isl. (UK),EEZ,1950,2019,86,33,1,0,0,0,1,22,1998,2019
EEZ_239,South Georgia & Sandwich Isl. (UK),EEZ,1950,2019,58,33,1,0,0,0,1,22,1998,2019
EEZ_242,Fiji,EEZ,1950,2019,98,57,0,0,0,0,1,22,1998,2019
EEZ_246,,,1950,2019,70,43,0,0,0,0,1,22,1998,2019
EEZ_251,,,1950,2019,105,27,0,0,0,0,1,22,1998,2019
EEZ_252,,,1950,2019,51,16,0,0,0,0,1,22,1998,2019
EEZ_254,,,1950,2019,100,65,0,0,0,0,1,22,1998,2019
EEZ_258,French Polynesia,EEZ,1950,2019,84,63,1,0,0,0,1,22,1998,2019
EEZ_262,,,1950,2019,66,41,0,0,0,0,1,22,1998,2019
EEZ_266,,,1950,2019,246,184,0,0,0,0,1,22,1998,2019
EEZ_268,,,1950,2019,44,29,0,0,0,0,1,22,1998,2019
