unit_id,name,type,sau_region,sau_region_id,crs,geometry_repaired
EEZ_136,Cayman Isl. (UK),EEZ,eez,136,EPSG:4326,False
EEZ_144,Sri Lanka,EEZ,eez,144,EPSG:4326,True
EEZ_152,Chile (mainland),EEZ,eez,152,EPSG:4326,True
EEZ_153,Easter Isl. (Chile),EEZ,eez,153,EPSG:4326,False
EEZ_154,Desventuradas Isl. (Chile),EEZ,eez,154,EPSG:4326,False
EEZ_155,Juan Fernandez Islands (Chile),EEZ,eez,155,EPSG:4326,False
EEZ_156,China,EEZ,eez,156,EPSG:4326,True
EEZ_157,Taiwan,EEZ,eez,157,EPSG:4326,True
EEZ_162,Christmas Isl. (Australia),EEZ,eez,162,EPSG:4326,False
EEZ_166,Cocos (Keeling) Isl. (Australia),EEZ,eez,166,EPSG:4326,True
EEZ_174,Comoros Isl.,EEZ,eez,174,EPSG:4326,False
EEZ_175,Mayotte (France),EEZ,eez,175,EPSG:4326,True
EEZ_178,"Congo, R. of",EEZ,eez,178,EPSG:4326,False
EEZ_180,Congo (ex-Zaire),EEZ,eez,180,EPSG:4326,True
EEZ_184,Cook Islands,EEZ,eez,184,EPSG:4326,True
EEZ_191,Croatia,EEZ,eez,191,EPSG:4326,True
EEZ_192,Cuba,EEZ,eez,192,EPSG:4326,True
EEZ_197,Cyprus (North),EEZ,eez,197,EPSG:4326,False
EEZ_198,Cyprus (South),EEZ,eez,198,EPSG:4326,False
EEZ_204,Benin,EEZ,eez,204,EPSG:4326,False
EEZ_212,Dominica,EEZ,eez,212,EPSG:4326,False
EEZ_214,Dominican Republic,EEZ,eez,214,EPSG:4326,False
EEZ_218,Ecuador (mainland),EEZ,eez,218,EPSG:4326,True
EEZ_219,Galapagos Isl. (Ecuador),EEZ,eez,219,EPSG:4326,False
EEZ_222,El Salvador,EEZ,eez,222,EPSG:4326,True
EEZ_226,Equatorial Guinea,EEZ,eez,226,EPSG:4326,False
EEZ_233,Estonia,EEZ,eez,233,EPSG:4326,False
EEZ_234,Faeroe Isl. (Denmark),EEZ,eez,234,EPSG:4326,True
EEZ_238,Falkland Isl. (UK),EEZ,eez,238,EPSG:4326,True
EEZ_239,South Georgia & Sandwich Isl. (UK),EEZ,eez,239,EPSG:4326,False
EEZ_242,Fiji,EEZ,eez,242,EPSG:4326,True
EEZ_246,Finland,EEZ,eez,246,EPSG:4326,True
EEZ_251,Mozambique Channel Isl. (France),EEZ,eez,251,EPSG:4326,False
EEZ_252,Tromelin Isl. (France),EEZ,eez,252,EPSG:4326,False
EEZ_254,French Guiana,EEZ,eez,254,EPSG:4326,False
EEZ_258,French Polynesia,EEZ,eez,258,EPSG:4326,True
EEZ_262,Djibouti,EEZ,eez,262,EPSG:4326,False
EEZ_266,Gabon,EEZ,eez,266,EPSG:4326,True
EEZ_268,Georgia,EEZ,eez,268,EPSG:4326,True
EEZ_270,Gambia,EEZ,eez,270,EPSG:4326,False
EEZ_274,Gaza Strip,EEZ,eez,274,EPSG:4326,False
EEZ_277,Germany (North Sea),EEZ,eez,277,EPSG:4326,False
EEZ_278,Germany (Baltic Sea),EEZ,eez,278,EPSG:4326,True
EEZ_288,Ghana,EEZ,eez,288,EPSG:4326,True
EEZ_300,Greece (without Crete),EEZ,eez,300,EPSG:4326,True
EEZ_304,Greenland (Denmark),EEZ,eez,304,EPSG:4326,True
EEZ_308,Grenada,EEZ,eez,308,EPSG:4326,False
EEZ_312,Guadeloupe  (France),EEZ,eez,312,EPSG:4326,False
EEZ_316,Guam (USA),EEZ,eez,316,EPSG:4326,False
EEZ_324,Guinea,EEZ,eez,324,EPSG:4326,True
EEZ_328,Guyana,EEZ,eez,328,EPSG:4326,True
EEZ_332,Haiti,EEZ,eez,332,EPSG:4326,False
EEZ_334,Heard & McDonald Isl. (Australia),EEZ,eez,334,EPSG:4326,False
EEZ_344,Hong Kong (China),EEZ,eez,344,EPSG:4326,True
EEZ_352,Iceland,EEZ,eez,352,EPSG:4326,True
EEZ_356,India (mainland),EEZ,eez,356,EPSG:4326,True
EEZ_357,Andaman & Nicobar Isl. (India),EEZ,eez,357,EPSG:4326,True
EEZ_361,Indonesia (Eastern),EEZ,eez,361,EPSG:4326,True
EEZ_368,Iraq,EEZ,eez,368,EPSG:4326,False
EEZ_372,Ireland,EEZ,eez,372,EPSG:4326,True
EEZ_380,Italy (mainland),EEZ,eez,380,EPSG:4326,True
EEZ_384,Côte d'Ivoire,EEZ,eez,384,EPSG:4326,False
EEZ_388,Jamaica,EEZ,eez,388,EPSG:4326,False
EEZ_390,Japan (main islands),EEZ,eez,390,EPSG:4326,True
EEZ_393,Japan (Daito Islands),EEZ,eez,393,EPSG:4326,False
EEZ_396,Johnston Atoll (USA),EEZ,eez,396,EPSG:4326,False
EEZ_400,Jordan,EEZ,eez,400,EPSG:4326,False
EEZ_404,Kenya,EEZ,eez,404,EPSG:4326,True
EEZ_410,Korea (South),EEZ,eez,410,EPSG:4326,True
EEZ_414,Kuwait,EEZ,eez,414,EPSG:4326,True
EEZ_422,Lebanon,EEZ,eez,422,EPSG:4326,False
EEZ_428,Latvia,EEZ,eez,428,EPSG:4326,False
EEZ_430,Liberia,EEZ,eez,430,EPSG:4326,True
EEZ_434,Libya,EEZ,eez,434,EPSG:4326,True
EEZ_440,Lithuania,EEZ,eez,440,EPSG:4326,True
EEZ_450,Madagascar,EEZ,eez,450,EPSG:4326,True
EEZ_459,Malaysia (Peninsula West),EEZ,eez,459,EPSG:4326,True
EEZ_460,Malaysia (Peninsula East),EEZ,eez,460,EPSG:4326,True
EEZ_461,Malaysia (Sabah),EEZ,eez,461,EPSG:4326,True
EEZ_462,Maldives,EEZ,eez,462,EPSG:4326,False
EEZ_463,Malaysia (Sarawak),EEZ,eez,463,EPSG:4326,True
EEZ_470,Malta,EEZ,eez,470,EPSG:4326,False
EEZ_474,Martinique (France),EEZ,eez,474,EPSG:4326,True
EEZ_478,Mauritania,EEZ,eez,478,EPSG:4326,True
EEZ_480,Mauritius,EEZ,eez,480,EPSG:4326,False
EEZ_488,Hawaii Northwest Islands (USA),EEZ,eez,488,EPSG:4326,False
EEZ_500,Montserrat (UK),EEZ,eez,500,EPSG:4326,False
EEZ_508,Mozambique,EEZ,eez,508,EPSG:4326,True
EEZ_512,Oman,EEZ,eez,512,EPSG:4326,False
EEZ_516,Namibia,EEZ,eez,516,EPSG:4326,True
EEZ_520,Nauru,EEZ,eez,520,EPSG:4326,False
EEZ_528,Netherlands,EEZ,eez,528,EPSG:4326,False
EEZ_540,New Caledonia (France),EEZ,eez,540,EPSG:4326,True
EEZ_548,Vanuatu,EEZ,eez,548,EPSG:4326,True
EEZ_554,New Zealand,EEZ,eez,554,EPSG:4326,True
EEZ_555,Kermadec Isl. (New Zealand),EEZ,eez,555,EPSG:4326,False
EEZ_566,Nigeria,EEZ,eez,566,EPSG:4326,True
EEZ_570,Niue (New Zealand),EEZ,eez,570,EPSG:4326,False
EEZ_574,Norfolk Isl. (Australia),EEZ,eez,574,EPSG:4326,False
EEZ_578,Norway,EEZ,eez,578,EPSG:4326,True
EEZ_579,Jan Mayen Isl. (Norway),EEZ,eez,579,EPSG:4326,False
EEZ_580,Northern Marianas (USA),EEZ,eez,580,EPSG:4326,False
EEZ_583,Micronesia (Federated States of),EEZ,eez,583,EPSG:4326,True
EEZ_584,Marshall Isl.,EEZ,eez,584,EPSG:4326,True
EEZ_585,Palau,EEZ,eez,585,EPSG:4326,True
EEZ_586,Pakistan,EEZ,eez,586,EPSG:4326,True
EEZ_598,Papua New Guinea,EEZ,eez,598,EPSG:4326,True
EEZ_604,Peru,EEZ,eez,604,EPSG:4326,False
EEZ_608,Philippines,EEZ,eez,608,EPSG:4326,True
EEZ_612,Pitcairn (UK),EEZ,eez,612,EPSG:4326,True
EEZ_616,Poland,EEZ,eez,616,EPSG:4326,True
EEZ_620,Portugal (mainland),EEZ,eez,620,EPSG:4326,True
EEZ_621,Madeira Isl. (Portugal),EEZ,eez,621,EPSG:4326,False
EEZ_622,Azores Isl. (Portugal),EEZ,eez,622,EPSG:4326,False
EEZ_624,Guinea-Bissau,EEZ,eez,624,EPSG:4326,True
EEZ_626,Timor Leste,EEZ,eez,626,EPSG:4326,False
EEZ_630,Puerto Rico (USA),EEZ,eez,630,EPSG:4326,False
EEZ_634,Qatar,EEZ,eez,634,EPSG:4326,True
EEZ_638,Réunion (France),EEZ,eez,638,EPSG:4326,False
EEZ_642,Romania,EEZ,eez,642,EPSG:4326,False
EEZ_645,Russia (Barents Sea),EEZ,eez,645,EPSG:4326,True
EEZ_647,Russia (Black Sea),EEZ,eez,647,EPSG:4326,False
EEZ_648,Russia (Baltic Sea),EEZ,eez,648,EPSG:4326,True
EEZ_649,Russia (Far East),EEZ,eez,649,EPSG:4326,True
EEZ_654,Saint Helena (UK),EEZ,eez,654,EPSG:4326,False
EEZ_659,Saint Kitts & Nevis,EEZ,eez,659,EPSG:4326,False
EEZ_660,Anguilla (UK),EEZ,eez,660,EPSG:4326,False
EEZ_662,Saint Lucia,EEZ,eez,662,EPSG:4326,False
EEZ_666,Saint Pierre & Miquelon (France),EEZ,eez,666,EPSG:4326,False
EEZ_670,Saint Vincent & the Grenadines,EEZ,eez,670,EPSG:4326,False
EEZ_678,Sao Tome & Principe,EEZ,eez,678,EPSG:4326,False
EEZ_683,Saudi Arabia (Red Sea),EEZ,eez,683,EPSG:4326,True
EEZ_684,Saudi Arabia (Persian Gulf),EEZ,eez,684,EPSG:4326,True
EEZ_686,Senegal,EEZ,eez,686,EPSG:4326,True
EEZ_690,Seychelles,EEZ,eez,690,EPSG:4326,False
EEZ_694,Sierra Leone,EEZ,eez,694,EPSG:4326,True
EEZ_702,Singapore,EEZ,eez,702,EPSG:4326,True
EEZ_704,Viet Nam,EEZ,eez,704,EPSG:4326,True
EEZ_705,Slovenia,EEZ,eez,705,EPSG:4326,False
EEZ_706,Somalia,EEZ,eez,706,EPSG:4326,False
EEZ_711,Prince Edward Isl. (South Africa),EEZ,eez,711,EPSG:4326,False
EEZ_723,Canary Isl. (Spain),EEZ,eez,723,EPSG:4326,False
EEZ_736,Sudan,EEZ,eez,736,EPSG:4326,True
EEZ_740,Suriname,EEZ,eez,740,EPSG:4326,False
EEZ_744,Svalbard Isl. (Norway),EEZ,eez,744,EPSG:4326,True
EEZ_760,Syria,EEZ,eez,760,EPSG:4326,False
EEZ_768,Togo,EEZ,eez,768,EPSG:4326,False
EEZ_772,Tokelau (New Zealand),EEZ,eez,772,EPSG:4326,False
EEZ_776,Tonga,EEZ,eez,776,EPSG:4326,True
EEZ_780,Trinidad & Tobago,EEZ,eez,780,EPSG:4326,False
EEZ_784,United Arab Emirates,EEZ,eez,784,EPSG:4326,True
EEZ_788,Tunisia,EEZ,eez,788,EPSG:4326,True
EEZ_793,Turkey (Mediterranean Sea),EEZ,eez,793,EPSG:4326,True
EEZ_794,Turkey (Black Sea),EEZ,eez,794,EPSG:4326,True
EEZ_796,Turks & Caicos Isl. (UK),EEZ,eez,796,EPSG:4326,False
EEZ_798,Tuvalu,EEZ,eez,798,EPSG:4326,False
EEZ_804,Ukraine,EEZ,eez,804,EPSG:4326,True
EEZ_826,United Kingdom (UK),EEZ,eez,826,EPSG:4326,True
EEZ_830,Channel Isl. (UK),EEZ,eez,830,EPSG:4326,False
EEZ_834,Tanzania,EEZ,eez,834,EPSG:4326,True
EEZ_842,Hawaii Main Islands (USA),EEZ,eez,842,EPSG:4326,False
EEZ_844,Palmyra Atoll & Kingman Reef (USA),EEZ,eez,844,EPSG:4326,False
EEZ_845,Jarvis Isl. (USA),EEZ,eez,845,EPSG:4326,False
EEZ_846,Howland & Baker Isl. (USA),EEZ,eez,846,EPSG:4326,False
EEZ_848,USA (West Coast),EEZ,eez,848,EPSG:4326,True
EEZ_850,US Virgin Isl.,EEZ,eez,850,EPSG:4326,False
EEZ_851,USA (East Coast),EEZ,eez,851,EPSG:4326,True
EEZ_852,USA (Gulf of Mexico),EEZ,eez,852,EPSG:4326,True
EEZ_855,Ascension Isl. (UK),EEZ,eez,855,EPSG:4326,False
EEZ_856,Tristan da Cunha Isl. (UK),EEZ,eez,856,EPSG:4326,False
EEZ_858,Uruguay,EEZ,eez,858,EPSG:4326,False
EEZ_862,Venezuela,EEZ,eez,862,EPSG:4326,True
EEZ_872,Wake Isl. (USA),EEZ,eez,872,EPSG:4326,False
EEZ_876,Wallis & Futuna Isl. (France),EEZ,eez,876,EPSG:4326,False
EEZ_882,Samoa,EEZ,eez,882,EPSG:4326,False
EEZ_891,Montenegro,EEZ,eez,891,EPSG:4326,False
EEZ_895,St Paul & Amsterdam Isl. (France),EEZ,eez,895,EPSG:4326,False
EEZ_896,Crozet Isl. (France),EEZ,eez,896,EPSG:4326,False
EEZ_897,Kerguelen Isl. (France),EEZ,eez,897,EPSG:4326,True
EEZ_898,Clipperton Isl. (France),EEZ,eez,898,EPSG:4326,False
EEZ_899,Corsica (France),EEZ,eez,899,EPSG:4326,False
EEZ_900,Crete (Greece),EEZ,eez,900,EPSG:4326,False
EEZ_901,Sicily (Italy),EEZ,eez,901,EPSG:4326,False
EEZ_902,Sardinia (Italy),EEZ,eez,902,EPSG:4326,True
EEZ_903,Balearic Islands (Spain),EEZ,eez,903,EPSG:4326,False
EEZ_904,St Barthelemy (France),EEZ,eez,904,EPSG:4326,False
EEZ_905,St Martin (France),EEZ,eez,905,EPSG:4326,False
EEZ_906,Curaçao (Netherlands),EEZ,eez,906,EPSG:4326,False
EEZ_907,Bonaire (Netherlands),EEZ,eez,907,EPSG:4326,False
EEZ_908,Saba and Sint Eustatius (Netherlands),EEZ,eez,908,EPSG:4326,False
EEZ_909,Sint Maarten (Netherlands),EEZ,eez,909,EPSG:4326,False
EEZ_910,South Orkney Islands (UK),EEZ,eez,910,EPSG:4326,False
EEZ_911,Musandam (Oman),EEZ,eez,911,EPSG:4326,True
EEZ_912,Russia (Kara Sea),EEZ,eez,912,EPSG:4326,True
EEZ_913,Russia (Laptev to Chukchi Sea),EEZ,eez,913,EPSG:4326,True
EEZ_914,Sweden (Baltic),EEZ,eez,914,EPSG:4326,True
EEZ_915,Sweden (West Coast),EEZ,eez,915,EPSG:4326,True
EEZ_916,Yemen (Red Sea),EEZ,eez,916,EPSG:4326,True
EEZ_917,Yemen (Arabian Sea),EEZ,eez,917,EPSG:4326,False
EEZ_918,France (Mediterranean),EEZ,eez,918,EPSG:4326,True
EEZ_919,France (Atlantic Coast),EEZ,eez,919,EPSG:4326,True
EEZ_920,Honduras (Pacific),EEZ,eez,920,EPSG:4326,False
EEZ_921,Honduras (Caribbean),EEZ,eez,921,EPSG:4326,True
EEZ_922,Iran (Persian Gulf),EEZ,eez,922,EPSG:4326,True
EEZ_923,Iran (Sea of Oman),EEZ,eez,923,EPSG:4326,True
EEZ_924,Canada (Arctic),EEZ,eez,924,EPSG:4326,True
EEZ_925,Canada (Pacific),EEZ,eez,925,EPSG:4326,True
EEZ_926,Canada (East Coast),EEZ,eez,926,EPSG:4326,True
EEZ_927,Colombia (Caribbean),EEZ,eez,927,EPSG:4326,True
EEZ_928,Colombia (Pacific),EEZ,eez,928,EPSG:4326,True
EEZ_929,Costa Rica (Caribbean),EEZ,eez,929,EPSG:4326,False
EEZ_930,Costa Rica (Pacific),EEZ,eez,930,EPSG:4326,True
EEZ_931,Denmark (Baltic Sea),EEZ,eez,931,EPSG:4326,True
EEZ_932,Denmark (North Sea),EEZ,eez,932,EPSG:4326,True
EEZ_933,Egypt (Mediterranean),EEZ,eez,933,EPSG:4326,True
EEZ_934,Egypt (Red Sea),EEZ,eez,934,EPSG:4326,False
EEZ_935,Guatemala (Caribbean),EEZ,eez,935,EPSG:4326,False
EEZ_936,Guatemala (Pacific),EEZ,eez,936,EPSG:4326,False
EEZ_937,Indonesia (Central),EEZ,eez,937,EPSG:4326,True
EEZ_938,Indonesia (Indian Ocean),EEZ,eez,938,EPSG:4326,True
EEZ_939,Israel (Mediterranean),EEZ,eez,939,EPSG:4326,False
EEZ_940,Israel (Red Sea),EEZ,eez,940,EPSG:4326,False
EEZ_941,Kiribati (Gilbert Islands),EEZ,eez,941,EPSG:4326,True
EEZ_942,Kiribati (Line Islands),EEZ,eez,942,EPSG:4326,True
EEZ_943,Kiribati (Phoenix Islands),EEZ,eez,943,EPSG:4326,True
EEZ_944,Mexico (Atlantic),EEZ,eez,944,EPSG:4326,True
EEZ_945,Mexico (Pacific),EEZ,eez,945,EPSG:4326,True
EEZ_946,Morocco (Central),EEZ,eez,946,EPSG:4326,False
EEZ_947,Morocco (Mediterranean),EEZ,eez,947,EPSG:4326,False
EEZ_948,Morocco (South),EEZ,eez,948,EPSG:4326,True
EEZ_949,Nicaragua (Caribbean),EEZ,eez,949,EPSG:4326,True
EEZ_950,Nicaragua (Pacific),EEZ,eez,950,EPSG:4326,True
EEZ_951,Panama (Caribbean),EEZ,eez,951,EPSG:4326,False
EEZ_952,Panama (Pacific),EEZ,eez,952,EPSG:4326,True
EEZ_953,South Africa (Atlantic and Cape),EEZ,eez,953,EPSG:4326,True
EEZ_954,South Africa (Indian Ocean Coast),EEZ,eez,954,EPSG:4326,False
EEZ_956,Thailand (Andaman Sea),EEZ,eez,956,EPSG:4326,True
EEZ_957,Thailand (Gulf of Thailand),EEZ,eez,957,EPSG:4326,True
EEZ_958,"USA (Alaska, Arctic)",EEZ,eez,958,EPSG:4326,True
EEZ_959,"USA (Alaska, Subarctic)",EEZ,eez,959,EPSG:4326,True
EEZ_962,"Spain (mainland, Med and Gulf of Cadiz)",EEZ,eez,962,EPSG:4326,True
EEZ_963,Spain (Northwest),EEZ,eez,963,EPSG:4326,True
EEZ_966,Turkey (Marmara Sea),EEZ,eez,966,EPSG:4326,False
EEZ_967,Aruba (Netherlands),EEZ,eez,967,EPSG:4326,False
EEZ_968,United Arab Emirates (Fujairah),EEZ,eez,968,EPSG:4326,False
EEZ_969,Fernando de Noronha (Brazil),EEZ,eez,969,EPSG:4326,False
EEZ_970,St Paul and St. Peter Archipelago (Brazil),EEZ,eez,970,EPSG:4326,False
EEZ_971,Japan (Ogasawara Islands),EEZ,eez,971,EPSG:4326,False
EEZ_972,Glorieuse Islands (France),EEZ,eez,972,EPSG:4326,False
EEZ_973,"Korea (North, Yellow Sea)",EEZ,eez,973,EPSG:4326,True
EEZ_974,"Korea (North, Sea of Japan)",EEZ,eez,974,EPSG:4326,True
EEZ_977,Yemen (Socotra),EEZ,eez,977,EPSG:4326,False
