unit_id,name,type,sau_region,sau_region_id,crs,geometry_repaired
EEZ_008,Albania,EEZ,eez,8,EPSG:4326,True
EEZ_012,Algeria,EEZ,eez,12,EPSG:4326,False
EEZ_016,American Samoa,EEZ,eez,16,EPSG:4326,False
EEZ_024,Angola,EEZ,eez,24,EPSG:4326,False
EEZ_028,Antigua & Barbuda,EEZ,eez,28,EPSG:4326,False
EEZ_032,Argentina,EEZ,eez,32,EPSG:4326,True
EEZ_036,Australia,EEZ,eez,36,EPSG:4326,True
EEZ_037,Macquarie Isl. (Australia),EEZ,eez,37,EPSG:4326,False
EEZ_038,Lord Howe Isl. (Australia),EEZ,eez,38,EPSG:4326,False
EEZ_044,Bahamas,EEZ,eez,44,EPSG:4326,True
EEZ_048,Bahrain,EEZ,eez,48,EPSG:4326,True
EEZ_050,Bangladesh,EEZ,eez,50,EPSG:4326,True
EEZ_052,Barbados,EEZ,eez,52,EPSG:4326,False
EEZ_056,Belgium,EEZ,eez,56,EPSG:4326,True
EEZ_060,Bermuda (UK),EEZ,eez,60,EPSG:4326,True
EEZ_070,Bosnia & Herzegovina,EEZ,eez,70,EPSG:4326,True
EEZ_074,Bouvet Isl. (Norway),EEZ,eez,74,EPSG:4326,False
EEZ_076,Brazil (mainland),EEZ,eez,76,EPSG:4326,True
EEZ_077,Trindade & Martim Vaz Isl. (Brazil),EEZ,eez,77,EPSG:4326,False
EEZ_084,Belize,EEZ,eez,84,EPSG:4326,True
EEZ_086,Chagos Archipelago (UK),EEZ,eez,86,EPSG:4326,True
EEZ_090,Solomon Isl.,EEZ,eez,90,EPSG:4326,True
EEZ_092,British Virgin Isl. (UK),EEZ,eez,92,EPSG:4326,False
EEZ_096,Brunei Darussalam,EEZ,eez,96,EPSG:4326,True
EEZ_100,Bulgaria,EEZ,eez,100,EPSG:4326,False
EEZ_104,Myanmar,EEZ,eez,104,EPSG:4326,True
EEZ_111,Eritrea,EEZ,eez,111,EPSG:4326,True
EEZ_116,Cambodia,EEZ,eez,116,EPSG:4326,True
EEZ_120,Cameroon,EEZ,eez,120,EPSG:4326,True
EEZ_132,Cape Verde,EEZ,eez,132,EPSG:4326,False
