commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,2,2,33530.9538191622,33530.9538191622,0.0,1.0,939.407831965038,31499240.63097897,3.266137914699647,887.7964443593659,29768661.576630298,1730579.0543486737,1.0581342580651074,0.058134258065107434
Crustaceans,26,26,67008.13643156929,67008.13643156929,0.0,1.0,705.0619974509497,47244890.51790799,2.8492751178418447,254.66097561805108,17064357.39801091,30180533.119897082,2.768629923527917,1.7686299235279173
Flatfishes,4,4,1340.2892292950999,1340.2892292950999,0.0,1.0,7189.114016682363,9635492.084733805,3.9009441942373977,5945.870039091838,7969185.572183225,1666306.5125505794,1.209093701916905,0.20909370191690502
Herring-likes,12,12,226202.59380444844,226202.59380444844,0.0,1.0,432.43286871593045,97817436.549842,2.793851916290945,215.70248621876263,48792461.8727524,49024974.6770896,2.004765342747894,1.0047653427478938
Molluscs,10,10,7502.4002337182,7502.4002337182,0.0,1.0,28.79466085541843,216029.07033152756,2.1096869950131234,27.78024466447565,208418.5140635109,7610.556268016662,1.0365157399869838,0.03651573998698367
Other fishes & inverts,39,39,537683.6033805659,537683.6033805659,0.0,1.0,1435.098413864909,771628886.3726189,3.0816730101308587,510.88014839473516,274691879.0844794,496937007.2881395,2.809070617392771,1.8090706173927709
Perch-likes,95,95,734473.3643727307,734473.3643727307,0.0,1.0,6350.424726861611,4664217814.333827,3.575063032464219,2239.9289661114367,1645168163.6957994,3019049650.6380277,2.835100944243817,1.8351009442438169
Scorpionfishes,2,2,993.3378832231001,993.3378832231001,0.0,1.0,5228.7368660910415,5193902.410493461,3.840234022950772,4957.122583065272,4924097.653539483,269804.756953978,1.0547927307574902,0.05479273075749016
Sharks & rays,13,13,10888.7986531216,10888.7986531216,0.0,1.0,12185.737382044892,132688040.79290394,4.092599935508087,10557.601871756513,114959601.0413764,17728439.751527548,1.1542145205005252,0.15421452050052528
Tuna & billfishes,16,16,112348.4895149271,112348.4895149271,0.0,1.0,27398.018425058974,3078125985.757518,4.407200496775251,27093.807918259034,3043948394.823974,34177590.93354368,1.0112280454529585,0.011228045452958512
