commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,0.18474450209999999,3.11,128.82495516931337,23.79970220080962
Crustaceans,13.650335744,3.0764897717847672,119.2586178527368,1627.9201740552496
Flatfishes,1.077885798,3.539651668831061,346.45885744507626,373.44308203135427
Herring-likes,0.4673147882,3.16,144.5439770745928,67.54753803219899
Molluscs,9.9832795396,2.7687499631922057,58.71512140296415,586.1694701673421
Other fishes & inverts,719.0743559684001,3.4599383005216233,288.362180277965,207353.8490690214
Perch-likes,758.8191626294,3.385985719270885,243.21240332118285,184554.23222926387
Scorpionfishes,20.1434932779,3.8392390105814562,690.6197764816461,13911.494825142838
Sharks & rays,32.3608653682,3.7318388068936335,539.3104144542236,17452.551713821274
Tuna & billfishes,680.4472126390999,4.3172602012408055,2076.157044282365,1412715.2737829676
