functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,15,15,4742.9569126531005,4742.9569126531005,0.0,1.0,1118.7807853414713,5306329.059578796,4.024133592753238,1057.1426454597292,5013982.017943609,292347.04163518734,1.058306360212095,0.058306360212095065
Large bathydemersals (>=90 cm),5,5,4428.6411215408,4428.6411215408,0.0,1.0,2741.570949448189,12141433.844347904,4.436411057511771,2731.561969125526,12097107.662506266,44326.18184163794,1.0036641966888518,0.003664196688851696
Large bathypelagics (>=90 cm),3,3,30.7661490945,30.7661490945,0.0,1.0,356.4835225271339,10967.625203802352,3.5475455858860645,352.8138179124053,10854.722524492836,112.90267930951632,1.0104012496915291,0.010401249691529214
Large benthopelagics (>=90 cm),13,13,312973.69058766955,312973.69058766955,0.0,1.0,1235.029729367077,386531812.3855048,4.091197222280685,1233.6649393002199,386104669.00140315,427143.38410162926,1.001106289093075,0.0011062890930751137
Large demersals (>=90 cm),18,18,255005.9897411661,255005.9897411661,0.0,1.0,2064.1346346011205,526366695.45547897,4.308941511013935,2036.7677557696245,519387977.4329268,6978718.022552192,1.0134364258045487,0.01343642580454881
Large flatfishes (>=90 cm),3,3,87301.792971763,87301.792971763,0.0,1.0,267.8094615510885,23380246.16821245,3.3063435287043776,202.46200281455666,17675295.854364924,5704950.313847527,1.322764063518557,0.32276406351855697
Large pelagics (>=90 cm),3,3,238.652927963,238.652927963,0.0,1.0,746.3068923535884,178108.32501915132,3.5796491351375757,379.8823667919759,90660.03911641937,87448.28590273195,1.9645736617258338,0.9645736617258337
Large rays (>=90 cm),14,14,1546.2287764551,1546.2287764551,0.0,1.0,766.7669575643458,1185597.134620918,3.8514887818684773,710.3768202337168,1098405.0815720444,87192.05304887355,1.0793805987533158,0.07938059875331578
Large reef assoc. fish (>=90 cm),6,6,853.9381515433,853.9381515433,0.0,1.0,217.7924350636152,185981.26941833776,3.3167804464146693,207.38648290887411,177095.22987027015,8886.039548067609,1.0501766171487341,0.05017661714873412
Large sharks (>=90 cm),18,18,2983.535485173,2983.535485173,0.0,1.0,1419.1138883615579,4233976.643428543,4.133041131547438,1358.4420970352871,4052960.2010576027,181016.44237094,1.0446627732302194,0.04466277323021937
