,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Diatoms,,34.0885009765625,,237.5,,0.8216763734817505,,,,
2,Dino/silicoflagellates,,13.376999855041504,,237.5,,0.9668939113616943,,,,
3,Microzooplankton,,13.542136192321777,,256,1024,0.9567446112632751,,0.25,0.2,
4,Mesozooplankton,,24.082000732421875,,40,125,0.9261996746063232,,0.3199999928474426,0.35,
5,Macrozooplankton,,37.424713134765625,,19.085500717163086,46.54999923706055,0.9499998688697815,,0.4100000262260437,0.2,
6,Gelatinous zooplankton,,0.009068332612514496,,0.5839999914169312,2.919999837875366,0.949999988079071,,0.20000000298023224,0.35,
7,Chrysaora plocamia,,8.464285850524902,,15,56,6.117804878158495e-05,,0.2678571343421936,0.35,
8,Macrobenthos,,23.16699981689453,,1.2000000476837158,10.000000953674316,0.7902949452400208,,0.11999998986721039,0.2,
9,Sardine,,10.73799991607666,,1.399999976158142,12,0.9700034856796265,,0.11666666716337204,0.35,
10,Anchovy,,58.31650161743164,,2,15,0.8148474097251892,,0.13333334028720856,0.35,
11,Mesopelagic fish,,14.628499984741211,,1.399999976158142,14,0.2638949751853943,,0.10000000149011612,0.35,
12,Jumbo squid,,0.38350000977516174,,8.90999984741211,25.457143783569336,0.7999784350395203,,0.3499999940395355,0.2,
13,Other cephalopods,,1.8063184022903442,,4.300000190734863,10,0.949999988079071,,0.4300000071525574,0.2,
14,Other small pelagic fish,,10.99500560760498,,1,10,0.8999999761581421,,0.10000000149011612,0.35,
15,Horse mackerel,,7.298999786376953,,1.2000000476837158,10,0.23551708459854126,,0.12000000476837158,0.35,
16,Chub mackerel,,7.690000057220459,,0.8500000238418579,10,0.15512745082378387,,0.08500000089406967,0.25,
17,Other large pelagic fish,,1.1729999780654907,,0.625,6.25,0.533972442150116,,0.10000000149011612,0.2,
18,Small hake,,2.007999897003174,,1.122499942779541,7.483332633972168,0.7213676571846008,,0.15000000596046448,0.35,
19,Medium hake,,0.28850001096725464,,1.7864999771118164,11.90999984741211,0.14074458181858063,,0.15000000596046448,0.2,
20,Large hake,,0.04149999842047691,,1.2799999713897705,8.533332824707031,0.8738672733306885,,0.15000000596046448,0.2,
21,Flatfish,,0.02500000037252903,,0.30399999022483826,2.0266664028167725,0.9954587817192078,,0.15000002086162567,0.2,
22,Small demersal fish,,5.230000019073486,,2.299999952316284,15.333332061767578,0.7304298281669617,,0.15000000596046448,0.2,
23,Benthic elasmobranchs,,0.061500001698732376,,1,6.666666507720947,0.6587257981300354,,0.15000000596046448,0.2,
24,Butter fishes,,0.01899999938905239,,0.800000011920929,4,0.5367576479911804,,0.20000000298023224,0.2,
25,Conger,,0.011500000022351742,,0.75,5,0.011290673166513443,,0.15000000596046448,0.2,
26,Medium demersal fish,,0.20550000667572021,,1.899999976158142,12.666666030883789,0.8201572895050049,,0.15000000596046448,0.2,
27,Medium sciaenids,,0.29350000619888306,,0.9154999852180481,6.103332996368408,0.7098218202590942,,0.15000000596046448,0.2,
28,Sea robin,,0.5540000200271606,,3.309999942779541,16.549999237060547,0.4585436284542084,,0.20000000298023224,0.2,
29,Catfish,,0.6134999990463257,,0.8999999761581421,5.999999523162842,0.8212506771087646,,0.15000000596046448,0.2,
30,Chondrichthyans,,0.05249999836087227,,0.4860000014305115,3.239999771118164,0.564231276512146,,0.15000000596046448,0.2,
31,Seabirds,,0.03849999979138374,,0.03999999910593033,61,0,,0.0006557377055287361,0.2,
32,Pinnipeds,,0.0625,,0.10000000149011612,36.95000076293945,0,,0.002706359839066863,0.26,
33,Cetaceans,,0.06449999660253525,,0.10000000149011612,20,0,,0.004999999888241291,0.2,
34,Green sea turtle,,0.0003429999924264848,,0.19200000166893005,3.5,0,,0.05485714226961136,0.2,
35,Leatherback turtle,,0.00016199999663513154,,0.19200000166893005,3.5,0,,0.05485714226961136,0.2,
36,Anchovy eggs,,0.4359999895095825,,,,0.8843322396278381,,,,
37,Fishery offal,,0.05000000074505806,,,,0,,,,
38,Pelagic detritus,,20,,,,0,,,,
39,Benthic detritus,,60,,,,0.8890905380249023,,,,
