functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Large pelagics (>=90 cm),15,15,747251.7462502093,747251.7462502093,0.0,1.0,2712.5023373180375,2026922108.2686777,4.430738145572962,2696.113342034091,2014675402.9234624,12246705.34521532,1.0060787486299005,0.0060787486299005425
Large sharks (>=90 cm),7,7,69815.97612667471,69815.97612667471,0.0,1.0,2083.5948316686536,145468207.02544153,4.301341671050433,2001.435833355204,139732196.36059824,5736010.664843291,1.041050028656536,0.041050028656536126
Medium demersals (30 - 89 cm),1,1,21675.0954158329,21675.0954158329,0.0,1.0,190.54607179632464,4130104.287297483,3.28,190.54607179632464,4130104.287297483,0.0,1.0,0.0
Medium pelagics (30 - 89 cm),3,3,21928.3898157755,21928.3898157755,0.0,1.0,896.505699298346,19658926.446278542,3.7482187771203637,560.0396520662697,12280767.802800443,7378158.643478099,1.60078968692785,0.6007896869278501
