unit_id,eez_unit_id,eez_name,sau_region_id,area_km2,lme_union_intersection_km2,lme_overlap_fraction_of_eez,hs_union_intersection_km2,hs_overlap_fraction_of_eez,uncovered_by_lme_or_hs_km2,geometry_repaired,flag_add_low_lme_overlap,flag_prefer_eez_candidate,flag_review_110_120,prefer_eez_lme_ids,review_110_120_lme_ids,mostly_contained_lme_ids,mostly_contained_lme_count,max_lme_containment_fraction,max_eez_to_lme_area_ratio,max_eez_to_mostly_contained_lme_area_ratio
EEZ_008,EEZ_008,Albania,8,12219.555135005918,12091.177754117587,0.9894941035520547,0.0,0.0,128.3787959285591,True,False,False,False,,,,0,0.004783278732778517,0.004834064918232108,0.0
EEZ_012,EEZ_012,Algeria,12,131003.5061804871,130687.93479332548,0.9975911225862394,0.0,0.0,315.56895027805956,False,False,False,False,,,,0,0.0517002422625686,0.051825082533349456,0.0
EEZ_016,EEZ_016,American Samoa,16,404096.0922091678,0.0,0.0,0.0,0.0,404096.09220916766,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_024,EEZ_024,Angola,24,493804.0339161999,492555.7261566849,0.9974720584001409,38.774028398767584,7.852108475352726e-05,1248.3080538561546,False,False,False,False,,,,0,0.3270219687440637,0.3386495288268319,0.0
EEZ_028,EEZ_028,Antigua & Barbuda,28,111055.89188966993,3710.2403699359897,0.033408766584144683,600.4081068854225,0.005406359776768139,106745.24336309021,False,True,False,False,,,,0,0.001137211640725506,0.03403931832865719,0.0
EEZ_032,EEZ_032,Argentina,32,1092159.2771767338,842172.4996658075,0.7711077653827654,160.92558330174904,0.00014734625861325534,249868.5880439054,True,False,False,False,,,,0,0.716240633385013,0.9332213162645734,0.0
EEZ_036,EEZ_036,Australia,36,6329385.118514362,6289530.651828255,0.993703264070703,1529.8940719088484,0.0002417129062716832,38770.25807817534,True,False,True,False,LME_039;LME_040;LME_041;LME_042;LME_043;LME_044;LME_045,,LME_039;LME_040;LME_041;LME_042;LME_043;LME_044;LME_045,7,0.9983792292995102,10.924848123304493,10.924848123304493
EEZ_037,EEZ_037,Macquarie Isl. (Australia),37,476009.8592070779,0.0,0.0,578.5041692232294,0.0012153197208706627,475431.3554055311,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_038,EEZ_038,Lord Howe Isl. (Australia),38,541148.0055378617,33748.080844045675,0.06236386441173804,487.2843144613548,0.0009004640310501185,506912.7880247162,False,True,False,False,,,,0,0.051764453749833295,0.8300392260504348,0.0
EEZ_044,EEZ_044,Bahamas,44,619981.826721081,301349.39447074186,0.4860616577497096,31.93484582975077,5.150932568240859e-05,318600.4977320989,True,False,False,False,,,,0,0.15065076323918136,2.055135542340474,0.0
