functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Large bathydemersals (>=90 cm),149.35755817999998,4.42,2630.2679918953813,392850.40462850616
Large benthopelagics (>=90 cm),14.9088658776,4.39,2454.7089156850284,36596.92599249702
Large pelagics (>=90 cm),3532.4117743928,4.3899951854253985,2454.6817030121015,8670946.550106518
Large sharks (>=90 cm),3721.9558683399005,4.110762642028394,1290.5137674096495,4803235.289783779
"Lobsters, crabs",5.4349731061,2.6,39.810717055349734,216.3701765303824
Medium demersals (30 - 89 cm),864.0810198273999,3.28,190.54607179632464,164647.24404187317
Medium pelagics (30 - 89 cm),10153.8097688007,3.667517486974498,465.06910191177343,4722223.190159134
Other demersal invertebrates,0.9057366136,2.43,26.915348039269166,24.378216186953054
