commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,1,1,0.2464960979,0.2464960979,0.0,1.0,128.82495516931337,31.754848761378177,3.11,128.82495516931337,31.754848761378177,0.0,1.0,0.0
Cod-likes,16,16,3614.2285225071,3614.2285225071,0.0,1.0,1300.098206039776,4698852.018329271,4.067651698111524,1168.5618346720862,4223449.51318508,475402.505144191,1.1125626111215592,0.11256261112155927
Crustaceans,9,9,2020.2925280815002,2020.2925280815002,0.0,1.0,87.26075235234381,176292.2459722104,2.9298031604604153,85.0752355986921,171876.86280481092,4415.383167399472,1.0256892236415422,0.025689223641542303
Flatfishes,17,17,2765.0322664091,2765.0322664091,0.0,1.0,254.5785685487874,703917.956373638,3.3031046139445706,200.95768262196867,555654.4766325427,148263.47974109533,1.2668267529123909,0.2668267529123909
Herring-likes,3,3,4934.2341779027,4934.2341779027,0.0,1.0,199.78304333802748,985776.3206039115,3.272136288263288,187.1269281208731,923328.0843399538,62448.23626395769,1.0676338533649166,0.0676338533649165
Molluscs,7,7,385.0249028247,385.0249028247,0.0,1.0,11.926377240604022,4591.952238114278,2.010466539547393,10.243928523700522,3944.1675843809658,647.7846537333121,1.1642386232011441,0.16423862320114407
Other fishes & inverts,20,20,372.3682844967,372.3682844967,0.0,1.0,1054.802164798827,392774.87258954474,3.6963117121685474,496.94887544841356,185048.00023329002,207726.87235625472,2.1225566993124674,1.1225566993124674
Perch-likes,22,22,338.8228388027999,338.8228388027999,0.0,1.0,729.0874125403893,247031.46685232277,3.788185755657395,614.024578499266,208045.55078181394,38985.91607050883,1.1873912512139948,0.18739125121399489
"Salmon, smelts, etc",3,3,0.9640786274,0.9640786274,0.0,1.0,1529.9086172206416,1474.9521997375082,3.865394327153611,733.4902193345741,707.1422438674012,767.8099558701069,2.08579279844874,1.0857927984487399
Scorpionfishes,6,6,32.709811531499994,32.709811531499994,0.0,1.0,789.8716837068662,25836.553908120168,3.896460212434686,787.8802470831313,25771.414391480874,65.13951663929402,1.002527587956555,0.0025275879565549515
Sharks & rays,13,13,18.118080681200006,18.118080681200006,0.0,1.0,1080.8634553145428,19583.1712887495,3.9675470294413606,927.9979769290188,16813.542217990343,2769.629070759158,1.1647260901272594,0.1647260901272594
