commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,100689.8457528625,3.6558319845007223,452.72240131197117,45584548.756967895
Crustaceans,285.28013557659995,3.1498775103647882,141.2139204744233,40285.52637824669
Flatfishes,17715.895105419095,3.580980472489051,381.0486896284189,6750618.615514467
Herring-likes,239.8291587181,3.16,144.5439770745928,34665.86041956792
Molluscs,66.69448667099999,2.098142441151288,12.53552251191774,836.050239085118
Other fishes & inverts,6686.6063139682,3.301121733500416,200.04225129722957,1337603.7805844685
Perch-likes,2.47632e-05,4.26,1819.7008586099826,0.04506161630193072
"Salmon, smelts, etc",9125.9345836157,4.0663965726882,1165.1895276892515,10633443.407206183
Scorpionfishes,16014.8201058068,3.5389562827029932,345.90455635361,5539599.2437819755
Sharks & rays,682.7661235784,3.826126814277985,670.0802447300949,457508.0911808325
