commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Crustaceans,974.5078743269,3.319077071466641,208.48608372005214,203171.33027276813
Flatfishes,1193.3136939186,4.3448738055113605,2212.451736243062,2640148.9539928283
Herring-likes,27057.0441688626,2.41,25.703957827688647,695473.1222583533
Molluscs,55.0446501412,2.1,12.589254117941675,692.9710884607609
Other fishes & inverts,139421.42453735528,3.277310888666368,189.36987332692482,26402217.50369838
Perch-likes,53323.8879782216,3.6754770322279877,473.6712572896261,25257993.062215406
Scorpionfishes,43.4271821272,3.9,794.3282347242813,34495.43691814863
Sharks & rays,16260.6428154717,4.170130584765365,1479.5531970963605,24058486.06447312
Tuna & billfishes,86037.8597996627,4.427060527835576,2673.3789728429856,230011805.25683108
