commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Crustaceans,16.071428811,3.2,158.48931924611142,2547.149811567732
Molluscs,55.958234847,2.157297196971929,14.364721055670048,803.8244343448303
Other fishes & inverts,109.10027449699999,3.251784703283632,178.56021627556797,19480.96860990815
Perch-likes,292.0813003520001,3.8805552560232175,759.5480551071422,221849.7836155267
Sharks & rays,31.87169455,4.05,1122.018454301963,35760.6294549753
Tuna & billfishes,42.833233208,4.458988277706015,2877.3207502560836,123244.95070993635
